"timepoint","state","y","ysl_kansas","ysl_kansas_lag1","y_lag1","latitude","longitude","total_qtrly_wages","emplvlcapita","y_lag2","ysl_kansas_lag2","y_lag3","ysl_kansas_lag3","y_lag4","ysl_kansas_lag4","y_lag5","ysl_kansas_lag5","ysl_kansas_lead1","ysl_kansas_lead2","ysl_kansas_lead3","nearst_neighbor1","nearst_neighbor2","nearst_neighbor3","nearst_neighbor4","nearst_neighbor1_lag1","nearst_neighbor2_lag1","nearst_neighbor3_lag1","nearst_neighbor4_lag1","nearst_neighbor1_lag2","nearst_neighbor2_lag2","nearst_neighbor3_lag2","nearst_neighbor4_lag2","nearst_neighbor1_lag3","nearst_neighbor2_lag3","nearst_neighbor3_lag3","nearst_neighbor4_lag3","nearst_neighbor1_lag4","nearst_neighbor2_lag4","nearst_neighbor3_lag4","nearst_neighbor4_lag4","nearst_neighbor1_lead1","nearst_neighbor2_lead1","nearst_neighbor3_lead1","nearst_neighbor4_lead1","nearst_neighbor1_lead2","nearst_neighbor2_lead2","nearst_neighbor3_lead2","nearst_neighbor4_lead2","nearst_neighbor1_lead3","nearst_neighbor2_lead3","nearst_neighbor3_lead3","nearst_neighbor4_lead3","nearst_neighbor1_lead4","nearst_neighbor2_lead4","nearst_neighbor3_lead4","nearst_neighbor4_lead4"
6,"Kansas",10.0005890420451,47.0694468935446,47.0106492678777,9.99068197328474,39.048191,-95.677956,5594217746,0.428934164027537,9.98060801061328,46.9505214461186,9.97254172665389,46.9140539366455,9.96438136414,46.8769322268688,9.95612499100046,46.8391355103399,47.1269641798616,47.183248055563,47.2271771800422,10.0449137834822,9.99180618492011,9.96807365967355,10.0439549328326,10.0358800913615,9.97912203575015,9.95340672776249,10.0286433602672,10.0266688405931,9.96623862484998,9.93846575227878,10.0130162728616,10.0222473484361,9.95815622452059,9.93205336580809,10.0019742631457,10.0177621348068,9.94998095216056,9.92558033453645,9.99075857988973,10.0537753601519,10.0042966569077,9.98247555439317,10.0589621925023,10.0624700320541,10.016598806536,9.99662098566897,10.0736757631027,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472
7,"Kansas",10.0103338045448,47.1269641798616,47.0694468935446,10.0005890420451,39.048191,-95.677956,5469105371,0.425004313158353,9.99068197328474,47.0106492678777,9.98060801061328,46.9505214461186,9.97254172665389,46.9140539366455,9.96438136414,46.8769322268688,47.183248055563,47.2271771800422,47.2702711783977,10.0537753601519,10.0042966569077,9.98247555439317,10.0589621925023,10.0449137834822,9.99180618492011,9.96807365967355,10.0439549328326,10.0358800913615,9.97912203575015,9.95340672776249,10.0286433602672,10.0266688405931,9.96623862484998,9.93846575227878,10.0130162728616,10.0222473484361,9.95815622452059,9.93205336580809,10.0019742631457,10.0624700320541,10.016598806536,9.99662098566897,10.0736757631027,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021
8,"Kansas",10.0199206684905,47.183248055563,47.1269641798616,10.0103338045448,39.048191,-95.677956,6020189027,0.429268080731882,10.0005890420451,47.0694468935446,9.99068197328474,47.0106492678777,9.98060801061328,46.9505214461186,9.97254172665389,46.9140539366455,47.2271771800422,47.2702711783977,47.3125610603378,10.0624700320541,10.016598806536,9.99662098566897,10.0736757631027,10.0537753601519,10.0042966569077,9.98247555439317,10.0589621925023,10.0449137834822,9.99180618492011,9.96807365967355,10.0439549328326,10.0358800913615,9.97912203575015,9.95340672776249,10.0286433602672,10.0266688405931,9.96623862484998,9.93846575227878,10.0130162728616,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013
9,"Kansas",10.0265098518784,47.2271771800422,47.183248055563,10.0199206684905,39.048191,-95.677956,5658612989,0.421294501039991,10.0103338045448,47.1269641798616,10.0005890420451,47.0694468935446,9.99068197328474,47.0106492678777,9.98060801061328,46.9505214461186,47.2702711783977,47.3125610603378,47.3540759789659,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.0624700320541,10.016598806536,9.99662098566897,10.0736757631027,10.0537753601519,10.0042966569077,9.98247555439317,10.0589621925023,10.0449137834822,9.99180618492011,9.96807365967355,10.0439549328326,10.0358800913615,9.97912203575015,9.95340672776249,10.0286433602672,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013,10.1162238239378,10.065957495999,10.0394183756109,10.1184187536634
10,"Kansas",10.0330249342807,47.2702711783977,47.2271771800422,10.0265098518784,39.048191,-95.677956,5885320935,0.432896721982633,10.0199206684905,47.183248055563,10.0103338045448,47.1269641798616,10.0005890420451,47.0694468935446,9.99068197328474,47.0106492678777,47.3125610603378,47.3540759789659,47.4341198174321,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.0624700320541,10.016598806536,9.99662098566897,10.0736757631027,10.0537753601519,10.0042966569077,9.98247555439317,10.0589621925023,10.0449137834822,9.99180618492011,9.96807365967355,10.0439549328326,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013,10.1162238239378,10.065957495999,10.0394183756109,10.1184187536634,10.1283974071012,10.0779676725148,10.0638996415761,10.1417247698317
11,"Kansas",10.0394672946725,47.3125610603378,47.2702711783977,10.0330249342807,39.048191,-95.677956,5741176321,0.426594976571091,10.0265098518784,47.2271771800422,10.0199206684905,47.183248055563,10.0103338045448,47.1269641798616,10.0005890420451,47.0694468935446,47.3540759789659,47.4341198174321,47.5121826602793,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.0624700320541,10.016598806536,9.99662098566897,10.0736757631027,10.0537753601519,10.0042966569077,9.98247555439317,10.0589621925023,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013,10.1162238239378,10.065957495999,10.0394183756109,10.1184187536634,10.1283974071012,10.0779676725148,10.0638996415761,10.1417247698317,10.140294272566,10.0898128318879,10.0877387528864,10.1644073716524
12,"Kansas",10.0458382753769,47.3540759789659,47.3125610603378,10.0394672946725,39.048191,-95.677956,6654963351,0.433162860808326,10.0330249342807,47.2702711783977,10.0265098518784,47.2271771800422,10.0199206684905,47.183248055563,10.0103338045448,47.1269641798616,47.4341198174321,47.5121826602793,47.5883547652689,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.0624700320541,10.016598806536,9.99662098566897,10.0736757631027,10.1162238239378,10.065957495999,10.0394183756109,10.1184187536634,10.1283974071012,10.0779676725148,10.0638996415761,10.1417247698317,10.140294272566,10.0898128318879,10.0877387528864,10.1644073716524,10.1519245634187,10.1014971660473,10.1109671656654,10.1864968521702
13,"Kansas",10.0617804085997,47.4341198174321,47.3540759789659,10.0458382753769,39.048191,-95.677956,5711912416,0.422994114066095,10.0394672946725,47.3125610603378,10.0330249342807,47.2702711783977,10.0265098518784,47.2271771800422,10.0199206684905,47.183248055563,47.5121826602793,47.5883547652689,47.6627202624942,10.1162238239378,10.065957495999,10.0394183756109,10.1184187536634,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.0731301676954,10.0260649541988,10.0010821030921,10.0789453266253,10.1283974071012,10.0779676725148,10.0638996415761,10.1417247698317,10.140294272566,10.0898128318879,10.0877387528864,10.1644073716524,10.1519245634187,10.1014971660473,10.1109671656654,10.1864968521702,10.1631539172701,10.1145503258248,10.1200584524149,10.1929549628611
14,"Kansas",10.0773997340258,47.5121826602793,47.4341198174321,10.0617804085997,39.048191,-95.677956,6151958551,0.436190259515451,10.0458382753769,47.3540759789659,10.0394672946725,47.3125610603378,10.0330249342807,47.2702711783977,10.0265098518784,47.2271771800422,47.5883547652689,47.6627202624942,47.7099601322354,10.1283974071012,10.0779676725148,10.0638996415761,10.1417247698317,10.1162238239378,10.065957495999,10.0394183756109,10.1184187536634,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.0835604722076,10.0354151950647,10.0055088552705,10.0841648136472,10.140294272566,10.0898128318879,10.0877387528864,10.1644073716524,10.1519245634187,10.1014971660473,10.1109671656654,10.1864968521702,10.1631539172701,10.1145503258248,10.1200584524149,10.1929549628611,10.1741424052608,10.1274182936586,10.1290417518286,10.1993367983562
15,"Kansas",10.0927078070203,47.5883547652689,47.5121826602793,10.0773997340258,39.048191,-95.677956,6120014988,0.430641261733365,10.0617804085997,47.4341198174321,10.0458382753769,47.3540759789659,10.0394672946725,47.3125610603378,10.0330249342807,47.2702711783977,47.6627202624942,47.7099601322354,47.7563629308396,10.140294272566,10.0898128318879,10.0877387528864,10.1644073716524,10.1283974071012,10.0779676725148,10.0638996415761,10.1417247698317,10.1162238239378,10.065957495999,10.0394183756109,10.1184187536634,10.1037628204595,10.053777945162,10.0142610096542,10.094456663013,10.0937688485125,10.0446520463328,10.0099016806454,10.0893350047021,10.1519245634187,10.1014971660473,10.1109671656654,10.1864968521702,10.1631539172701,10.1145503258248,10.1200584524149,10.1929549628611,10.1741424052608,10.1274182936586,10.1290417518286,10.1993367983562,10.1848983375266,10.140106026062,10.1379193326951,10.2056438297154
