"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","treated","fips"
"3",3,"Alabama",1.2108191047723,3.58317848959402,3.64840808561624,1.23313547600006,32.377716,-86.300568,1988.64168739771,0.393884430447725,4074605.5,86799,-68.935623818435,-0.943951754829531,12275.25,611,0,1
"4",4,"Alabama",1.18918950378735,3.51995462921906,3.58317848959402,1.2108191047723,32.377716,-86.300568,2134.96514793097,0.394966585049817,4086880.75,87915,153.390610938679,0.334014347966283,12275.25,1116,0,1
"5",5,"Alabama",1.16821623092491,3.45861682277331,3.51995462921906,1.18918950378735,32.377716,-86.300568,1992.08580815173,0.386480371406537,4099156,91626,-289.202800312509,-0.956836824537183,12275.25,3711,0,1
"6",6,"Alabama",1.36659495849738,5.70936675365559,3.45861682277331,1.16821623092491,32.377716,-86.300568,2048.37977539045,0.390467031075579,4112870.5,91880,199.173307017968,1.24728733123226,13714.5,254,0,1
"7",7,"Alabama",1.33926922654855,5.57753107443517,5.70936675365559,1.36659495849738,32.377716,-86.300568,2057.6748381531,0.390136719183861,4126585,93501,-46.9989044760721,-0.431697156076083,13714.5,1621,0,1
"8",8,"Alabama",1.31287156770483,5.45058003348444,5.57753107443517,1.33926922654855,32.377716,-86.300568,2206.99554826891,0.392815785428083,4140299.5,93138,140.025647353165,0.300937813594032,13714.5,-363,0,1
"9",9,"Alabama",1.28735664377402,5.32821834299995,5.45058003348444,1.31287156770483,32.377716,-86.300568,2085.46793390682,0.387109431985545,4154014,92864,-270.848324477907,-0.838541968676065,13714.5,-274,0,1
"10",10,"Alabama",0.649480711146033,4.54234302334768,5.32821834299995,1.28735664377402,32.377716,-86.300568,2127.24467380065,0.39288383323407,4169061,93828,163.304354255921,1.14807546910644,15047,964,0,1
"11",11,"Alabama",0.640663284512044,4.45725465016551,4.54234302334768,0.649480711146033,32.377716,-86.300568,2155.77038618506,0.392212947976805,4184108,94361,-13.2510275094151,-0.644528650579124,15047,533,0,1
"12",12,"Alabama",0.632037091571647,4.37515206669374,4.45725465016551,0.640663284512044,32.377716,-86.300568,2397.61057165072,0.397147600727607,4199155,94872,213.314473081252,0.560553800806718,15047,511,0,1
"13",13,"Alabama",0.623596327545606,4.29587119398747,4.37515206669374,0.632037091571647,32.377716,-86.300568,2110.08294951215,0.391726594975751,4214202,94748,-529.36780760424,-1.03556585026574,15047,-124,0,1
"14",14,"Alabama",1.35043511988826,7.23170492639866,4.29587119398747,0.623596327545606,32.377716,-86.300568,2222.32680991088,0.398176282262709,4225708.75,95826,399.771482537307,1.18706930388138,11506.75,1078,0,1
"15",15,"Alabama",1.32525197965894,7.06023707426837,7.23170492639866,1.35043511988826,32.377716,-86.300568,2260.08071267558,0.397191347320742,4237215.5,96799,-74.4899576340372,-0.743462222892488,11506.75,973,0,1
"16",16,"Alabama",1.30087996184631,6.89621415742465,7.06023707426837,1.32525197965894,32.377716,-86.300568,2451.54040064634,0.400520493739814,4248722.25,97558,153.705785206064,0.431408136103822,11506.75,759,0,1
"17",17,"Alabama",1.27728124771451,6.73915511083294,6.89621415742465,1.30087996184631,32.377716,-86.300568,2228.85099369071,0.392621773774759,4260229,97704,-414.149094926379,-1.12278663841267,11506.75,146,0,1
"18",18,"Alabama",1.3605930426742,4.84763049485508,6.73915511083294,1.27728124771451,32.377716,-86.300568,2311.34619607674,0.400427611705009,4269371.75,98846,305.184609341647,1.57045578953051,9142.75,1142,0,1
"19",19,"Alabama",1.33663045611421,4.75832880592364,4.84763049485508,1.3605930426742,32.377716,-86.300568,2408.53351577983,0.40250107056238,4278514.5,99852,14.6921173170667,-0.573237907287844,9142.75,1006,0,1
"20",20,"Alabama",1.31341170240429,4.67204190281549,4.75832880592364,1.33663045611421,32.377716,-86.300568,2528.06785873568,0.40688202553193,4287657.25,101048,22.3470232527488,0.230749611217879,9142.75,1196,0,1
"21",21,"Alabama",1.29090314402465,4.58861613643862,4.67204190281549,1.31341170240429,32.377716,-86.300568,2441.16681693353,0.403492831874884,4296800,100664,-206.435384757986,-0.777014862659703,9142.75,-384,0,1
"22",22,"Alabama",0.923246501420394,5.27348504324507,4.58861613643862,1.29090314402465,32.377716,-86.300568,2443.59260347907,0.408564595585217,4305375.5,101612,89.3268283476818,0.846095736737978,8575.5,948,0,1
"23",23,"Alabama",0.91118011908673,5.1751866252566,5.27348504324507,0.923246501420394,32.377716,-86.300568,2465.78760097182,0.408664895204728,4313951,101203,19.7692109472168,-0.497146409082128,8575.5,-409,0,1
"24",24,"Alabama",0.899385850092571,5.08038757990263,5.1751866252566,0.91118011908673,32.377716,-86.300568,2619.5736676224,0.411672741239026,4322526.5,102638,131.591069157818,0.290754641478597,8575.5,1435,0,1
"25",25,"Alabama",0.887854786344988,4.98889268765339,5.08038757990263,0.899385850092571,32.377716,-86.300568,2506.76717265029,0.405535742789402,4331102,102800,-266.592561622683,-0.914484448392139,8575.5,162,0,1
"26",26,"Alabama",0.799002248204772,6.90580399887253,4.98889268765339,0.887854786344988,32.377716,-86.300568,2530.37546428853,0.410968470898288,4340310.25,103131,136.41478661035,1.15697265585094,9208.25,331,0,1
"27",27,"Alabama",0.789325708595179,6.70077755431677,6.90580399887253,0.799002248204772,32.377716,-86.300568,2555.38966715511,0.409689639592674,4349518.5,104818,1.40591122834485,-0.671155941450013,9208.25,1687,0,1
"28",28,"Alabama",0.77984804577973,6.50626051127077,6.70077755431677,0.789325708595179,32.377716,-86.300568,2751.31609706894,0.414350666357631,4358726.75,106058,170.912227047247,0.593985807057223,9208.25,1240,0,1
"29",29,"Alabama",0.770563359076171,6.32140387568327,6.50626051127077,0.77984804577973,32.377716,-86.300568,2643.12406114102,0.409253419140471,4367935,106656,-304.118465841755,-0.97582739821182,9208.25,598,0,1
"30",30,"Alabama",1.0285116767907,4.61335802486857,6.32140387568327,0.770563359076171,32.377716,-86.300568,2629.83976565448,0.415428554174373,4377126.5,107278,94.9077404413802,1.12723822510623,9191.5,622,0,1
"31",31,"Alabama",1.01379587412342,4.52639751377149,4.61335802486857,1.0285116767907,32.377716,-86.300568,2734.37753920258,0.414664493849587,4386318,108130,117.822069034651,-0.693919535868764,9191.5,852,0,1
"32",32,"Alabama",0.999444656582149,4.44241672188923,4.52639751377149,1.01379587412342,32.377716,-86.300568,2908.34393737518,0.41764509893563,4395509.5,107711,69.4286246244865,0.374466541082824,9191.5,-419,0,1
"33",33,"Alabama",0.985444905976252,4.36125299940144,4.44241672188923,0.999444656582149,32.377716,-86.300568,2724.46768713699,0.41355890747938,4404701,109051,-357.842648410779,-0.706679654229192,9191.5,1340,0,1
"34",34,"Alabama",1.12736531834994,5.65201071504333,4.36125299940144,0.985444905976252,32.377716,-86.300568,2758.53326625952,0.422024693529894,4411061,111052,217.941829360715,1.2551977506763,6360,2001,0,1
