"","X","Fips","year","qtr","state","gdp","revenuepop","rev_state_total","rev_local_total","popestimate","qtrly_estabs_count","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","avg_wkly_wage"
"1",1,1,1963,1,"Alabama",7343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",2,1,1963,2,"Alabama",7343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",3,1,1963,3,"Alabama",7343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",4,1,1963,4,"Alabama",7343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",5,1,1964,1,"Alabama",8220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",6,1,1964,2,"Alabama",8220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",7,1,1964,3,"Alabama",8220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",8,1,1964,4,"Alabama",8220,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",9,1,1965,1,"Alabama",8994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,1,1965,2,"Alabama",8994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",11,1,1965,3,"Alabama",8994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",12,1,1965,4,"Alabama",8994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",13,1,1966,1,"Alabama",9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,1,1966,2,"Alabama",9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",15,1,1966,3,"Alabama",9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",16,1,1966,4,"Alabama",9847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",17,1,1967,1,"Alabama",10053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",18,1,1967,2,"Alabama",10053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",19,1,1967,3,"Alabama",10053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",20,1,1967,4,"Alabama",10053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",21,1,1968,1,"Alabama",10977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",22,1,1968,2,"Alabama",10977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",23,1,1968,3,"Alabama",10977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",24,1,1968,4,"Alabama",10977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",25,1,1969,1,"Alabama",11866,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
