"","index","name","description","latitude","longitude"
"1",1,"Alabama","Montgomery",32.377716,-86.300568
"2",2,"Alaska","Juneau",58.301598,-134.420212
"3",3,"Arizona","Phoenix",33.448143,-112.096962
"4",4,"Arkansas","Little Rock",34.746613,-92.288986
"5",5,"California","Sacramento",38.576668,-121.493629
"6",6,"Colorado","Denver",39.739227,-104.984856
"7",7,"Connecticut","Hartford<br>",41.764046,-72.682198
"8",8,"Delaware","Dover",39.157307,-75.519722
"9",9,"Hawaii","Honolulu",21.307442,-157.857376
"10",10,"Florida","Tallahassee",30.438118,-84.281296
"11",11,"Georgia","Atlanta<br>",33.749027,-84.388229
"12",12,"Idaho","Boise",43.617775,-116.199722
"13",13,"Illinois","Springfield",39.798363,-89.654961
"14",14,"Indiana","Indianapolis",39.768623,-86.162643
"15",15,"Iowa","Des Moines",41.591087,-93.603729
"16",16,"Kansas","Topeka",39.048191,-95.677956
"17",17,"Kentucky","Frankfort",38.186722,-84.875374
"18",18,"Louisiana","Baton Rouge",30.457069,-91.187393
"19",19,"Maine","Augusta",44.307167,-69.781693
"20",20,"Maryland","Annapolis",38.978764,-76.490936
"21",21,"Massachusetts","Boston",42.358162,-71.063698
"22",22,"Michigan","Lansing",42.733635,-84.555328
"23",23,"Minnesota","St. Paul",44.955097,-93.102211
"24",24,"Mississippi","Jackson",32.303848,-90.182106
"25",25,"Missouri","Jefferson City",38.579201,-92.172935
"26",26,"Montana","Helena",46.585709,-112.018417
"27",27,"Nebraska","Lincoln",40.808075,-96.699654
"28",28,"Nevada","Carson City",39.163914,-119.766121
"29",29,"New Hampshire","Concord",43.206898,-71.537994
"30",30,"New Jersey","Trenton",40.220596,-74.769913
"31",31,"New Mexico","Santa Fe",35.68224,-105.939728
"32",32,"North Carolina","Raleigh",35.78043,-78.639099
"33",33,"North Dakota","Bismarck",46.82085,-100.783318
"34",34,"New York","Albany",42.652843,-73.757874
"35",35,"Ohio","Columbus",39.961346,-82.999069
"36",36,"Oklahoma","Oklahoma City",35.492207,-97.503342
"37",37,"Oregon","Salem",44.938461,-123.030403
"38",38,"Pennsylvania","Harrisburg",40.264378,-76.883598
"39",39,"Rhode Island","Providence",41.830914,-71.414963
"40",40,"South Carolina","Columbia",34.000343,-81.033211
"41",41,"South Dakota","Pierre",44.367031,-100.346405
"42",42,"Tennessee","Nashville",36.16581,-86.784241
"43",43,"Texas","Austin",30.27467,-97.740349
"44",44,"Utah","Salt Lake City",40.777477,-111.888237
"45",45,"Vermont","Montpelier",44.262436,-72.580536
"46",46,"Virginia","Richmond",37.538857,-77.43364
"47",47,"Washington","Olympia",47.035805,-122.905014
"48",48,"West Virginia","Charleston",38.336246,-81.612328
"49",49,"Wisconsin","Madison",43.074684,-89.384445
"50",50,"Wyoming","Cheyenne",41.140259,-104.820236
