"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Iowa",1.46669319110586,5.89909850763632,6.03121680464298,1.49409754837126,41.591087,-93.603729,2109.87545223356,0.434974105596365,2808007,83652,-84.0073668774191,-1.09057816126767,5197,-47,0.641238647068576,3.56057520980215,0.647303127164278,3.62282448633593,0.653467803608088,3.68697173007604,0.659735120614791,3.75314619930691
"8",8,"Iowa",1.44018947196205,5.77192721175166,5.89909850763632,1.46669319110586,41.591087,-93.603729,2264.33763139822,0.429182052445065,2813204,83987,146.124034847086,-0.965547577831249,5197,335,1.49409754837126,6.03121680464298,0.641238647068576,3.56057520980215,0.647303127164278,3.62282448633593,0.653467803608088,3.68697173007604
"9",9,"Iowa",1.41454312757947,5.64941425417587,5.77192721175166,1.44018947196205,41.591087,-93.603729,2107.96413533773,0.417726694438915,2818401,83645,-310.83567522515,-0.566330485484928,5197,-342,1.46669319110586,5.89909850763632,1.49409754837126,6.03121680464298,0.641238647068576,3.56057520980215,0.647303127164278,3.62282448633593
"10",10,"Iowa",0.44611174231779,4.39031381087318,5.64941425417587,1.41454312757947,41.591087,-93.603729,2199.28321018759,0.43408336598869,2823043.75,83616,247.692570910342,2.78120295559242,4642.75,-29,1.44018947196205,5.77192721175166,1.46669319110586,5.89909850763632,1.49409754837126,6.03121680464298,0.641238647068576,3.56057520980215
"11",11,"Iowa",0.442675217832189,4.30881213042866,4.39031381087318,0.44611174231779,41.591087,-93.603729,2215.51682267465,0.433957583345961,2827686.5,83808,-75.0854623627893,-1.64824541925028,4642.75,192,1.41454312757947,5.64941425417587,1.44018947196205,5.77192721175166,1.46669319110586,5.89909850763632,1.49409754837126,6.03121680464298
"12",12,"Iowa",0.439282537497654,4.2302382030968,4.30881213042866,0.442675217832189,41.591087,-93.603729,2479.41630161818,0.433308144995266,2832329.25,84088,247.665866456469,-0.052365570796703,4642.75,280,0.44611174231779,4.39031381087318,1.41454312757947,5.64941425417587,1.44018947196205,5.77192721175166,1.46669319110586,5.89909850763632
"13",13,"Iowa",0.435932900876423,4.15442231408463,4.2302382030968,0.439282537497654,41.591087,-93.603729,2131.79729338182,0.421357818594379,2836972,84152,-611.518487179898,-1.13008880501915,4642.75,64,0.442675217832189,4.30881213042866,0.44611174231779,4.39031381087318,1.41454312757947,5.64941425417587,1.44018947196205,5.77192721175166
"14",14,"Iowa",2.51573659566482,7.76811238779302,4.15442231408463,0.435932900876423,41.591087,-93.603729,2294.64278025521,0.438602732593172,2840415.5,85095,510.464495109761,2.91952403996792,3443.5,943,0.439282537497654,4.2302382030968,0.442675217832189,4.30881213042866,0.44611174231779,4.39031381087318,1.41454312757947,5.64941425417587
"15",15,"Iowa",2.44812659652904,7.58232921705897,7.76811238779302,2.51573659566482,41.591087,-93.603729,2333.11179492373,0.439611809164941,2843859,86270,-124.37647220488,-1.62358374270231,3443.5,1175,0.435932900876423,4.15442231408463,0.439282537497654,4.2302382030968,0.442675217832189,4.30881213042866,0.44611174231779,4.39031381087318
"16",16,"Iowa",2.38391113102665,7.40468303890935,7.58232921705897,2.44812659652904,41.591087,-93.603729,2592.35335163721,0.44237273700283,2847302.5,84825,220.772542044963,0.175185126611949,3443.5,-1445,2.51573659566482,7.76811238779302,0.435932900876423,4.15442231408463,0.439282537497654,4.2302382030968,0.442675217832189,4.30881213042866
