"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Massachusetts",0.984653496045773,8.31567190055722,8.46245967507144,0.995295547716424,42.358162,-71.063698,3105.95721305378,0.451447042775187,6023589.5,165530,-93.4537320615482,-1.3286210973968,2559.75,-1349,0.207725400196779,3.22786657271621,0.208085651340895,3.27384536693671,0.208447292132341,3.32111821090422,0.208810330548559,3.36976759440688
"8",8,"Massachusetts",0.974228198917082,8.17384119946354,8.31567190055722,0.984653496045773,42.358162,-71.063698,3402.41481456836,0.458860025745297,6026149.25,158656,366.569760813596,1.73757735101184,2559.75,-6874,0.995295547716424,8.46245967507144,0.207725400196779,3.22786657271621,0.208085651340895,3.27384536693671,0.208447292132341,3.32111821090422
"9",9,"Massachusetts",0.964013110933593,8.03669762093335,8.17384119946354,0.974228198917082,42.358162,-71.063698,3229.65128935565,0.445338241846914,6028709,157882,-469.22112672729,-2.09347668684924,2559.75,-774,0.984653496045773,8.31567190055722,0.995295547716424,8.46245967507144,0.207725400196779,3.22786657271621,0.208085651340895,3.27384536693671
"10",10,"Massachusetts",0.773464068421603,5.50922020902647,8.03669762093335,0.964013110933593,42.358162,-71.063698,3250.99014954261,0.453567091194036,6036674,156783,194.102385399674,2.17506332455048,7965,-1099,0.974228198917082,8.17384119946354,0.984653496045773,8.31567190055722,0.995295547716424,8.46245967507144,0.207725400196779,3.22786657271621
"11",11,"Massachusetts",0.765512475449803,5.43433773525237,5.50922020902647,0.773464068421603,42.358162,-71.063698,3208.70587887879,0.448403949350821,6044639,155292,-63.6231308507886,-1.33919911903368,7965,-1491,0.964013110933593,8.03669762093335,0.974228198917082,8.17384119946354,0.984653496045773,8.31567190055722,0.995295547716424,8.46245967507144
"12",12,"Massachusetts",0.757704963610983,5.36152429353223,5.43433773525237,0.765512475449803,42.358162,-71.063698,3735.47736428816,0.459503656057239,6052604,152252,569.0557560732,1.62628485496318,7965,-3040,0.773464068421603,5.50922020902647,0.964013110933593,8.03669762093335,0.974228198917082,8.17384119946354,0.984653496045773,8.31567190055722
"13",13,"Massachusetts",0.750037712081841,5.29068226369844,5.36152429353223,0.757704963610983,42.358162,-71.063698,3188.94340960395,0.44784859859418,6060569,154892,-1073.30544009359,-2.27547641694754,7965,2640,0.765512475449803,5.43433773525237,0.773464068421603,5.50922020902647,0.964013110933593,8.03669762093335,0.974228198917082,8.17384119946354
"14",14,"Massachusetts",1.59705589342316,8.98592755952592,5.29068226369844,0.750037712081841,42.358162,-71.063698,3470.08671040528,0.459504602198486,6069237,155392,827.677255485542,2.33110610673639,8668,500,0.757704963610983,5.36152429353223,0.765512475449803,5.43433773525237,0.773464068421603,5.50922020902647,0.964013110933593,8.03669762093335
"15",15,"Massachusetts",1.56750172664797,8.81912906631612,8.98592755952592,1.59705589342316,42.358162,-71.063698,3430.53553765648,0.455227856747788,6077905,157325,-320.694473550128,-1.59327490550034,8668,1933,0.750037712081841,5.29068226369844,0.757704963610983,5.36152429353223,0.765512475449803,5.43433773525237,0.773464068421603,5.50922020902647
"16",16,"Massachusetts",1.53894776992836,8.65852942126821,8.81912906631612,1.56750172664797,42.358162,-71.063698,3852.18512913589,0.466459368843518,6086573,157985,461.200764228208,1.55082575464277,8668,660,1.59705589342316,8.98592755952592,0.750037712081841,5.29068226369844,0.757704963610983,5.36152429353223,0.765512475449803,5.43433773525237
"17",17,"Massachusetts",1.5113443733263,8.50376664639185,8.65852942126821,1.53894776992836,42.358162,-71.063698,3413.12076684088,0.454224424158673,6095241,160434,-860.71395377441,-2.34664567805755,8668,2449,1.56750172664797,8.81912906631612,1.59705589342316,8.98592755952592,0.750037712081841,5.29068226369844,0.757704963610983,5.36152429353223
"18",18,"Massachusetts",1.24068052366457,8.7876995902846,8.50376664639185,1.5113443733263,42.358162,-71.063698,3544.5821503336,0.467251054236005,6106792,162136,570.525745787713,2.52615747621774,11551,1702,1.53894776992836,8.65852942126821,1.56750172664797,8.81912906631612,1.59705589342316,8.98592755952592,0.750037712081841,5.29068226369844
"19",19,"Massachusetts",1.22087699460458,8.62655514657291,8.7876995902846,1.24068052366457,42.358162,-71.063698,3563.07695286126,0.464327405857,6118343,164077,-112.96658096505,-1.5950278456337,11551,1941,1.5113443733263,8.50376664639185,1.53894776992836,8.65852942126821,1.56750172664797,8.81912906631612,1.59705589342316,8.98592755952592
"20",20,"Massachusetts",1.20163271854796,8.47122347440603,8.62655514657291,1.22087699460458,42.358162,-71.063698,3921.93984006901,0.474468617782515,6129894,164445,340.368084680094,1.30648603045205,11551,368,1.24068052366457,8.7876995902846,1.5113443733263,8.50376664639185,1.53894776992836,8.65852942126821,1.56750172664797,8.81912906631612
"21",21,"Massachusetts",1.18292464131322,8.32138075880522,8.47122347440603,1.20163271854796,42.358162,-71.063698,3702.19853536098,0.463045694729281,6141445,167712,-578.604191915791,-2.15641349787501,11551,3267,1.22087699460458,8.62655514657291,1.24068052366457,8.7876995902846,1.5113443733263,8.50376664639185,1.53894776992836,8.65852942126821
"22",22,"Massachusetts",1.63810685376795,8.33019605238263,8.32138075880522,1.18292464131322,42.358162,-71.063698,3737.40510259046,0.476333034751551,6151022.75,166810,254.947871937517,2.47102630755054,9577.75,-902,1.20163271854796,8.47122347440603,1.22087699460458,8.62655514657291,1.24068052366457,8.7876995902846,1.5113443733263,8.50376664639185
"23",23,"Massachusetts",1.60673350619405,8.17887116624121,8.33019605238263,1.63810685376795,42.358162,-71.063698,3712.7349884155,0.472064533319439,6160600.5,167278,-59.8766814044457,-1.75558414543837,9577.75,468,1.18292464131322,8.32138075880522,1.20163271854796,8.47122347440603,1.22087699460458,8.62655514657291,1.24068052366457,8.7876995902846
"24",24,"Massachusetts",1.57645450749531,8.03307593139806,8.17887116624121,1.60673350619405,42.358162,-71.063698,4168.48312494052,0.482097525572566,6170178.25,167976,480.418250699983,1.43014936852404,9577.75,698,1.63810685376795,8.33019605238263,1.18292464131322,8.32138075880522,1.20163271854796,8.47122347440603,1.22087699460458,8.62655514657291
"25",25,"Massachusetts",1.54721393054995,7.89248667774274,8.03307593139806,1.57645450749531,42.358162,-71.063698,3933.36996671066,0.467624018380877,6179756,169998,-690.861294754875,-2.4506499444817,9577.75,2022,1.60673350619405,8.17887116624121,1.63810685376795,8.33019605238263,1.18292464131322,8.32138075880522,1.20163271854796,8.47122347440603
"26",26,"Massachusetts",2.92078222227605,13.0094053559105,7.89248667774274,1.54721393054995,42.358162,-71.063698,3974.21963563088,0.481469454510714,6191331.5,169851,275.962827150077,2.83189433215266,11575.5,-147,1.57645450749531,8.03307593139806,1.60673350619405,8.17887116624121,1.63810685376795,8.33019605238263,1.18292464131322,8.32138075880522
"27",27,"Massachusetts",2.8274445050716,12.6456066772775,13.0094053559105,2.92078222227605,42.358162,-71.063698,3907.28986844394,0.478201645346824,6202907,169431,-107.779436107163,-1.71132452937268,11575.5,-420,1.54721393054995,7.89248667774274,1.57645450749531,8.03307593139806,1.60673350619405,8.17887116624121,1.63810685376795,8.33019605238263
"28",28,"Massachusetts",2.73958893655735,12.2998185041482,12.6456066772775,2.8274445050716,42.358162,-71.063698,4466.21633112653,0.487812192460649,6214482.5,171134,625.856229869526,1.28783562777142,11575.5,1703,2.92078222227605,13.0094053559105,1.54721393054995,7.89248667774274,1.57645450749531,8.03307593139806,1.60673350619405,8.17887116624121
"29",29,"Massachusetts",2.65674776628533,11.9706448453897,12.2998185041482,2.73958893655735,42.358162,-71.063698,4224.60592785997,0.478260937070187,6226058,173148,-800.536865949139,-1.91618025042864,11575.5,2014,2.8274445050716,12.6456066772775,2.92078222227605,13.0094053559105,1.54721393054995,7.89248667774274,1.57645450749531,8.03307593139806
"30",30,"Massachusetts",1.05887759634502,8.1152250954716,11.9706448453897,2.65674776628533,42.358162,-71.063698,4201.06160109262,0.490904987674288,6237503,174004,218.0660764992,2.21953059945628,11445,856,2.73958893655735,12.2998185041482,2.8274445050716,12.6456066772775,2.92078222227605,13.0094053559105,1.54721393054995,7.89248667774274
"31",31,"Massachusetts",1.0439646755664,7.98091463760926,8.1152250954716,1.05887759634502,42.358162,-71.063698,4198.56511848074,0.483126813238538,6248948,178016,21.0478441554806,-2.04222250398511,11445,4012,2.65674776628533,11.9706448453897,2.73958893655735,12.2998185041482,2.8274445050716,12.6456066772775,2.92078222227605,13.0094053559105
"32",32,"Massachusetts",1.02942030519628,7.85074929574847,7.98091463760926,1.0439646755664,42.358162,-71.063698,4810.96852449998,0.496918590680596,6260393,178630,614.89988863111,2.15699518778083,11445,614,1.05887759634502,8.1152250954716,2.65674776628533,11.9706448453897,2.73958893655735,12.2998185041482,2.8274445050716,12.6456066772775
"33",33,"Massachusetts",1.01523120284135,7.72452753053443,7.85074929574847,1.02942030519628,42.358162,-71.063698,4406.29231319431,0.483999374133494,6271838,181268,-1017.0796173249,-2.67109939891595,11445,2638,1.0439646755664,7.98091463760926,1.05887759634502,8.1152250954716,2.65674776628533,11.9706448453897,2.73958893655735,12.2998185041482
"34",34,"Massachusetts",1.37727944236996,7.39546222995955,7.72452753053443,1.01523120284135,42.358162,-71.063698,4544.45032902942,0.498285690458057,6283214.75,182271,542.83422714077,2.72055328716644,11376.75,1003,1.02942030519628,7.85074929574847,1.0439646755664,7.98091463760926,1.05887759634502,8.1152250954716,2.65674776628533,11.9706448453897
"35",35,"Massachusetts",1.35369005378116,7.27406567781799,7.39546222995955,1.37727944236996,42.358162,-71.063698,4536.99580806793,0.494450407676707,6294591.5,184038,-145.612536796599,-1.81215991059135,11376.75,1767,1.01523120284135,7.72452753053443,1.02942030519628,7.85074929574847,1.0439646755664,7.98091463760926,1.05887759634502,8.1152250954716
"36",36,"Massachusetts",1.33082247854173,7.15651606855232,7.27406567781799,1.35369005378116,42.358162,-71.063698,5207.56416605808,0.501757204375395,6305968.25,183812,678.02287895165,1.11420794800385,11376.75,-226,1.37727944236996,7.39546222995955,1.01523120284135,7.72452753053443,1.02942030519628,7.85074929574847,1.0439646755664,7.98091463760926
"37",37,"Massachusetts",1.3086444272087,7.04262085006206,7.15651606855232,1.33082247854173,42.358162,-71.063698,4743.39005769037,0.489919578557131,6317345,183812,-1134.74246635787,-1.91444225169515,11376.75,0,1.35369005378116,7.27406567781799,1.37727944236996,7.39546222995955,1.01523120284135,7.72452753053443,1.02942030519628,7.85074929574847
"38",38,"Massachusetts",0.987683596029498,2.56135753204205,7.04262085006206,1.3086444272087,42.358162,-71.063698,4833.65300810777,0.504813514699487,6328284.75,186626,554.4370587851,2.67315619606197,10939.75,2814,1.33082247854173,7.15651606855232,1.35369005378116,7.27406567781799,1.37727944236996,7.39546222995955,1.01523120284135,7.72452753053443
"39",39,"Massachusetts",0.974664537709735,2.52453715269212,2.56135753204205,0.987683596029498,42.358162,-71.063698,4978.04424752586,0.500949656118557,6339224.5,187223,54.1282890007042,-1.87577947232861,10939.75,597,1.3086444272087,7.04262085006206,1.33082247854173,7.15651606855232,1.35369005378116,7.27406567781799,1.37727944236996,7.39546222995955
"40",40,"Massachusetts",0.961946604052599,2.48859462889186,2.52453715269212,0.974664537709735,42.358162,-71.063698,5712.28252828263,0.511405354593781,6350164.25,188543,589.847041338679,1.43195570561534,10939.75,1320,0.987683596029498,2.56135753204205,1.3086444272087,7.04262085006206,1.33082247854173,7.15651606855232,1.35369005378116,7.27406567781799
"41",41,"Massachusetts",0.949519632712459,2.45348498334437,2.48859462889186,0.961946604052599,42.358162,-71.063698,5685.24163635746,0.501297311493938,6361104,188079,-761.279172681946,-2.05637415750665,10939.75,-464,0.974664537709735,2.52453715269212,0.987683596029498,2.56135753204205,1.3086444272087,7.04262085006206,1.33082247854173,7.15651606855232
"42",42,"Massachusetts",0.388224158112749,5.09236037844261,2.45348498334437,0.949519632712459,42.358162,-71.063698,5378.52235533171,0.514916256772152,6370236.5,189550,-279.678389100584,2.37269883780571,9132.5,1471,0.961946604052599,2.48859462889186,0.974664537709735,2.52453715269212,0.987683596029498,2.56135753204205,1.3086444272087,7.04262085006206
"43",43,"Massachusetts",0.385617697070373,5.03104022094192,5.09236037844261,0.388224158112749,42.358162,-71.063698,5512.23885606868,0.511303651923359,6379369,192454,440.435781762731,-1.72315501270068,9132.5,2904,0.949519632712459,2.45348498334437,0.961946604052599,2.48859462889186,0.974664537709735,2.52453715269212,0.987683596029498,2.56135753204205
"44",44,"Massachusetts",0.383040235571386,4.97111287042742,5.03104022094192,0.385617697070373,42.358162,-71.063698,6138.1188184741,0.522134598648316,6388501.5,189300,492.163461668442,1.44435515737501,9132.5,-3154,0.388224158112749,5.09236037844261,0.949519632712459,2.45348498334437,0.961946604052599,2.48859462889186,0.974664537709735,2.52453715269212
"45",45,"Massachusetts",0.380491311600828,4.91252906616637,4.97111287042742,0.383040235571386,42.358162,-71.063698,6006.68547903803,0.510186838863659,6397634,190005,-757.313301841483,-2.27787065096146,9132.5,705,0.385617697070373,5.03104022094192,0.388224158112749,5.09236037844261,0.949519632712459,2.45348498334437,0.961946604052599,2.48859462889186
