"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Michigan",1.55680440946302,5.8203364222571,5.94657191430699,1.58809037631347,42.733635,-84.555328,2567.31592529065,0.402820602715822,9439755.5,188713,205.188184209368,-1.20272110530585,19654.75,-2682,0.34780809800754,3.18653689882922,0.350687389819981,3.23938936697417,0.353604767556348,3.29378462390935,0.356560940507222,3.34982380211031
"8",8,"Michigan",1.52661717213807,5.69880918190009,5.8203364222571,1.55680440946302,42.733635,-84.555328,2880.64677774177,0.408747116837085,9459410.25,191143,324.58158060099,0.64060919617181,19654.75,2430,1.58809037631347,5.94657191430699,0.34780809800754,3.18653689882922,0.350687389819981,3.23938936697417,0.353604767556348,3.29378462390935
"9",9,"Michigan",1.49747237752109,5.58171604267415,5.69880918190009,1.52661717213807,42.733635,-84.555328,2668.63273782805,0.394087989339314,9479065,195460,-525.344892364851,-2.05856416190327,19654.75,4317,1.55680440946302,5.8203364222571,1.58809037631347,5.94657191430699,0.34780809800754,3.18653689882922,0.350687389819981,3.23938936697417
"10",10,"Michigan",1.51220917339518,4.18213017821216,5.58171604267415,1.49747237752109,42.733635,-84.555328,2685.32323161707,0.406460780743224,9494327.25,195640,228.704533702751,2.70319189016803,15262.25,180,1.52661717213807,5.69880918190009,1.55680440946302,5.8203364222571,1.58809037631347,5.94657191430699,0.34780809800754,3.18653689882922
"11",11,"Michigan",1.48493529779596,4.1097646693288,4.18213017821216,1.51220917339518,42.733635,-84.555328,2658.38766110777,0.404961504034077,9509589.5,195193,-43.6260642983234,-1.38720681130567,15262.25,-447,1.49747237752109,5.58171604267415,1.52661717213807,5.69880918190009,1.55680440946302,5.8203364222571,1.58809037631347,5.94657191430699
"12",12,"Michigan",1.45855208284438,4.03981173768244,4.1097646693288,1.48493529779596,42.733635,-84.555328,3161.24826950719,0.412035809376246,9524851.75,197900,529.796178908718,0.857358205131559,15262.25,2707,1.51220917339518,4.18213017821216,1.49747237752109,5.58171604267415,1.52661717213807,5.69880918190009,1.55680440946302,5.8203364222571
"13",13,"Michigan",1.43301692211075,3.9721412015254,4.03981173768244,1.45855208284438,42.733635,-84.555328,2651.04375587126,0.399817095127654,9540114,200263,-1013.06512203534,-1.929301959076,15262.25,2363,1.48493529779596,4.1097646693288,1.51220917339518,4.18213017821216,1.49747237752109,5.58171604267415,1.52661717213807,5.69880918190009
"14",14,"Michigan",2.58514100063643,7.25658590847971,3.9721412015254,1.43301692211075,42.733635,-84.555328,2810.74997170842,0.411172314547782,9554519.75,201901,669.91072947308,2.35739336687196,14405.75,1638,1.45855208284438,4.03981173768244,1.48493529779596,4.1097646693288,1.51220917339518,4.18213017821216,1.49747237752109,5.58171604267415
"15",15,"Michigan",2.51249908329818,7.09310628983104,7.25658590847971,2.58514100063643,42.733635,-84.555328,2827.32550462432,0.408365181649706,9568925.5,200943,-143.130682921253,-1.41623523182051,14405.75,-958,1.43301692211075,3.9721412015254,1.45855208284438,4.03981173768244,1.48493529779596,4.1097646693288,1.51220917339518,4.18213017821216
"16",16,"Michigan",2.44363748393308,6.93645493488759,7.09310628983104,2.51249908329818,42.733635,-84.555328,3295.70790918868,0.418881969322167,9583331.25,203663,451.806871648456,1.33239205705385,14405.75,2720,2.58514100063643,7.25658590847971,1.43301692211075,3.9721412015254,1.45855208284438,4.03981173768244,1.48493529779596,4.1097646693288
