"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Mississippi",1.63347896646275,4.5326285363835,4.65697706357346,1.66866012411599,32.303848,-90.182106,1592.20628296933,0.351431357377015,2611233.5,56855,-103.796852371364,-0.407275848283628,6250.25,126,1.10523027325531,3.25078700420889,1.12188793035521,3.31028932045996,1.13899726616129,3.37169280555756,1.15657660526978,3.43512495317384
"8",8,"Mississippi",1.59961004318632,4.41252866560973,4.5326285363835,1.63347896646275,32.303848,-90.182106,1726.32591854677,0.356631440405313,2617483.75,57113,156.665409459145,0.458582463518903,6250.25,258,1.66866012411599,4.65697706357346,1.10523027325531,3.25078700420889,1.12188793035521,3.31028932045996,1.13899726616129,3.37169280555756
"9",9,"Mississippi",1.56698214224029,4.29640456197546,4.41252866560973,1.59961004318632,32.303848,-90.182106,1620.24709364593,0.349109576910871,2623734,56656,-240.198460478286,-1.27219465227402,6250.25,-457,1.63347896646275,4.5326285363835,1.66866012411599,4.65697706357346,1.10523027325531,3.25078700420889,1.12188793035521,3.31028932045996
"10",10,"Mississippi",1.57432540149731,4.36605960200183,4.29640456197546,1.56698214224029,32.303848,-90.182106,1688.60434253169,0.355276778745914,2631575.5,57168,174.436073786609,1.36890653294848,7841.5,512,1.59961004318632,4.41252866560973,1.63347896646275,4.5326285363835,1.66866012411599,4.65697706357346,1.10523027325531,3.25078700420889
"11",11,"Mississippi",1.54078523712826,4.28648729682237,4.36605960200183,1.57432540149731,32.303848,-90.182106,1665.01219170749,0.355121478215328,2639417,57426,-91.9493997099644,-0.632250236562809,7841.5,258,1.56698214224029,4.29640456197546,1.59961004318632,4.41252866560973,1.63347896646275,4.5326285363835,1.66866012411599,4.65697706357346
"12",12,"Mississippi",1.50848282020934,4.20967687845462,4.28648729682237,1.54078523712826,32.303848,-90.182106,1865.64471811121,0.362403596022073,2647258.5,57993,224.224677227923,0.743741833733064,7841.5,567,1.57432540149731,4.36605960200183,1.56698214224029,4.29640456197546,1.59961004318632,4.41252866560973,1.63347896646275,4.5326285363835
"13",13,"Mississippi",1.47735207139323,4.13547478302405,4.20967687845462,1.50848282020934,32.303848,-90.182106,1654.84857896124,0.357310459116417,2655100,57552,-411.428665553685,-1.23752547124012,7841.5,-441,1.54078523712826,4.28648729682237,1.57432540149731,4.36605960200183,1.56698214224029,4.29640456197546,1.59961004318632,4.41252866560973
"14",14,"Mississippi",1.90717037664943,7.33414633110101,4.13547478302405,1.47735207139323,32.303848,-90.182106,1777.13444347123,0.366234127367012,2663573,57887,333.082003659952,1.40168051562501,8473,335,1.50848282020934,4.20967687845462,1.54078523712826,4.28648729682237,1.57432540149731,4.36605960200183,1.56698214224029,4.29640456197546
"15",15,"Mississippi",1.85971791272106,7.16030971626438,7.33414633110101,1.90717037664943,32.303848,-90.182106,1802.56247646934,0.367313911013009,2672046,58192,-96.8578315118775,-0.784388460459684,8473,305,1.47735207139323,4.13547478302405,1.50848282020934,4.20967687845462,1.54078523712826,4.28648729682237,1.57432540149731,4.36605960200183
"16",16,"Mississippi",1.81432467827953,6.99403795180302,7.16030971626438,1.85971791272106,32.303848,-90.182106,1996.15869352167,0.377859536405699,2680519,59266,168.168184054213,0.946584174669213,8473,1074,1.90717037664943,7.33414633110101,1.47735207139323,4.13547478302405,1.50848282020934,4.20967687845462,1.54078523712826,4.28648729682237
"17",17,"Mississippi",1.77086142333671,6.83483952049713,6.99403795180302,1.81432467827953,32.303848,-90.182106,1825.55340811724,0.373024910449715,2688992,59367,-364.201502456745,-1.5380251348673,8473,101,1.85971791272106,7.16030971626438,1.90717037664943,7.33414633110101,1.47735207139323,4.13547478302405,1.50848282020934,4.20967687845462
"18",18,"Mississippi",1.31270500764984,4.96619916548084,6.83483952049713,1.77086142333671,32.303848,-90.182106,1919.33572062447,0.383047125010871,2697408.75,59040,264.38759791165,1.48568405171394,8416.75,-327,1.81432467827953,6.99403795180302,1.85971791272106,7.16030971626438,1.90717037664943,7.33414633110101,1.47735207139323,4.13547478302405
"19",19,"Mississippi",1.28768698176795,4.87513479837247,4.96619916548084,1.31270500764984,32.303848,-90.182106,1973.69171810969,0.386046205369366,2705825.5,59449,-39.4263150220111,-0.702313420266087,8416.75,409,1.77086142333671,6.83483952049713,1.81432467827953,6.99403795180302,1.85971791272106,7.16030971626438,1.90717037664943,7.33414633110101
"20",20,"Mississippi",1.26348119079225,4.78712726250237,4.87513479837247,1.28768698176795,32.303848,-90.182106,2084.29973337863,0.38798268651223,2714242.25,60100,56.252017783723,-0.106259921563062,8416.75,651,1.31270500764984,4.96619916548084,1.77086142333671,6.83483952049713,1.81432467827953,6.99403795180302,1.85971791272106,7.16030971626438
"21",21,"Mississippi",1.24004964660358,4.70202183858035,4.78712726250237,1.26348119079225,32.303848,-90.182106,1968.33191964179,0.381468630482187,2722659,59553,-226.575829005773,-0.845053717290767,8416.75,-547,1.28768698176795,4.87513479837247,1.31270500764984,4.96619916548084,1.77086142333671,6.83483952049713,1.81432467827953,6.99403795180302
"22",22,"Mississippi",0.886297769340061,5.45676286433618,4.70202183858035,1.24004964660358,32.303848,-90.182106,2016.08779283225,0.386871627026914,2729015.5,59406,163.723686927293,1.19170525747704,6356.5,-147,1.26348119079225,4.78712726250237,1.28768698176795,4.87513479837247,1.31270500764984,4.96619916548084,1.77086142333671,6.83483952049713
"23",23,"Mississippi",0.874446293503084,5.35546313242321,5.45676286433618,0.886297769340061,32.303848,-90.182106,2003.53215504143,0.386011482167691,2735372,59964,-60.3115109812743,-0.626314140395035,6356.5,558,1.24004964660358,4.70202183858035,1.26348119079225,4.78712726250237,1.28768698176795,4.87513479837247,1.31270500764984,4.96619916548084
"24",24,"Mississippi",0.862863727359731,5.25774730810227,5.35546313242321,0.874446293503084,32.303848,-90.182106,2164.1931081068,0.389245203041317,2741728.5,60325,173.216590856182,0.409386573285014,6356.5,361,0.886297769340061,5.45676286433618,1.24004964660358,4.70202183858035,1.26348119079225,4.78712726250237,1.28768698176795,4.87513479837247
"25",25,"Mississippi",0.851541268496447,5.16341647731835,5.25774730810227,0.862863727359731,32.303848,-90.182106,2038.19383388796,0.381673783743953,2748085,60393,-286.660227284207,-1.08051401709917,6356.5,68,0.874446293503084,5.35546313242321,0.886297769340061,5.45676286433618,1.24004964660358,4.70202183858035,1.26348119079225,4.78712726250237
"26",26,"Mississippi",0.159706676507021,6.3841583886564,5.16341647731835,0.851541268496447,32.303848,-90.182106,2102.91142128136,0.389552953977399,2755314.75,60410,190.71686161224,1.54505895308117,7229.75,17,0.862863727359731,5.25774730810227,0.874446293503084,5.35546313242321,0.886297769340061,5.45676286433618,1.24004964660358,4.70202183858035
"27",27,"Mississippi",0.158618090863172,6.19799993115464,6.3841583886564,0.159706676507021,32.303848,-90.182106,2076.3170012284,0.388275495049341,2762544.5,60917,-91.3120074463657,-0.915662916150567,7229.75,507,0.851541268496447,5.16341647731835,0.862863727359731,5.25774730810227,0.874446293503084,5.35546313242321,0.886297769340061,5.45676286433618
"28",28,"Mississippi",0.157540794886302,6.021323828584,6.19799993115464,0.158618090863172,32.303848,-90.182106,2260.18135304709,0.390144070405738,2769774.25,61170,210.458771871663,0.314603428445609,7229.75,253,0.159706676507021,6.3841583886564,0.851541268496447,5.16341647731835,0.862863727359731,5.25774730810227,0.874446293503084,5.35546313242321
"29",29,"Mississippi",0.156474630394143,5.85335578353181,6.021323828584,0.157540794886302,32.303848,-90.182106,2113.06551520992,0.383738614228379,2777004,61707,-330.980189655875,-0.827403153375578,7229.75,537,0.158618090863172,6.19799993115464,0.159706676507021,6.3841583886564,0.851541268496447,5.16341647731835,0.862863727359731,5.25774730810227
