"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Nebraska",1.5311572565393,5.42054268682861,5.54265770535025,1.5627087405516,40.808075,-96.699654,2170.21278673254,0.450584433790601,1603803,46905,29.2727881998962,-0.977318862993803,3942,285,1.10420097159203,3.31234930382109,1.12156832559993,3.3714266976375,1.13942091113479,3.4323776028387,1.15777893821978,3.4953396408028
"8",8,"Nebraska",1.50072596697743,5.30301848380859,5.42054268682861,1.5311572565393,40.808075,-96.699654,2306.08379002889,0.448780538373104,1607745,46031,75.1012000480114,-0.238110983091355,3942,-874,1.5627087405516,5.54265770535025,1.10420097159203,3.31234930382109,1.12156832559993,3.3714266976375,1.13942091113479,3.4323776028387
"9",9,"Nebraska",1.47135706003354,5.18981484665986,5.30301848380859,1.50072596697743,40.808075,-96.699654,2162.62436068542,0.439833127234589,1611687,45824,-279.330432639829,-0.714351572101884,3942,-207,1.5311572565393,5.42054268682861,1.5627087405516,5.54265770535025,1.10420097159203,3.31234930382109,1.12156832559993,3.3714266976375
"10",10,"Nebraska",0.526956352259056,4.29054470128349,5.18981484665986,1.47135706003354,40.808075,-96.699654,2214.79367512655,0.452868913674489,1615162.75,46143,195.628743784601,2.19831975784148,3475.75,319,1.50072596697743,5.30301848380859,1.5311572565393,5.42054268682861,1.5627087405516,5.54265770535025,1.10420097159203,3.31234930382109
"11",11,"Nebraska",0.52194870219644,4.20723307314361,4.29054470128349,0.526956352259056,40.808075,-96.699654,2266.96115469884,0.453377946959744,1618638.5,46385,-0.00183486883406658,-1.25267531546442,3475.75,242,1.47135706003354,5.18981484665986,1.50072596697743,5.30301848380859,1.5311572565393,5.42054268682861,1.5627087405516,5.54265770535025
"12",12,"Nebraska",0.517019105488359,4.12706852031803,4.20723307314361,0.52194870219644,40.808075,-96.699654,2527.02899749509,0.455469356325138,1622114.25,46682,207.900363223955,0.158237608013789,3475.75,297,0.526956352259056,4.29054470128349,1.47135706003354,5.18981484665986,1.50072596697743,5.30301848380859,1.5311572565393,5.42054268682861
"13",13,"Nebraska",0.512165831093725,4.04986018755267,4.12706852031803,0.517019105488359,40.808075,-96.699654,2188.52395807061,0.443337290870802,1625590,46813,-598.572882220731,-1.42234748197291,3475.75,131,0.52194870219644,4.20723307314361,0.526956352259056,4.29054470128349,1.47135706003354,5.18981484665986,1.50072596697743,5.30301848380859
"14",14,"Nebraska",2.39620906503504,7.2299793320866,4.04986018755267,0.512165831093725,40.808075,-96.699654,2307.20235807945,0.460569733120456,1628952.75,46985,457.18343943332,2.93645077039904,3362.75,172,0.517019105488359,4.12706852031803,0.52194870219644,4.20723307314361,0.526956352259056,4.29054470128349,1.47135706003354,5.18981484665986
"15",15,"Nebraska",2.33060161683003,7.0566419775183,7.2299793320866,2.39620906503504,40.808075,-96.699654,2397.43507918659,0.461595812819274,1632315.5,47540,-28.4456789016949,-1.62063625508366,3362.75,555,0.512165831093725,4.04986018755267,0.517019105488359,4.12706852031803,0.52194870219644,4.20723307314361,0.526956352259056,4.29054470128349
"16",16,"Nebraska",2.26826018207369,6.89094782906778,7.0566419775183,2.33060161683003,40.808075,-96.699654,2633.79072320611,0.465713636937256,1635678.25,48008,146.122922912373,0.309174441916416,3362.75,468,2.39620906503504,7.2299793320866,0.512165831093725,4.04986018755267,0.517019105488359,4.12706852031803,0.52194870219644,4.20723307314361
"17",17,"Nebraska",2.20894805178045,6.73239208325214,6.89094782906778,2.26826018207369,40.808075,-96.699654,2388.53949901192,0.453362464188917,1639041,47863,-481.606868213702,-1.64689968663214,3362.75,-145,2.33060161683003,7.0566419775183,2.39620906503504,7.2299793320866,0.512165831093725,4.04986018755267,0.517019105488359,4.12706852031803
"18",18,"Nebraska",0.645811069083813,4.40132280896606,6.73239208325214,2.20894805178045,40.808075,-96.699654,2437.71231565009,0.47180677551275,1643528.75,48150,294.424040832354,3.0795484072172,4487.75,287,2.26826018207369,6.89094782906778,2.33060161683003,7.0566419775183,2.39620906503504,7.2299793320866,0.512165831093725,4.04986018755267
"19",19,"Nebraska",0.63818354951426,4.32374937620637,4.40132280896606,0.645811069083813,40.808075,-96.699654,2581.27795019043,0.472838307949789,1648016.5,48186,94.3928179021659,-1.74127788867934,4487.75,36,2.20894805178045,6.73239208325214,2.26826018207369,6.89094782906778,2.33060161683003,7.0566419775183,2.39620906503504,7.2299793320866
"20",20,"Nebraska",0.630703135915667,4.24873166967572,4.32374937620637,0.63818354951426,40.808075,-96.699654,2718.51526251748,0.475564082008665,1652504.25,48664,-6.32832221328181,0.169424162183629,4487.75,478,0.645811069083813,4.40132280896606,2.20894805178045,6.73239208325214,2.26826018207369,6.89094782906778,2.33060161683003,7.0566419775183
