"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"New_Mexico",1.2400662075077,3.64515312944071,3.73721252678543,1.27194242433752,35.68224,-105.939728,1787.05225205324,0.36315895881199,1575373.5,39585,-48.0875255106273,-0.374073697024452,10034.25,305,2.55296987747613,1.94104526566505,2.64896234859417,1.97675158342285,2.75145711016371,2.01331906696609,2.86112307563346,2.05080673659062
"8",8,"New_Mexico",1.20946531071358,3.55695801133002,3.64515312944071,1.2400662075077,35.68224,-105.939728,1930.54277298695,0.362285979742435,1585407.75,39803,201.496905850053,-0.274923191221499,10034.25,218,1.27194242433752,3.73721252678543,2.55296987747613,1.94104526566505,2.64896234859417,1.97675158342285,2.75145711016371,2.01331906696609
"9",9,"New_Mexico",1.18006859285504,3.47237416575048,3.55695801133002,1.20946531071358,35.68224,-105.939728,1798.04560993129,0.354033344155831,1595442,40165,-275.987683989364,-0.737965651705047,10034.25,362,1.2400662075077,3.64515312944071,1.27194242433752,3.73721252678543,2.55296987747613,1.94104526566505,2.64896234859417,1.97675158342285
"10",10,"New_Mexico",2.55406817901562,3.17726380258883,3.47237416575048,1.18006859285504,35.68224,-105.939728,1897.64407961102,0.362824046517351,1605694.75,40123,232.095632735388,1.70433379481254,10252.75,-42,1.20946531071358,3.55695801133002,1.2400662075077,3.64515312944071,1.27194242433752,3.73721252678543,2.55296987747613,1.94104526566505
"11",11,"New_Mexico",2.45923969620598,3.10838915780707,3.17726380258883,2.55406817901562,35.68224,-105.939728,1862.80706334828,0.362973219530131,1615947.5,40573,-134.435485942469,-0.864152934874068,10252.75,450,1.18006859285504,3.47237416575048,1.20946531071358,3.55695801133002,1.2400662075077,3.64515312944071,1.27194242433752,3.73721252678543
"12",12,"New_Mexico",2.37030039320043,3.04227454963701,3.10838915780707,2.45923969620598,35.68224,-105.939728,2046.21112990236,0.366639553359639,1626200.25,41032,218.241082816815,0.351716081672793,10252.75,459,2.55406817901562,3.17726380258883,1.18006859285504,3.47237416575048,1.20946531071358,3.55695801133002,1.2400662075077,3.64515312944071
"13",13,"New_Mexico",2.28673156603367,2.97875154689855,3.04227454963701,2.37030039320043,35.68224,-105.939728,1826.95958759586,0.357765239820514,1636453,41413,-402.655608860581,-1.25406473686327,10252.75,381,2.45923969620598,3.10838915780707,2.55406817901562,3.17726380258883,1.18006859285504,3.47237416575048,1.20946531071358,3.55695801133002
"14",14,"New_Mexico",2.50878468224833,4.63196256635747,2.97875154689855,2.28673156603367,35.68224,-105.939728,1998.25751283004,0.366768779047326,1647939.25,41811,390.549467540688,1.7877852765937,11486.25,398,2.37030039320043,3.04227454963701,2.45923969620598,3.10838915780707,2.55406817901562,3.17726380258883,1.18006859285504,3.47237416575048
"15",15,"New_Mexico",2.41390693583305,4.51453133585993,4.63196256635747,2.50878468224833,35.68224,-105.939728,1978.64249585173,0.367982172143311,1659425.5,42443,-190.912942212496,-0.779014613082746,11486.25,632,2.28673156603367,2.97875154689855,2.37030039320043,3.04227454963701,2.45923969620598,3.10838915780707,2.55406817901562,3.17726380258883
"16",16,"New_Mexico",2.32497675233638,4.4025100893041,4.51453133585993,2.41390693583305,35.68224,-105.939728,2172.82179983473,0.374173361738983,1670911.75,42957,213.794320961316,0.497779649968705,11486.25,514,2.50878468224833,4.63196256635747,2.28673156603367,2.97875154689855,2.37030039320043,3.04227454963701,2.45923969620598,3.10838915780707
"17",17,"New_Mexico",2.24146733121131,4.29552857223499,4.4025100893041,2.32497675233638,35.68224,-105.939728,1964.61129590026,0.364610316147943,1682398,43758,-402.389807917478,-1.57542351867117,11486.25,801,2.41390693583305,4.51453133585993,2.50878468224833,4.63196256635747,2.28673156603367,2.97875154689855,2.37030039320043,3.04227454963701
"18",18,"New_Mexico",-0.286925948739558,3.30832823190406,4.29552857223499,2.24146733121131,35.68224,-105.939728,2067.30773740955,0.374871519956593,1691897,44184,310.906945443764,1.98242493996902,9499,426,2.32497675233638,4.4025100893041,2.41390693583305,4.51453133585993,2.50878468224833,4.63196256635747,2.28673156603367,2.97875154689855
"19",19,"New_Mexico",-0.284533937689346,3.24133454730848,3.30832823190406,-0.286925948739558,35.68224,-105.939728,2126.05973212585,0.376591340287623,1701396,44696,-43.9444467929829,-0.854138347762079,9499,512,2.24146733121131,4.29552857223499,2.32497675233638,4.4025100893041,2.41390693583305,4.51453133585993,2.50878468224833,4.63196256635747
"20",20,"New_Mexico",-0.282172852161366,3.17683839976191,3.24133454730848,-0.284533937689346,35.68224,-105.939728,2220.9075051362,0.382562537930927,1710895,44604,36.0957782940391,0.425137731227482,9499,-92,-0.286925948739558,3.30832823190406,2.24146733121131,4.29552857223499,2.32497675233638,4.4025100893041,2.41390693583305,4.51453133585993
"21",21,"New_Mexico",-0.279842143427267,3.11469936929676,3.17683839976191,-0.282172852161366,35.68224,-105.939728,2151.09983875787,0.378820587997091,1720394,46558,-164.655439388681,-0.971314757714076,9499,1954,-0.284533937689346,3.24133454730848,-0.286925948739558,3.30832823190406,2.24146733121131,4.29552857223499,2.32497675233638,4.4025100893041
"22",22,"New_Mexico",0.942447709817351,4.13327828772196,3.11469936929676,-0.279842143427267,35.68224,-105.939728,2193.61164202023,0.387179224594326,1728377,47453,112.319469640699,1.21005865310714,7983,895,-0.282172852161366,3.17683839976191,-0.284533937689346,3.24133454730848,-0.286925948739558,3.30832823190406,2.24146733121131,4.29552857223499
