"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"North_Carolina",1.73057722178953,4.07564752390215,4.17077148456144,1.77584294994357,35.78043,-78.639099,2329.82299886255,0.444972408227737,6840747,161080,-107.952390184926,-0.615802593713838,28233.5,1445,0.708380653304097,2.56429320400713,0.719837551169888,2.615388631461,0.73159377123897,2.66815020532789,0.743660430194204,2.72270801526773
"8",8,"North_Carolina",1.6872699912561,3.98424650868705,4.07564752390215,1.73057722178953,35.78043,-78.639099,2505.3705997564,0.447663570064485,6868980.5,163000,191.437896397611,0.27129054248819,28233.5,1920,1.77584294994357,4.17077148456144,0.708380653304097,2.56429320400713,0.719837551169888,2.615388631461,0.73159377123897,2.66815020532789
"9",9,"North_Carolina",1.64579974702406,3.8963441104336,3.98424650868705,1.6872699912561,35.78043,-78.639099,2356.26154763358,0.437354802484984,6897214,162279,-324.656653016663,-1.29999294162497,28233.5,-721,1.73057722178953,4.07564752390215,1.77584294994357,4.17077148456144,0.708380653304097,2.56429320400713,0.719837551169888,2.615388631461
"10",10,"North_Carolina",0.824624173205457,3.52664437738781,3.8963441104336,1.64579974702406,35.78043,-78.639099,2406.13038883757,0.447791087333231,6933615,163238,198.977893326804,2.07450524277482,36401,959,1.6872699912561,3.98424650868705,1.73057722178953,4.07564752390215,1.77584294994357,4.17077148456144,0.708380653304097,2.56429320400713
"11",11,"North_Carolina",0.809371404448633,3.45136137559123,3.52664437738781,0.824624173205457,35.78043,-78.639099,2454.05380934563,0.446269085561162,6970016,164451,-1.94542069592535,-1.1958286620316,36401,1213,1.64579974702406,3.8963441104336,1.6872699912561,3.98424650868705,1.73057722178953,4.07564752390215,1.77584294994357,4.17077148456144
"12",12,"North_Carolina",0.794563736215714,3.37913387318736,3.45136137559123,0.809371404448633,35.78043,-78.639099,2741.80745094104,0.451647634827711,7006417,165618,239.830221087351,0.690055103861836,36401,1167,0.824624173205457,3.52664437738781,1.64579974702406,3.8963441104336,1.6872699912561,3.98424650868705,1.73057722178953,4.07564752390215
"13",13,"North_Carolina",0.780183158409287,3.3097685893587,3.37913387318736,0.794563736215714,35.78043,-78.639099,2366.70857886715,0.441883301068786,7042818,166673,-662.852513669305,-1.51428830254741,36401,1055,0.809371404448633,3.45136137559123,0.824624173205457,3.52664437738781,1.64579974702406,3.8963441104336,1.6872699912561,3.98424650868705
"14",14,"North_Carolina",1.44523457890831,5.19541671516706,3.3097685893587,0.780183158409287,35.78043,-78.639099,2513.69991127231,0.453142595414988,7078963,168474,522.090204479054,2.10236281051262,36145,1801,0.794563736215714,3.37913387318736,0.809371404448633,3.45136137559123,0.824624173205457,3.52664437738781,1.64579974702406,3.8963441104336
"15",15,"North_Carolina",1.41027185964973,5.06818694840945,5.19541671516706,1.44523457890831,35.78043,-78.639099,2583.26833015043,0.454141431631584,7115108,169945,-77.4229135270421,-1.02604581296054,36145,1471,0.780183158409287,3.3097685893587,0.794563736215714,3.37913387318736,0.809371404448633,3.45136137559123,0.824624173205457,3.52664437738781
"16",16,"North_Carolina",1.37669799760349,4.94668085520686,5.06818694840945,1.41027185964973,35.78043,-78.639099,2830.89424916165,0.458358229902741,7151253,171942,178.057500133095,0.321796205456154,36145,1997,1.44523457890831,5.19541671516706,0.780183158409287,3.3097685893587,0.794563736215714,3.37913387318736,0.809371404448633,3.45136137559123
"17",17,"North_Carolina",1.34443489699088,4.83051281697016,4.94668085520686,1.37669799760349,35.78043,-78.639099,2543.5604160226,0.449005142983131,7187398,171611,-534.959752150266,-1.3569885190768,36145,-331,1.41027185964973,5.06818694840945,1.44523457890831,5.19541671516706,0.780183158409287,3.3097685893587,0.794563736215714,3.37913387318736
"18",18,"North_Carolina",1.11999832543255,3.21200573290881,4.83051281697016,1.34443489699088,35.78043,-78.639099,2615.83182017505,0.460630140445055,7226717,173689,359.605237291505,2.0978084381535,39319,2078,1.37669799760349,4.94668085520686,1.41027185964973,5.06818694840945,1.44523457890831,5.19541671516706,0.780183158409287,3.3097685893587
"19",19,"North_Carolina",1.09567147236547,3.15365722821781,3.21200573290881,1.11999832543255,35.78043,-78.639099,2716.33928513429,0.460497443172591,7266036,175903,28.2360608067811,-1.17576947343885,39319,2214,1.34443489699088,4.83051281697016,1.37669799760349,4.94668085520686,1.41027185964973,5.06818694840945,1.44523457890831,5.19541671516706
"20",20,"North_Carolina",1.07219237079264,3.0972992453222,3.15365722821781,1.09567147236547,35.78043,-78.639099,2895.33221397181,0.465219235296117,7305355,178046,78.4854638782831,0.485448939599037,39319,2143,1.11999832543255,3.21200573290881,1.34443489699088,4.83051281697016,1.37669799760349,4.94668085520686,1.41027185964973,5.06818694840945
"21",21,"North_Carolina",1.04951966838254,3.04282696842648,3.0972992453222,1.07219237079264,35.78043,-78.639099,2758.04875886935,0.456663200209204,7344674,178319,-316.276383939971,-1.32778272104398,39319,273,1.09567147236547,3.15365722821781,1.11999832543255,3.21200573290881,1.34443489699088,4.83051281697016,1.37669799760349,4.94668085520686
"22",22,"North_Carolina",0.798738962516765,4.5049531838373,3.04282696842648,1.04951966838254,35.78043,-78.639099,2775.9352637908,0.464607565006377,7383673,180183,155.1699600239,1.65003998840871,38999,1864,1.07219237079264,3.0972992453222,1.09567147236547,3.15365722821781,1.11999832543255,3.21200573290881,1.34443489699088,4.83051281697016
