"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Pennsylvania",1.26841491699619,6.54030930011089,6.66718142063871,1.28834109001659,40.264378,-76.883598,2464.04017899089,0.410538939803766,12015807,270139,-103.925005960507,-1.02498905024884,16821.5,1206,0.808240032939445,3.80154671926789,0.817527236002569,3.86791656404526,0.82700323599294,3.93649759315267,0.836673731801341,4.00743551294767
"8",8,"Pennsylvania",1.24904719876398,6.4178741714052,6.54030930011089,1.26841491699619,40.264378,-76.883598,2687.25445342221,0.415000042038473,12032628.5,269751,261.435654219709,0.940906616403953,16821.5,-388,1.28834109001659,6.66718142063871,0.808240032939445,3.80154671926789,0.817527236002569,3.86791656404526,0.82700323599294,3.93649759315267
"9",9,"Pennsylvania",1.23021496282565,6.29962708343044,6.4178741714052,1.24904719876398,40.264378,-76.883598,2523.14551676633,0.403543757875532,12049450,270177,-387.323211087202,-1.59173863976487,16821.5,426,1.26841491699619,6.54030930011089,1.28834109001659,6.66718142063871,0.808240032939445,3.80154671926789,0.817527236002569,3.86791656404526
"10",10,"Pennsylvania",0.946614766282217,4.924510463308,6.29962708343044,1.23021496282565,40.264378,-76.883598,2570.41521979932,0.41272826975998,12067018.5,270809,211.378639688882,2.06407960473884,17568.5,632,1.24904719876398,6.4178741714052,1.26841491699619,6.54030930011089,1.28834109001659,6.66718142063871,0.808240032939445,3.80154671926789
"11",11,"Pennsylvania",0.935024086584058,4.8464707748991,4.924510463308,0.946614766282217,40.264378,-76.883598,2562.76477309485,0.409840209406136,12084587,271720,-54.9201497374688,-1.20725722382914,17568.5,911,1.23021496282565,6.29962708343044,1.24904719876398,6.4178741714052,1.26841491699619,6.54030930011089,1.28834109001659,6.66718142063871
"12",12,"Pennsylvania",0.923685126816309,4.77081753234998,4.8464707748991,0.935024086584058,40.264378,-76.883598,2929.69422992458,0.41451646086242,12102155.5,271826,374.579903534197,0.756431181012784,17568.5,106,0.946614766282217,4.924510463308,1.23021496282565,6.29962708343044,1.24904719876398,6.4178741714052,1.26841491699619,6.54030930011089
"13",13,"Pennsylvania",0.912589882918802,4.6974315022112,4.77081753234998,0.923685126816309,40.264378,-76.883598,2489.05369420954,0.404776434402852,12119724,272230,-807.569992544767,-1.44162779158519,17568.5,404,0.935024086584058,4.8464707748991,0.946614766282217,4.924510463308,1.23021496282565,6.29962708343044,1.24904719876398,6.4178741714052
"14",14,"Pennsylvania",1.2179550836942,8.77231678262973,4.6974315022112,0.912589882918802,40.264378,-76.883598,2654.36987552576,0.413326304136572,12131305.5,272454,605.956717031265,1.82898961932882,11581.5,224,0.923685126816309,4.77081753234998,0.935024086584058,4.8464707748991,0.946614766282217,4.924510463308,1.23021496282565,6.29962708343044
"15",15,"Pennsylvania",1.20101765158367,8.58489366795325,8.77231678262973,1.2179550836942,40.264378,-76.883598,2673.94487612377,0.41085114273072,12142887,272510,-145.741180718212,-1.10250311395724,11581.5,56,0.912589882918802,4.6974315022112,0.923685126816309,4.77081753234998,0.935024086584058,4.8464707748991,0.946614766282217,4.924510463308
"16",16,"Pennsylvania",1.1845159373074,8.40500552972543,8.58489366795325,1.20101765158367,40.264378,-76.883598,2989.01102561581,0.416257362467145,12154468.5,272435,295.491148894018,0.788138114227782,11581.5,-75,1.2179550836942,8.77231678262973,0.912589882918802,4.6974315022112,0.923685126816309,4.77081753234998,0.935024086584058,4.8464707748991
"17",17,"Pennsylvania",1.16843341593906,8.23219170232576,8.40500552972543,1.1845159373074,40.264378,-76.883598,2624.85037674512,0.404612535155891,12166050,273230,-679.226798362713,-1.70510470476795,11581.5,795,1.20101765158367,8.58489366795325,1.2179550836942,8.77231678262973,0.912589882918802,4.6974315022112,0.923685126816309,4.77081753234998
"18",18,"Pennsylvania",1.30531597775043,6.52238809345249,8.23219170232576,1.16843341593906,40.264378,-76.883598,2728.70086767743,0.416658594568969,12174138.25,274682,468.011139802991,2.36908867243318,8088.25,1452,1.1845159373074,8.40500552972543,1.20101765158367,8.58489366795325,1.2179550836942,8.77231678262973,0.912589882918802,4.6974315022112
"19",19,"Pennsylvania",1.28679678338273,6.40763567568357,6.52238809345249,1.30531597775043,40.264378,-76.883598,2819.77086347886,0.415752216285477,12182226.5,274534,-12.7804951308831,-1.29524376965707,8088.25,-148,1.16843341593906,8.23219170232576,1.1845159373074,8.40500552972543,1.20101765158367,8.58489366795325,1.2179550836942,8.77231678262973
"20",20,"Pennsylvania",1.26877324033838,6.29668921553517,6.40763567568357,1.28679678338273,40.264378,-76.883598,3009.37505407725,0.421754546302151,12190314.75,274244,98.5341947969732,0.690870830016677,8088.25,-290,1.30531597775043,6.52238809345249,1.16843341593906,8.23219170232576,1.1845159373074,8.40500552972543,1.20101765158367,8.58489366795325
"21",21,"Pennsylvania",1.2512257541287,6.18935420543707,6.29668921553517,1.26877324033838,40.264378,-76.883598,2846.09697359564,0.410976557067894,12198403,275374,-352.882271080011,-1.67803192509311,8088.25,1130,1.28679678338273,6.40763567568357,1.30531597775043,6.52238809345249,1.16843341593906,8.23219170232576,1.1845159373074,8.40500552972543
"22",22,"Pennsylvania",0.909682398103584,7.00010367131654,6.18935420543707,1.2512257541287,40.264378,-76.883598,2874.61122734086,0.420812334869035,12203918.25,277615,191.792334226829,2.06137670353987,5515.25,2241,1.26877324033838,6.29668921553517,1.28679678338273,6.40763567568357,1.30531597775043,6.52238809345249,1.16843341593906,8.23219170232576
"23",23,"Pennsylvania",0.900670942878001,6.8748410632864,7.00010367131654,0.909682398103584,40.264378,-76.883598,2847.07807286882,0.417703818936399,12209433.5,278561,-56.0474082172559,-1.29442937337785,5515.25,946,1.2512257541287,6.18935420543707,1.26877324033838,6.29668921553517,1.28679678338273,6.40763567568357,1.30531597775043,6.52238809345249
"24",24,"Pennsylvania",0.891828727421995,6.75393952340784,6.8748410632864,0.900670942878001,40.264378,-76.883598,3118.6758921113,0.423696988495347,12214948.75,278337,299.130973714515,0.910168549158497,5515.25,-224,0.909682398103584,7.00010367131654,1.2512257541287,6.18935420543707,1.26877324033838,6.29668921553517,1.28679678338273,6.40763567568357
"25",25,"Pennsylvania",0.883151038023122,6.63715572952768,6.75393952340784,0.891828727421995,40.264378,-76.883598,2963.12042505096,0.412070960098842,12220464,278301,-427.153286302807,-1.7619197955453,5515.25,-36,0.900670942878001,6.8748410632864,0.909682398103584,7.00010367131654,1.2512257541287,6.18935420543707,1.26877324033838,6.29668921553517
"26",26,"Pennsylvania",2.31521065653375,11.8900943121609,6.63715572952768,0.883151038023122,40.264378,-76.883598,3009.66644473629,0.424825662608088,12222301.5,280053,202.101486745656,2.43807309057515,1837.5,1752,0.891828727421995,6.75393952340784,0.900670942878001,6.8748410632864,0.909682398103584,7.00010367131654,1.2512257541287,6.18935420543707
"27",27,"Pennsylvania",2.262146689778,11.5232884089494,11.8900943121609,2.31521065653375,40.264378,-76.883598,2974.01682449782,0.422630120070897,12224139,281460,-82.1956399237893,-1.49502450464382,1837.5,1407,0.883151038023122,6.63715572952768,0.891828727421995,6.75393952340784,0.900670942878001,6.8748410632864,0.909682398103584,7.00010367131654
"28",28,"Pennsylvania",2.2114459385433,11.1767157958084,11.5232884089494,2.262146689778,40.264378,-76.883598,3303.93183767366,0.429309729710888,12225976.5,283414,365.564633414303,0.887515217718254,1837.5,1954,2.31521065653375,11.8900943121609,0.883151038023122,6.63715572952768,0.891828727421995,6.75393952340784,0.900670942878001,6.8748410632864
"29",29,"Pennsylvania",2.16295397238468,10.8486454458948,11.1767157958084,2.2114459385433,40.264378,-76.883598,3123.4124515633,0.420904695911578,12227814,285174,-510.434399286203,-1.50846434393011,1837.5,1760,2.262146689778,11.5232884089494,2.31521065653375,11.8900943121609,0.883151038023122,6.63715572952768,0.891828727421995,6.75393952340784
"30",30,"Pennsylvania",1.22737150221965,7.13178180681666,10.8486454458948,2.16295397238468,40.264378,-76.883598,3157.03656902514,0.431540098328097,12232278.5,286604,214.143503572209,1.90404362158293,4464.5,1430,2.2114459385433,11.1767157958084,2.262146689778,11.5232884089494,2.31521065653375,11.8900943121609,0.883151038023122,6.63715572952768
"31",31,"Pennsylvania",1.21161016582416,6.99789315479862,7.13178180681666,1.22737150221965,40.264378,-76.883598,3163.18511518956,0.430504424257337,12236743,298051,-27.4755712974288,-1.16710764872791,4464.5,11447,2.16295397238468,10.8486454458948,2.2114459385433,11.1767157958084,2.262146689778,11.5232884089494,2.31521065653375,11.8900943121609
"32",32,"Pennsylvania",1.196237743026,6.86882567336085,6.99789315479862,1.21161016582416,40.264378,-76.883598,3550.10591953449,0.436909621320718,12241207.5,292477,380.772258180518,0.744087113414083,4464.5,-5574,1.22737150221965,7.13178180681666,2.16295397238468,10.8486454458948,2.2114459385433,11.1767157958084,2.262146689778,11.5232884089494
"33",33,"Pennsylvania",1.18124002548665,6.7443006310711,6.86882567336085,1.196237743026,40.264378,-76.883598,3295.626782344,0.428487142232782,12245672,293415,-641.399941535426,-1.48276761513166,4464.5,938,1.21161016582416,6.99789315479862,1.22737150221965,7.13178180681666,2.16295397238468,10.8486454458948,2.2114459385433,11.1767157958084
