"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Arizona",0.0220453451839475,0.0273933778243354,0.0280502674626959,0.0229250062817901,33.448143,-112.096962,2059.58619142829,0.38222584154994,3852158,90470,-115.718999931603,-0.00956042750047681,31791,405,0.00241525789851771,0.0177261306082031,0.00245499770989888,0.0181451865676898,0.0024957340388756,0.0185801454177792,0.00253750074078951,0.0190325159852662
"8",8,"Arizona",0.0212204247762546,0.026761987074849,0.0273933778243354,0.0220453451839475,33.448143,-112.096962,2305.9486272863,0.396468731523852,3883949,90628,246.362435858015,0.0142428899739121,31791,158,0.0229250062817901,0.0280502674626959,0.00241525789851771,0.0177261306082031,0.00245499770989888,0.0181451865676898,0.0024957340388756,0.0185801454177792
"9",9,"Arizona",0.0204454778767253,0.0261545813159927,0.026761987074849,0.0212204247762546,33.448143,-112.096962,2164.70074238841,0.389302149785226,3915740,93113,-141.247884897889,-0.00716658173862622,31791,2485,0.0220453451839475,0.0273933778243354,0.0229250062817901,0.0280502674626959,0.00241525789851771,0.0177261306082031,0.00245499770989888,0.0181451865676898
"10",10,"Arizona",0.0103006288841865,0.0277719706034851,0.0261545813159927,0.0204454778767253,33.448143,-112.096962,2200.35616449098,0.386503641175278,3953165,95026,35.6554221025717,-0.00279850860994807,37425,1913,0.0212204247762546,0.026761987074849,0.0220453451839475,0.0273933778243354,0.0229250062817901,0.0280502674626959,0.00241525789851771,0.0177261306082031
"11",11,"Arizona",0.0100053251022558,0.0270974609778953,0.0277719706034851,0.0103006288841865,33.448143,-112.096962,2102.56600653036,0.377626700145425,3990590,95712,-97.7901579606209,-0.00887694102985226,37425,686,0.0204454778767253,0.0261545813159927,0.0212204247762546,0.026761987074849,0.0220453451839475,0.0273933778243354,0.0229250062817901,0.0280502674626959
"12",12,"Arizona",0.00972302073828679,0.0264539594255169,0.0270974609778953,0.0100053251022558,33.448143,-112.096962,2468.57112870732,0.390208162912336,4028015,95405,366.005122176954,0.0125814627669106,37425,-307,0.0103006288841865,0.0277719706034851,0.0204454778767253,0.0261545813159927,0.0212204247762546,0.026761987074849,0.0220453451839475,0.0273933778243354
"13",13,"Arizona",0.00945293894953636,0.025839270695279,0.0264539594255169,0.00972302073828679,33.448143,-112.096962,2123.80646842654,0.387746139819224,4065440,94564,-344.764660280774,-0.00246202309311189,37425,-841,0.0100053251022558,0.0270974609778953,0.0103006288841865,0.0277719706034851,0.0204454778767253,0.0261545813159927,0.0212204247762546,0.026761987074849
"14",14,"Arizona",0.0195446251256168,0.0377556615657575,0.025839270695279,0.00945293894953636,33.448143,-112.096962,2268.31874324153,0.38776473881689,4110352.25,95380,144.512274814989,1.85989976659306e-05,44912.25,816,0.00972302073828679,0.0264539594255169,0.0100053251022558,0.0270974609778953,0.0103006288841865,0.0277719706034851,0.0204454778767253,0.0261545813159927
"15",15,"Arizona",0.0187594091662842,0.0367704867350334,0.0377556615657575,0.0195446251256168,33.448143,-112.096962,2205.04312661685,0.37945590868323,4155264.5,95963,-63.2756166246818,-0.00830883013366029,44912.25,583,0.00945293894953636,0.025839270695279,0.00972302073828679,0.0264539594255169,0.0100053251022558,0.0270974609778953,0.0103006288841865,0.0277719706034851
"16",16,"Arizona",0.0180236926033341,0.0358323883578464,0.0367704867350334,0.0187594091662842,33.448143,-112.096962,2522.82741006078,0.398206178664584,4200176.75,97844,317.78428344393,0.0187502699813545,44912.25,1881,0.0195446251256168,0.0377556615657575,0.00945293894953636,0.025839270695279,0.00972302073828679,0.0264539594255169,0.0100053251022558,0.0270974609778953
"17",17,"Arizona",0.0173331876383553,0.0349380020031553,0.0358323883578464,0.0180236926033341,33.448143,-112.096962,2276.6029178658,0.392358479802583,4245089,98935,-246.224492194982,-0.00584769886200148,44912.25,1091,0.0187594091662842,0.0367704867350334,0.0195446251256168,0.0377556615657575,0.00945293894953636,0.025839270695279,0.00972302073828679,0.0264539594255169
"18",18,"Arizona",0.0124873587187739,0.0244410761317795,0.0349380020031553,0.0173331876383553,33.448143,-112.096962,2357.9001899257,0.393575339583108,4291941.5,99811,81.2972720599041,0.00121685978052499,46852.5,876,0.0180236926033341,0.0358323883578464,0.0187594091662842,0.0367704867350334,0.0195446251256168,0.0377556615657575,0.00945293894953636,0.025839270695279
"19",19,"Arizona",0.0120685831688974,0.0239440616474766,0.0244410761317795,0.0124873587187739,33.448143,-112.096962,2384.32370054905,0.38809217492234,4338794,100878,26.423510623345,-0.0054831646607677,46852.5,1067,0.0173331876383553,0.0349380020031553,0.0180236926033341,0.0358323883578464,0.0187594091662842,0.0367704867350334,0.0195446251256168,0.0377556615657575
"20",20,"Arizona",0.0116713626997988,0.0234655773052026,0.0239440616474766,0.0120685831688974,33.448143,-112.096962,2577.12746820794,0.405208445322714,4385646.5,102468,192.803767658891,0.0171162704003734,46852.5,1590,0.0124873587187739,0.0244410761317795,0.0173331876383553,0.0349380020031553,0.0180236926033341,0.0358323883578464,0.0187594091662842,0.0367704867350334
"21",21,"Arizona",0.0112941928669059,0.0230045832329395,0.0234655773052026,0.0116713626997988,33.448143,-112.096962,2478.55706385946,0.402351510212787,4432499,101408,-98.5704043484752,-0.00285693510992691,46852.5,-1060,0.0120685831688974,0.0239440616474766,0.0124873587187739,0.0244410761317795,0.0173331876383553,0.0349380020031553,0.0180236926033341,0.0358323883578464
"22",22,"Arizona",0.0129822588210793,0.0319868576466291,0.0230045832329395,0.0112941928669059,33.448143,-112.096962,2477.85817221979,0.40111768684695,4471109.25,102949,-0.698891639670819,-0.00123382336583699,38610.25,1541,0.0116713626997988,0.0234655773052026,0.0120685831688974,0.0239440616474766,0.0124873587187739,0.0244410761317795,0.0173331876383553,0.0349380020031553
"23",23,"Arizona",0.0125978060222014,0.0312827118719596,0.0319868576466291,0.0129822588210793,33.448143,-112.096962,2451.22780252741,0.394639917922464,4509719.5,103811,-26.6303696923833,-0.00647776892448609,38610.25,862,0.0112941928669059,0.0230045832329395,0.0116713626997988,0.0234655773052026,0.0120685831688974,0.0239440616474766,0.0124873587187739,0.0244410761317795
"24",24,"Arizona",0.0122311384885965,0.0306083000776773,0.0312827118719596,0.0125978060222014,33.448143,-112.096962,2720.92383693157,0.410418864932415,4548329.75,104924,269.69603440416,0.0157789470099511,38610.25,1113,0.0129822588210793,0.0319868576466291,0.0112941928669059,0.0230045832329395,0.0116713626997988,0.0234655773052026,0.0120685831688974,0.0239440616474766
"25",25,"Arizona",0.0118811258273848,0.0299616498872304,0.0306083000776773,0.0122311384885965,33.448143,-112.096962,2671.03144165827,0.408452475942567,4586940,103619,-49.8923952732948,-0.00196638898984725,38610.25,-1305,0.0125978060222014,0.0312827118719596,0.0129822588210793,0.0319868576466291,0.0112941928669059,0.0230045832329395,0.0116713626997988,0.0234655773052026
