"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Arkansas",0.0166716888227327,0.0519943800848495,0.0532284503606277,0.017072172489808,34.746613,-92.288986,1757.9625102727,0.375605040471241,2399564,60072,-39.905154656876,-0.0056226377952695,8210,232,0.0147546088122184,0.0329861413612846,0.0150601188324764,0.0335600191315635,0.0153769794118634,0.0341514538726102,0.0157058232790686,0.0347616507156232
"8",8,"Arkansas",0.0162873716440917,0.0508047829884859,0.0519943800848495,0.0166716888227327,34.746613,-92.288986,1938.09741279705,0.384040888665907,2407774,60612,180.134902524349,0.00843584819466631,8210,540,0.017072172489808,0.0532284503606277,0.0147546088122184,0.0329861413612846,0.0150601188324764,0.0335600191315635,0.0153769794118634,0.0341514538726102
"9",9,"Arkansas",0.0159182798975532,0.0496569730482719,0.0508047829884859,0.0162873716440917,34.746613,-92.288986,1821.52456887132,0.378418620873869,2415984,60864,-116.572843925731,-0.00562226779203856,8210,252,0.0166716888227327,0.0519943800848495,0.017072172489808,0.0532284503606277,0.0147546088122184,0.0329861413612846,0.0150601188324764,0.0335600191315635
"10",10,"Arkansas",0.00988728981056042,0.0447022924065266,0.0496569730482719,0.0159182798975532,34.746613,-92.288986,1913.78591185001,0.388326289172464,2426063.75,61446,92.2613429786909,0.00990766829859546,10079.75,582,0.0162873716440917,0.0508047829884859,0.0166716888227327,0.0519943800848495,0.017072172489808,0.0532284503606277,0.0147546088122184,0.0329861413612846
"11",11,"Arkansas",0.00970986175909161,0.04386082637496,0.0447022924065266,0.00988728981056042,34.746613,-92.288986,1852.07183443832,0.38035197844462,2436143.5,61639,-61.7140774116838,-0.00797431072784482,10079.75,193,0.0159182798975532,0.0496569730482719,0.0162873716440917,0.0508047829884859,0.0166716888227327,0.0519943800848495,0.017072172489808,0.0532284503606277
"12",12,"Arkansas",0.0095376128569189,0.0430497280667907,0.04386082637496,0.00970986175909161,34.746613,-92.288986,2151.97664808394,0.390094267424965,2446223.25,61983,299.904813645615,0.00974228898034529,10079.75,344,0.00988728981056042,0.0447022924065266,0.0159182798975532,0.0496569730482719,0.0162873716440917,0.0508047829884859,0.0166716888227327,0.0519943800848495
"13",13,"Arkansas",0.00937032960458772,0.0422672493989182,0.0430497280667907,0.0095376128569189,34.746613,-92.288986,1830.39408656017,0.383723017885009,2456303,62370,-321.582561523772,-0.00637124953995633,10079.75,387,0.00970986175909161,0.04386082637496,0.00988728981056042,0.0447022924065266,0.0159182798975532,0.0496569730482719,0.0162873716440917,0.0508047829884859
"14",14,"Arkansas",0.0162016871192794,0.0744424693433885,0.0422672493989182,0.00937032960458772,34.746613,-92.288986,1979.29754409644,0.393870325999203,2465732,62934,148.903457536271,0.0101473081141945,9429,564,0.0095376128569189,0.0430497280667907,0.00970986175909161,0.04386082637496,0.00988728981056042,0.0447022924065266,0.0159182798975532,0.0496569730482719
"15",15,"Arkansas",0.015822857043883,0.0726594011171642,0.0744424693433885,0.0162016871192794,34.746613,-92.288986,1981.27668583983,0.389187343099432,2475161,63639,1.97914174339144,-0.00468298289977093,9429,705,0.00937032960458772,0.0422672493989182,0.0095376128569189,0.0430497280667907,0.00970986175909161,0.04386082637496,0.00988728981056042,0.0447022924065266
"16",16,"Arkansas",0.0154590735641644,0.0709548664401325,0.0726594011171642,0.015822857043883,34.746613,-92.288986,2197.82881119219,0.398743320494193,2484590,64228,216.552125352359,0.00955597739476083,9429,589,0.0162016871192794,0.0744424693433885,0.00937032960458772,0.0422672493989182,0.0095376128569189,0.0430497280667907,0.00970986175909161,0.04386082637496
