"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Colorado",0.014875589020944,0.0385572748368617,0.039483152297926,0.0153446552623766,39.739227,-104.984856,2641.03309255857,0.445635161968222,3441529,102364,21.0411629701644,0.000740750463436135,27205,690,0.00734985413601486,0.0271312554470455,0.00749253180501341,0.0277339747734331,0.0076396213282468,0.0283611677317879,0.0077913148304205,0.0290150545760852
"8",8,"Colorado",0.0144292803004031,0.0376683414273415,0.0385572748368617,0.014875589020944,39.739227,-104.984856,2834.4194495744,0.44670735778529,3468734,103401,193.386357015829,0.00107219581706791,27205,1037,0.0153446552623766,0.039483152297926,0.00734985413601486,0.0271312554470455,0.00749253180501341,0.0277339747734331,0.0076396213282468,0.0283611677317879
"9",9,"Colorado",0.0140041974326888,0.0368140581107568,0.0376683414273415,0.0144292803004031,39.739227,-104.984856,2720.3041654903,0.438955122882102,3495939,102672,-114.115284084096,-0.00775223490318783,27205,-729,0.014875589020944,0.0385572748368617,0.0153446552623766,0.039483152297926,0.00734985413601486,0.0271312554470455,0.00749253180501341,0.0277339747734331
"10",10,"Colorado",0.0152610094922849,0.040372003618387,0.0368140581107568,0.0140041974326888,39.739227,-104.984856,2696.02457772198,0.445624456487091,3525387.75,104171,-24.2795877683193,0.00666933360498922,29448.75,1499,0.0144292803004031,0.0376683414273415,0.014875589020944,0.0385572748368617,0.0153446552623766,0.039483152297926,0.00734985413601486,0.0271312554470455
"11",11,"Colorado",0.0147843917244312,0.039471081054927,0.040372003618387,0.0152610094922849,39.739227,-104.984856,2747.7984039491,0.448804701238252,3554836.5,105630,51.7738262271159,0.00318024475116063,29448.75,1459,0.0140041974326888,0.0368140581107568,0.0144292803004031,0.0376683414273415,0.014875589020944,0.0385572748368617,0.0153446552623766,0.039483152297926
"12",12,"Colorado",0.014331301519583,0.0386090595078556,0.039471081054927,0.0147843917244312,39.739227,-104.984856,3043.00414455016,0.449402755170411,3584285.25,107335,295.20574060106,0.000598053932159337,29448.75,1705,0.0152610094922849,0.040372003618387,0.0140041974326888,0.0368140581107568,0.0144292803004031,0.0376683414273415,0.014875589020944,0.0385572748368617
"13",13,"Colorado",0.0139001320040606,0.0377832700078358,0.0386090595078556,0.014331301519583,39.739227,-104.984856,2741.78400208759,0.44344437083637,3613734,107619,-301.220142462567,-0.005958384334041,29448.75,284,0.0147843917244312,0.039471081054927,0.0152610094922849,0.040372003618387,0.0140041974326888,0.0368140581107568,0.0144292803004031,0.0376683414273415
"14",14,"Colorado",0.0152496549856238,0.0524858819996155,0.0377832700078358,0.0139001320040606,39.739227,-104.984856,2809.00769757308,0.45118460201606,3641342.5,107463,67.2236954854875,0.00774023117969014,27608.5,-156,0.014331301519583,0.0386090595078556,0.0147843917244312,0.039471081054927,0.0152610094922849,0.040372003618387,0.0140041974326888,0.0368140581107568
"15",15,"Colorado",0.0147961988941532,0.0511260172545462,0.0524858819996155,0.0152496549856238,39.739227,-104.984856,2899.84056096688,0.455103379685365,3668951,109866,90.8328633938022,0.00391877766930465,27608.5,2403,0.0139001320040606,0.0377832700078358,0.014331301519583,0.0386090595078556,0.0147843917244312,0.039471081054927,0.0152610094922849,0.040372003618387
"16",16,"Colorado",0.0143642221327553,0.0498313157927726,0.0511260172545462,0.0147961988941532,39.739227,-104.984856,3194.13769398274,0.456477435301664,3696559.5,110890,294.297133015862,0.0013740556162985,27608.5,1024,0.0152496549856238,0.0524858819996155,0.0139001320040606,0.0377832700078358,0.014331301519583,0.0386090595078556,0.0147843917244312,0.039471081054927
"17",17,"Colorado",0.0139523099131367,0.0485970861422729,0.0498313157927726,0.0143642221327553,39.739227,-104.984856,2888.52177399086,0.449513466273988,3724168,112594,-305.615919991881,-0.00696396902767527,27608.5,1704,0.0147961988941532,0.0511260172545462,0.0152496549856238,0.0524858819996155,0.0139001320040606,0.0377832700078358,0.014331301519583,0.0386090595078556
"18",18,"Colorado",0.0125721773708385,0.0345731903843145,0.0485970861422729,0.0139523099131367,39.739227,-104.984856,2925.25125512054,0.460099546483401,3749789.25,113629,36.7294811296761,0.0105860802094129,25621.25,1035,0.0143642221327553,0.0498313157927726,0.0147961988941532,0.0511260172545462,0.0152496549856238,0.0524858819996155,0.0139001320040606,0.0377832700078358
"19",19,"Colorado",0.0122485863788668,0.0339260431120607,0.0345731903843145,0.0125721773708385,39.739227,-104.984856,3074.78099692735,0.463607511465751,3775410.5,115230,149.529741806816,0.00350796498234973,25621.25,1601,0.0139523099131367,0.0485970861422729,0.0143642221327553,0.0498313157927726,0.0147961988941532,0.0511260172545462,0.0152496549856238,0.0524858819996155
"20",20,"Colorado",0.011938214298052,0.0333016756381568,0.0339260431120607,0.0122485863788668,39.739227,-104.984856,3224.61701694546,0.466385826251868,3801031.75,116871,149.836020018111,0.0027783147861169,25621.25,1641,0.0125721773708385,0.0345731903843145,0.0139523099131367,0.0485970861422729,0.0143642221327553,0.0498313157927726,0.0147961988941532,0.0511260172545462
"21",21,"Colorado",0.0116403109778709,0.0326988488215534,0.0333016756381568,0.011938214298052,39.739227,-104.984856,3119.71080863616,0.459692059875824,3826653,118024,-104.906208309302,-0.00669376637604424,25621.25,1153,0.0122485863788668,0.0339260431120607,0.0125721773708385,0.0345731903843145,0.0139523099131367,0.0485970861422729,0.0143642221327553,0.0498313157927726
"22",22,"Colorado",0.0123238319039896,0.0526821311356116,0.0326988488215534,0.0116403109778709,39.739227,-104.984856,3059.56335077086,0.465798623816345,3849982.75,119735,-60.147457865306,0.00610656394052117,23329.75,1711,0.011938214298052,0.0333016756381568,0.0122485863788668,0.0339260431120607,0.0125721773708385,0.0345731903843145,0.0139523099131367,0.0485970861422729
