"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Delaware",0.00877834679668155,0.0703231040636183,0.0716258789783666,0.00893321794788449,39.157307,-75.519722,3084.28745759268,0.491117231069553,689002.5,19830,21.3830331138306,-0.00369703848056468,2961.25,65,0.0161640165346189,0.0350549914422515,0.0165950923039855,0.0355356636999886,0.017046025343916,0.0360281801309128,0.0175181722208091,0.0365332395667366
"8",8,"Delaware",0.00862779805077807,0.0690646912900093,0.0703231040636183,0.00877834679668155,39.157307,-75.519722,3281.68648429921,0.489988577195458,691963.75,19975,197.399026706534,-0.00112865387409583,2961.25,145,0.00893321794788449,0.0716258789783666,0.0161640165346189,0.0350549914422515,0.0165950923039855,0.0355356636999886,0.017046025343916,0.0360281801309128
"9",9,"Delaware",0.00848140228194438,0.0678481929878103,0.0690646912900093,0.00862779805077807,39.157307,-75.519722,3158.1758966795,0.469462172176854,694925,20149,-123.510587619716,-0.020526405018604,2961.25,174,0.00877834679668155,0.0703231040636183,0.00893321794788449,0.0716258789783666,0.0161640165346189,0.0350549914422515,0.0165950923039855,0.0355356636999886
"10",10,"Delaware",0.00243679151873799,0.0575181759922714,0.0678481929878103,0.00848140228194438,39.157307,-75.519722,3113.65568136179,0.489074825588804,697788.25,20809,-44.5202153177092,0.0196126534119503,2863.25,660,0.00862779805077807,0.0690646912900093,0.00877834679668155,0.0703231040636183,0.00893321794788449,0.0716258789783666,0.0161640165346189,0.0350549914422515
"11",11,"Delaware",0.00241102418342898,0.0566365344398889,0.0575181759922714,0.00243679151873799,39.157307,-75.519722,3110.76763555063,0.48733690477125,700651.5,20792,-2.88804581116165,-0.00173792081755408,2863.25,-17,0.00848140228194438,0.0678481929878103,0.00862779805077807,0.0690646912900093,0.00877834679668155,0.0703231040636183,0.00893321794788449,0.0716258789783666
"12",12,"Delaware",0.00238567030334202,0.0557808269968945,0.0566365344398889,0.00241102418342898,39.157307,-75.519722,3432.29061508661,0.481817900761853,703514.75,20876,321.522979535979,-0.00551900400939653,2863.25,84,0.00243679151873799,0.0575181759922714,0.00848140228194438,0.0678481929878103,0.00862779805077807,0.0690646912900093,0.00877834679668155,0.0703231040636183
"13",13,"Delaware",0.00236072093965589,0.0549498087464144,0.0557808269968945,0.00238567030334202,39.157307,-75.519722,3084.9548117297,0.467056354152215,706378,21142,-347.335803356909,-0.0147615466096382,2863.25,266,0.00241102418342898,0.0566365344398889,0.00243679151873799,0.0575181759922714,0.00848140228194438,0.0678481929878103,0.00862779805077807,0.0690646912900093
"14",14,"Delaware",0.0184433638124109,0.0884740815714053,0.0549498087464144,0.00236072093965589,39.157307,-75.519722,3190.78862148308,0.482384741687962,709169.75,21546,105.833809753382,0.0153283875357471,2791.75,404,0.00238567030334202,0.0557808269968945,0.00241102418342898,0.0566365344398889,0.00243679151873799,0.0575181759922714,0.00848140228194438,0.0678481929878103
"15",15,"Delaware",0.0179686042228262,0.0867361474807211,0.0884740815714053,0.0184433638124109,39.157307,-75.519722,3213.09516736509,0.486689706302003,711961.5,21057,22.3065458820101,0.00430496461404067,2791.75,-489,0.00236072093965589,0.0549498087464144,0.00238567030334202,0.0557808269968945,0.00241102418342898,0.0566365344398889,0.00243679151873799,0.0575181759922714
"16",16,"Delaware",0.0175147357167056,0.0850638039771354,0.0867361474807211,0.0179686042228262,39.157307,-75.519722,3527.45558974373,0.481374049948939,714753.25,19064,314.360422378644,-0.00531565635306352,2791.75,-1993,0.0184433638124109,0.0884740815714053,0.00236072093965589,0.0549498087464144,0.00238567030334202,0.0557808269968945,0.00241102418342898,0.0566365344398889
"17",17,"Delaware",0.0170804371218924,0.0834532075598986,0.0850638039771354,0.0175147357167056,39.157307,-75.519722,3297.38452222509,0.467000675915796,717545,18975,-230.071067518646,-0.014373374033143,2791.75,-89,0.0179686042228262,0.0867361474807211,0.0184433638124109,0.0884740815714053,0.00236072093965589,0.0549498087464144,0.00238567030334202,0.0557808269968945
"18",18,"Delaware",0.0158703367902255,0.0690571475432762,0.0834532075598986,0.0170804371218924,39.157307,-75.519722,3278.49308537526,0.483122043013924,720592.25,19085,-18.8914368498281,0.0161213670981274,3047.25,110,0.0175147357167056,0.0850638039771354,0.0179686042228262,0.0867361474807211,0.0184433638124109,0.0884740815714053,0.00236072093965589,0.0549498087464144
"19",19,"Delaware",0.0154918407975764,0.0679392145662661,0.0690571475432762,0.0158703367902255,39.157307,-75.519722,3330.07648007053,0.487218658830352,723639.5,19340,51.5833946952735,0.00409661581642856,3047.25,255,0.0170804371218924,0.0834532075598986,0.0175147357167056,0.0850638039771354,0.0179686042228262,0.0867361474807211,0.0184433638124109,0.0884740815714053
"20",20,"Delaware",0.0151285200477815,0.0668557304133515,0.0679392145662661,0.0154918407975764,39.157307,-75.519722,3559.4668032684,0.489000705370414,726686.75,19591,229.390323197863,0.00178204654006131,3047.25,251,0.0158703367902255,0.0690571475432762,0.0170804371218924,0.0834532075598986,0.0175147357167056,0.0850638039771354,0.0179686042228262,0.0867361474807211
"21",21,"Delaware",0.0147795044417265,0.0658050373523622,0.0668557304133515,0.0151285200477815,39.157307,-75.519722,3600.96903118123,0.477273453980035,729734,19803,41.5022279128293,-0.0117272513903788,3047.25,212,0.0154918407975764,0.0679392145662661,0.0158703367902255,0.0690571475432762,0.0170804371218924,0.0834532075598986,0.0175147357167056,0.0850638039771354
"22",22,"Delaware",0.00901408027861272,0.0755892004252985,0.0658050373523622,0.0147795044417265,39.157307,-75.519722,3455.47641014423,0.490127508706237,732544.75,19914,-145.492621036999,0.0128540547262024,2810.75,111,0.0151285200477815,0.0668557304133515,0.0154918407975764,0.0679392145662661,0.0158703367902255,0.0690571475432762,0.0170804371218924,0.0834532075598986
"23",23,"Delaware",0.00886556036942032,0.0742882857288123,0.0755892004252985,0.00901408027861272,39.157307,-75.519722,3431.36961918419,0.494578019293616,735355.5,20131,-24.1067909600361,0.00445051058737889,2810.75,217,0.0147795044417265,0.0658050373523622,0.0151285200477815,0.0668557304133515,0.0154918407975764,0.0679392145662661,0.0158703367902255,0.0690571475432762
"24",24,"Delaware",0.00872102106006878,0.0730317598457049,0.0742882857288123,0.00886556036942032,39.157307,-75.519722,3754.64959959901,0.493141845304722,738166.25,20191,323.279980414816,-0.00143617398889417,2810.75,60,0.00901408027861272,0.0755892004252985,0.0147795044417265,0.0658050373523622,0.0151285200477815,0.0668557304133515,0.0154918407975764,0.0679392145662661
"25",25,"Delaware",0.00858031160368533,0.0718171722512864,0.0730317598457049,0.00872102106006878,39.157307,-75.519722,3819.95195532385,0.475544225169382,740977,20585,65.302355724843,-0.0175976201353397,2810.75,394,0.00886556036942032,0.0742882857288123,0.00901408027861272,0.0755892004252985,0.0147795044417265,0.0658050373523622,0.0151285200477815,0.0668557304133515
"26",26,"Delaware",0.0344520951213596,0.126692866359122,0.0718171722512864,0.00858031160368533,39.157307,-75.519722,3647.84644121976,0.499056061835738,743604.5,20773,-172.105514104088,0.0235118366663562,2627.5,188,0.00872102106006878,0.0730317598457049,0.00886556036942032,0.0742882857288123,0.00901408027861272,0.0755892004252985,0.0147795044417265,0.0658050373523622
"27",27,"Delaware",0.0330738766446856,0.123095269763809,0.126692866359122,0.0344520951213596,39.157307,-75.519722,3636.04113466053,0.500264886344551,746232,20877,-11.8053065592267,0.00120882450881216,2627.5,104,0.00858031160368533,0.0718171722512864,0.00872102106006878,0.0730317598457049,0.00886556036942032,0.0742882857288123,0.00901408027861272,0.0755892004252985
"28",28,"Delaware",0.0317937996791589,0.119679167488542,0.123095269763809,0.0330738766446856,39.157307,-75.519722,4052.60800991374,0.497865531963383,748859.5,21408,416.566875253207,-0.00239935438116712,2627.5,531,0.0344520951213596,0.126692866359122,0.00858031160368533,0.0718171722512864,0.00872102106006878,0.0730317598457049,0.00886556036942032,0.0742882857288123
"29",29,"Delaware",0.030601811873618,0.116430460259863,0.119679167488542,0.0317937996791589,39.157307,-75.519722,4036.83607434327,0.486180954117193,751487,21545,-15.7719355704735,-0.0116845778461909,2627.5,137,0.0330738766446856,0.123095269763809,0.0344520951213596,0.126692866359122,0.00858031160368533,0.0718171722512864,0.00872102106006878,0.0730317598457049
"30",30,"Delaware",0.0226316989887252,0.0710836739890937,0.116430460259863,0.030601811873618,39.157307,-75.519722,3788.06337737872,0.501582391034163,754449,21446,-248.772696964546,0.0154014369169706,2962,-99,0.0317937996791589,0.119679167488542,0.0330738766446856,0.123095269763809,0.0344520951213596,0.126692866359122,0.00858031160368533,0.0718171722512864
"31",31,"Delaware",0.0219596130958397,0.0699528558375562,0.0710836739890937,0.0226316989887252,39.157307,-75.519722,3920.49898667962,0.507038670770119,757411,21811,132.435609300901,0.00545627973595597,2962,365,0.030601811873618,0.116430460259863,0.0317937996791589,0.119679167488542,0.0330738766446856,0.123095269763809,0.0344520951213596,0.126692866359122
"32",32,"Delaware",0.021322095288367,0.0688549641400442,0.0699528558375562,0.0219596130958397,39.157307,-75.519722,4371.66777620983,0.506534731419097,760373,22427,451.168789530211,-0.000503939351021776,2962,616,0.0226316989887252,0.0710836739890937,0.030601811873618,0.116430460259863,0.0317937996791589,0.119679167488542,0.0330738766446856,0.123095269763809
"33",33,"Delaware",0.0207165860916891,0.067788508504151,0.0688549641400442,0.021322095288367,39.157307,-75.519722,4307.92061021701,0.493276215554114,763335,22419,-63.747165992826,-0.0132585158649828,2962,-8,0.0219596130958397,0.0699528558375562,0.0226316989887252,0.0710836739890937,0.030601811873618,0.116430460259863,0.0317937996791589,0.119679167488542
"34",34,"Delaware",0.0229287590706537,0.0750031878914115,0.067788508504151,0.0207165860916891,39.157307,-75.519722,4149.71202758895,0.509580820414606,766248.75,22858,-158.208582628056,0.0163046048604919,2913.75,439,0.021322095288367,0.0688549641400442,0.0219596130958397,0.0699528558375562,0.0226316989887252,0.0710836739890937,0.030601811873618,0.116430460259863
"35",35,"Delaware",0.022246844751006,0.0737803341475569,0.0750031878914115,0.0229287590706537,39.157307,-75.519722,4104.00823753108,0.514100293067676,769162.5,23341,-45.7037900578707,0.00451947265307007,2913.75,483,0.0207165860916891,0.067788508504151,0.021322095288367,0.0688549641400442,0.0219596130958397,0.0699528558375562,0.0226316989887252,0.0710836739890937
"36",36,"Delaware",0.0216001747010157,0.0725949266059445,0.0737803341475569,0.022246844751006,39.157307,-75.519722,4703.77471655164,0.512394555157819,772076.25,23546,599.766479020554,-0.00170573790985795,2913.75,205,0.0229287590706537,0.0750031878914115,0.0207165860916891,0.067788508504151,0.021322095288367,0.0688549641400442,0.0219596130958397,0.0699528558375562
"37",37,"Delaware",0.0209861244155718,0.0714452216764272,0.0725949266059445,0.0216001747010157,39.157307,-75.519722,4481.8956025239,0.499887310373897,774990,23734,-221.879114027733,-0.0125072447839212,2913.75,188,0.022246844751006,0.0737803341475569,0.0229287590706537,0.0750031878914115,0.0207165860916891,0.067788508504151,0.021322095288367,0.0688549641400442
"38",38,"Delaware",0.00108866972247945,0.0124230159705547,0.0714452216764272,0.0209861244155718,39.157307,-75.519722,4320.31776502944,0.519312292687327,777835.75,23898,-161.577837494461,0.0194249823134299,2845.75,164,0.0216001747010157,0.0725949266059445,0.022246844751006,0.0737803341475569,0.0229287590706537,0.0750031878914115,0.0207165860916891,0.067788508504151
"39",39,"Delaware",0.00107956185361502,0.0121313689304685,0.0124230159705547,0.00108866972247945,39.157307,-75.519722,4396.95803986645,0.520048615643298,780681.5,23962,76.6402748370083,0.000736322955970814,2845.75,64,0.0209861244155718,0.0714452216764272,0.0216001747010157,0.0725949266059445,0.022246844751006,0.0737803341475569,0.0229287590706537,0.0750031878914115
"40",40,"Delaware",0.00107056842528763,0.0118469501103817,0.0121313689304685,0.00107956185361502,39.157307,-75.519722,4955.00240227765,0.524478248842015,783527.25,24158,558.044362411199,0.00442963319871748,2845.75,196,0.00108866972247945,0.0124230159705547,0.0209861244155718,0.0714452216764272,0.0216001747010157,0.0725949266059445,0.022246844751006,0.0737803341475569
"41",41,"Delaware",0.00106168751806379,0.0115693184284851,0.0118469501103817,0.00107056842528763,39.157307,-75.519722,4816.70075142458,0.507619581716734,786373,24284,-138.30165085307,-0.0168586671252814,2845.75,126,0.00107956185361502,0.0121313689304685,0.00108866972247945,0.0124230159705547,0.0209861244155718,0.0714452216764272,0.0216001747010157,0.0725949266059445
"42",42,"Delaware",0.0125783865070321,0.0537650101453835,0.0115693184284851,0.00106168751806379,39.157307,-75.519722,4469.1783716208,0.521497383789915,788704.5,24439,-347.522379803775,0.0138778020731813,2331.5,155,0.00107056842528763,0.0118469501103817,0.00107956185361502,0.0121313689304685,0.00108866972247945,0.0124230159705547,0.0209861244155718,0.0714452216764272
"43",43,"Delaware",0.0123493583437,0.0530278042056551,0.0537650101453835,0.0125783865070321,39.157307,-75.519722,4560.64142592752,0.522204636282883,791036,24751,91.4630543067142,0.000707252492967658,2331.5,312,0.00106168751806379,0.0115693184284851,0.00107056842528763,0.0118469501103817,0.00107956185361502,0.0121313689304685,0.00108866972247945,0.0124230159705547
