"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Indiana",0.0186966039231393,0.0691253935764777,0.070638486489031,0.0191524368594091,39.768623,-86.162643,2393.70846187672,0.433972976256321,5645467.5,126722,-12.9579674696715,-0.00113537097236882,14539.75,-31,0.00565958023655355,0.0394857749002284,0.00572172300679696,0.0401432541559856,0.00578499015139755,0.0408202469297123,0.0058494109097218,0.0415179763313986
"8",8,"Indiana",0.0182600078973358,0.0676685579923486,0.0691253935764777,0.0186966039231393,39.768623,-86.162643,2586.17793431272,0.43626422327757,5660007.25,127558,192.469472435999,0.00229124702124905,14539.75,836,0.0191524368594091,0.070638486489031,0.00565958023655355,0.0394857749002284,0.00572172300679696,0.0401432541559856,0.00578499015139755,0.0408202469297123
"9",9,"Indiana",0.0178414691132929,0.0662647113190431,0.0676685579923486,0.0182600078973358,39.768623,-86.162643,2442.84922408784,0.425905245534724,5674547,129451,-143.328710224873,-0.010358977742846,14539.75,1893,0.0186966039231393,0.0691253935764777,0.0191524368594091,0.070638486489031,0.00565958023655355,0.0394857749002284,0.00572172300679696,0.0401432541559856
"10",10,"Indiana",0.0118767648487506,0.0511512462103312,0.0662647113190431,0.0178414691132929,39.768623,-86.162643,2508.22461030477,0.438346719290862,5690665,129662,65.3753862169274,0.0124414737561377,16118,211,0.0182600078973358,0.0676685579923486,0.0186966039231393,0.0691253935764777,0.0191524368594091,0.070638486489031,0.00565958023655355,0.0394857749002284
"11",11,"Indiana",0.0116714457297835,0.0502551540389362,0.0511512462103312,0.0118767648487506,39.768623,-86.162643,2629.84956936333,0.434023862480841,5706783,131960,121.624959058564,-0.0043228568100212,16118,2298,0.0178414691132929,0.0662647113190431,0.0182600078973358,0.0676685579923486,0.0186966039231393,0.0691253935764777,0.0191524368594091,0.070638486489031
"12",12,"Indiana",0.011472179959636,0.0493889425962024,0.0502551540389362,0.0116714457297835,39.768623,-86.162643,2975.38961673459,0.441487979610341,5722901,133743,345.540047371255,0.00746411712950018,16118,1783,0.0118767648487506,0.0511512462103312,0.0178414691132929,0.0662647113190431,0.0182600078973358,0.0676685579923486,0.0186966039231393,0.0691253935764777
"13",13,"Indiana",0.0112787100979599,0.0485510190194276,0.0493889425962024,0.011472179959636,39.768623,-86.162643,2482.14176726022,0.431363385740083,5739019,134143,-493.247849474366,-0.0101245938702578,16118,400,0.0116714457297835,0.0502551540389362,0.0118767648487506,0.0511512462103312,0.0178414691132929,0.0662647113190431,0.0182600078973358,0.0676685579923486
"14",14,"Indiana",0.0186517379978248,0.0885724223258038,0.0485510190194276,0.0112787100979599,39.768623,-86.162643,2631.18823073714,0.443957518735329,5752645.75,135633,149.046463476912,0.0125941329952454,13626.75,1490,0.011472179959636,0.0493889425962024,0.0116714457297835,0.0502551540389362,0.0118767648487506,0.0511512462103312,0.0178414691132929,0.0662647113190431
"15",15,"Indiana",0.0182244541048906,0.0865194641165772,0.0885724223258038,0.0186517379978248,39.768623,-86.162643,2645.35476046267,0.444615939788948,5766272.5,137037,14.1665297255381,0.000658421053619407,13626.75,1404,0.0112787100979599,0.0485510190194276,0.011472179959636,0.0493889425962024,0.0116714457297835,0.0502551540389362,0.0118767648487506,0.0511512462103312
"16",16,"Indiana",0.0178146122646208,0.084554681015895,0.0865194641165772,0.0182244541048906,39.768623,-86.162643,2953.5561176088,0.45161848337293,5779899.25,139407,308.201357146124,0.00700254358398161,13626.75,2370,0.0186517379978248,0.0885724223258038,0.0112787100979599,0.0485510190194276,0.011472179959636,0.0493889425962024,0.0116714457297835,0.0502551540389362
"17",17,"Indiana",0.017421176184369,0.0826724002743333,0.084554681015895,0.0178146122646208,39.768623,-86.162643,2713.98384938637,0.441894855280417,5793526,140912,-239.57226822243,-0.00972362809251254,13626.75,1505,0.0182244541048906,0.0865194641165772,0.0186517379978248,0.0885724223258038,0.0112787100979599,0.0485510190194276,0.011472179959636,0.0493889425962024
"18",18,"Indiana",0.0097573355391205,0.0547798739297107,0.0826724002743333,0.017421176184369,39.768623,-86.162643,2766.3103449775,0.45579484341673,5808009.25,139521,52.3264955911313,0.0138999881363125,14483.25,-1391,0.0178146122646208,0.084554681015895,0.0182244541048906,0.0865194641165772,0.0186517379978248,0.0885724223258038,0.0112787100979599,0.0485510190194276
"19",19,"Indiana",0.00961520655467396,0.0538490404448169,0.0547798739297107,0.0097573355391205,39.768623,-86.162643,2858.63310412165,0.45738750772686,5822492.5,140698,92.3227591441473,0.00159266431013028,14483.25,1177,0.017421176184369,0.0826724002743333,0.0178146122646208,0.084554681015895,0.0182244541048906,0.0865194641165772,0.0186517379978248,0.0885724223258038
"20",20,"Indiana",0.0094765955166789,0.0529476454745961,0.0538490404448169,0.00961520655467396,39.768623,-86.162643,3007.77614452142,0.462099744032687,5836975.75,142534,149.143040399771,0.00471223630582696,14483.25,1836,0.0097573355391205,0.0547798739297107,0.017421176184369,0.0826724002743333,0.0178146122646208,0.084554681015895,0.0182244541048906,0.0865194641165772
"21",21,"Indiana",0.00934137681263181,0.0520742610016995,0.0529476454745961,0.0094765955166789,39.768623,-86.162643,2948.85036518243,0.454556262520738,5851459,144581,-58.9257793389888,-0.00754348151194906,14483.25,2047,0.00961520655467396,0.0538490404448169,0.0097573355391205,0.0547798739297107,0.017421176184369,0.0826724002743333,0.0178146122646208,0.084554681015895
"22",22,"Indiana",0.010793224294364,0.0628830715149178,0.0520742610016995,0.00934137681263181,39.768623,-86.162643,2915.86837456666,0.463476978288369,5865097.5,144255,-32.9819906157641,0.00892071576763115,13638.5,-326,0.0094765955166789,0.0529476454745961,0.00961520655467396,0.0538490404448169,0.0097573355391205,0.0547798739297107,0.017421176184369,0.0826724002743333
"23",23,"Indiana",0.0106286906048734,0.0617760997013548,0.0628830715149178,0.010793224294364,39.768623,-86.162643,2877.26145314231,0.463156875899853,5878736,145375,-38.6069214243548,-0.000320102388515542,13638.5,1120,0.00934137681263181,0.0520742610016995,0.0094765955166789,0.0529476454745961,0.00961520655467396,0.0538490404448169,0.0097573355391205,0.0547798739297107
"24",24,"Indiana",0.0104684776266204,0.0607068690181691,0.0617760997013548,0.0106286906048734,39.768623,-86.162643,3101.88205807353,0.467375362286743,5892374.5,146074,224.620604931224,0.00421848638688976,13638.5,699,0.010793224294364,0.0628830715149178,0.00934137681263181,0.0520742610016995,0.0094765955166789,0.0529476454745961,0.00961520655467396,0.0538490404448169
"25",25,"Indiana",0.0103124209390817,0.0596733357175196,0.0607068690181691,0.0104684776266204,39.768623,-86.162643,3007.78058937561,0.453555215675956,5906013,147321,-94.1014686979247,-0.0138201466107871,13638.5,1247,0.0106286906048734,0.0617760997013548,0.010793224294364,0.0628830715149178,0.00934137681263181,0.0520742610016995,0.0094765955166789,0.0529476454745961
"26",26,"Indiana",0.0203184028797505,0.0926539220047644,0.0596733357175196,0.0103124209390817,39.768623,-86.162643,3026.29051455678,0.466464126303272,5918326.5,146935,18.509925181168,0.0129089106273157,12313.5,-386,0.0104684776266204,0.0607068690181691,0.0106286906048734,0.0617760997013548,0.010793224294364,0.0628830715149178,0.00934137681263181,0.0520742610016995
"27",27,"Indiana",0.0198318957338142,0.0900608639078726,0.0926539220047644,0.0203184028797505,39.768623,-86.162643,2988.15519404314,0.465153507884478,5930640,147150,-38.135320513637,-0.00131061841879382,12313.5,215,0.0103124209390817,0.0596733357175196,0.0104684776266204,0.0607068690181691,0.0106286906048734,0.0617760997013548,0.010793224294364,0.0628830715149178
"28",28,"Indiana",0.0193664198517585,0.0875988324727643,0.0900608639078726,0.0198318957338142,39.768623,-86.162643,3275.66140320633,0.468790756425516,5942953.5,147498,287.506209163196,0.00363724854103792,12313.5,348,0.0203184028797505,0.0926539220047644,0.0103124209390817,0.0596733357175196,0.0104684776266204,0.0607068690181691,0.0106286906048734,0.0617760997013548
"29",29,"Indiana",0.018920649694433,0.0852574186504498,0.0875988324727643,0.0193664198517585,39.768623,-86.162643,3156.74029224886,0.457611668236985,5955267,149520,-118.921110957474,-0.0111790881885305,12313.5,2022,0.0198318957338142,0.0900608639078726,0.0203184028797505,0.0926539220047644,0.0103124209390817,0.0596733357175196,0.0104684776266204,0.0607068690181691
"30",30,"Indiana",0.0179806525934101,0.0543138708650872,0.0852574186504498,0.018920649694433,39.768623,-86.162643,3156.82068425721,0.470467466127035,5966170.25,148495,0.0803920083471894,0.0128557978900499,10903.25,-1025,0.0193664198517585,0.0875988324727643,0.0198318957338142,0.0900608639078726,0.0203184028797505,0.0926539220047644,0.0103124209390817,0.0596733357175196
"31",31,"Indiana",0.0175991736194554,0.0534032976168177,0.0543138708650872,0.0179806525934101,39.768623,-86.162643,3143.12206650964,0.468562416038551,5977073.5,148963,-13.6986177475696,-0.00190505008848385,10903.25,468,0.018920649694433,0.0852574186504498,0.0193664198517585,0.0875988324727643,0.0198318957338142,0.0900608639078726,0.0203184028797505,0.0926539220047644
"32",32,"Indiana",0.0172323487257771,0.052521078791159,0.0534032976168177,0.0175991736194554,39.768623,-86.162643,3487.75781034888,0.474287969360157,5987976.75,150357,344.635743839241,0.00572555332160585,10903.25,1394,0.0179806525934101,0.0543138708650872,0.018920649694433,0.0852574186504498,0.0193664198517585,0.0875988324727643,0.0198318957338142,0.0900608639078726
"33",33,"Indiana",0.0168793551907545,0.051665779432355,0.052521078791159,0.0172323487257771,39.768623,-86.162643,3322.02584799163,0.463904317694859,5998880,151532,-165.731962357254,-0.0103836516652986,10903.25,1175,0.0175991736194554,0.0534032976168177,0.0179806525934101,0.0543138708650872,0.018920649694433,0.0852574186504498,0.0193664198517585,0.0875988324727643
"34",34,"Indiana",0.00951426724587989,0.0635078042089461,0.051665779432355,0.0168793551907545,39.768623,-86.162643,3375.92775092549,0.477216590065443,6010402.25,150689,53.9019029338642,0.0133122723705845,11522.25,-843,0.0172323487257771,0.052521078791159,0.0175991736194554,0.0534032976168177,0.0179806525934101,0.0543138708650872,0.018920649694433,0.0852574186504498
