"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Minnesota",0.0161918378002053,0.049788629516037,0.0508976853239247,0.0165605648825053,44.955097,-93.102211,2715.10043371901,0.463787836553541,4468215.5,122613,-46.5064918937464,-0.00290074409906554,13678.25,743,0.0050374820191017,0.0289648572420731,0.00509230275201489,0.0294768650431223,0.0051480903844201,0.0300043102244985,0.00520486917625007,0.0305482943145563
"8",8,"Minnesota",0.0158373436341162,0.0487212772344847,0.049788629516037,0.0161918378002053,44.955097,-93.102211,2976.66813230456,0.46906823705939,4481893.75,123610,261.567698585555,0.00528040050584899,13678.25,997,0.0165605648825053,0.0508976853239247,0.0050374820191017,0.0289648572420731,0.00509230275201489,0.0294768650431223,0.0051480903844201,0.0300043102244985
"9",9,"Minnesota",0.0154962878480802,0.0476931875978366,0.0487212772344847,0.0158373436341162,44.955097,-93.102211,2812.74381569242,0.456789258408051,4495572,123938,-163.924316612146,-0.012278978651339,13678.25,328,0.0161918378002053,0.049788629516037,0.0165605648825053,0.0508976853239247,0.0050374820191017,0.0289648572420731,0.00509230275201489,0.0294768650431223
"10",10,"Minnesota",0.00410560912173707,0.0380063839123892,0.0476931875978366,0.0154962878480802,44.955097,-93.102211,2879.80798429501,0.471511293321147,4510667.5,124661,67.0641686025883,0.0147220349130961,15095.5,723,0.0158373436341162,0.0487212772344847,0.0161918378002053,0.049788629516037,0.0165605648825053,0.0508976853239247,0.0050374820191017,0.0289648572420731
"11",11,"Minnesota",0.0040616011089547,0.0372895775555477,0.0380063839123892,0.00410560912173707,44.955097,-93.102211,2861.8905316076,0.468196412406041,4525763,125989,-17.917452687409,-0.00331488091510668,15095.5,1328,0.0154962878480802,0.0476931875978366,0.0158373436341162,0.0487212772344847,0.0161918378002053,0.049788629516037,0.0165605648825053,0.0508976853239247
"12",12,"Minnesota",0.00401832987636119,0.0365989662759532,0.0372895775555477,0.0040616011089547,44.955097,-93.102211,3304.87491473253,0.47670067969159,4540858.5,126900,442.984383124935,0.00850426728554921,15095.5,911,0.00410560912173707,0.0380063839123892,0.0154962878480802,0.0476931875978366,0.0158373436341162,0.0487212772344847,0.0161918378002053,0.049788629516037
"13",13,"Minnesota",0.00397577841043173,0.035933015315571,0.0365989662759532,0.00401832987636119,44.955097,-93.102211,2840.74349697122,0.464256150669359,4555954,127212,-464.131417761317,-0.0124445290222314,15095.5,312,0.0040616011089547,0.0372895775555477,0.00410560912173707,0.0380063839123892,0.0154962878480802,0.0476931875978366,0.0158373436341162,0.0487212772344847
"14",14,"Minnesota",0.0184502663815653,0.0658835529677333,0.035933015315571,0.00397577841043173,44.955097,-93.102211,3000.42987037521,0.477565034561814,4569554.25,127000,159.686373403996,0.0133088838924553,13600.25,-212,0.00401832987636119,0.0365989662759532,0.0040616011089547,0.0372895775555477,0.00410560912173707,0.0380063839123892,0.0154962878480802,0.0476931875978366
"15",15,"Minnesota",0.0180094577141219,0.0642953059728057,0.0658835529677333,0.0184502663815653,44.955097,-93.102211,2997.92469160706,0.473413089899835,4583154.5,127568,-2.50517876815411,-0.00415194466197882,13600.25,568,0.00397577841043173,0.035933015315571,0.00401832987636119,0.0365989662759532,0.0040616011089547,0.0372895775555477,0.00410560912173707,0.0380063839123892
"16",16,"Minnesota",0.0175870793197905,0.0627778329757973,0.0642953059728057,0.0180094577141219,44.955097,-93.102211,3374.15884717365,0.483596171842755,4596754.75,129723,376.234155566592,0.0101830819429199,13600.25,2155,0.0184502663815653,0.0658835529677333,0.00397577841043173,0.035933015315571,0.00401832987636119,0.0365989662759532,0.0040616011089547,0.0372895775555477
