"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Mississippi",0.0163347896646275,0.045326285363835,0.0465697706357346,0.0166866012411599,32.303848,-90.182106,1592.20628296933,0.351431357377015,2611233.5,56855,-22.5457738817051,0.000614258393109024,6250.25,126,0.0110523027325531,0.0325078700420889,0.0112188793035521,0.0331028932045996,0.0113899726616129,0.0337169280555756,0.0115657660526978,0.0343512495317384
"8",8,"Mississippi",0.0159961004318632,0.0441252866560973,0.045326285363835,0.0163347896646275,32.303848,-90.182106,1726.32591854677,0.356631440405313,2617483.75,57113,134.11963557744,0.00520008302829805,6250.25,258,0.0166866012411599,0.0465697706357346,0.0110523027325531,0.0325078700420889,0.0112188793035521,0.0331028932045996,0.0113899726616129,0.0337169280555756
"9",9,"Mississippi",0.0156698214224029,0.0429640456197546,0.0441252866560973,0.0159961004318632,32.303848,-90.182106,1620.24709364593,0.349109576910871,2623734,56656,-106.078824900846,-0.00752186349444212,6250.25,-457,0.0163347896646275,0.045326285363835,0.0166866012411599,0.0465697706357346,0.0110523027325531,0.0325078700420889,0.0112188793035521,0.0331028932045996
"10",10,"Mississippi",0.0157432540149731,0.0436605960200183,0.0429640456197546,0.0156698214224029,32.303848,-90.182106,1688.60434253169,0.355276778745914,2631575.5,57168,68.3572488857626,0.00616720183504271,7841.5,512,0.0159961004318632,0.0441252866560973,0.0163347896646275,0.045326285363835,0.0166866012411599,0.0465697706357346,0.0110523027325531,0.0325078700420889
"11",11,"Mississippi",0.0154078523712826,0.0428648729682237,0.0436605960200183,0.0157432540149731,32.303848,-90.182106,1665.01219170749,0.355121478215328,2639417,57426,-23.5921508242018,-0.000155300530585378,7841.5,258,0.0156698214224029,0.0429640456197546,0.0159961004318632,0.0441252866560973,0.0163347896646275,0.045326285363835,0.0166866012411599,0.0465697706357346
"12",12,"Mississippi",0.0150848282020934,0.0420967687845462,0.0428648729682237,0.0154078523712826,32.303848,-90.182106,1865.64471811121,0.362403596022073,2647258.5,57993,200.632526403721,0.00728211780674526,7841.5,567,0.0157432540149731,0.0436605960200183,0.0156698214224029,0.0429640456197546,0.0159961004318632,0.0441252866560973,0.0163347896646275,0.045326285363835
"13",13,"Mississippi",0.0147735207139323,0.0413547478302405,0.0420967687845462,0.0150848282020934,32.303848,-90.182106,1654.84857896124,0.357310459116417,2655100,57552,-210.796139149964,-0.00509313690565594,7841.5,-441,0.0154078523712826,0.0428648729682237,0.0157432540149731,0.0436605960200183,0.0156698214224029,0.0429640456197546,0.0159961004318632,0.0441252866560973
"14",14,"Mississippi",0.0190717037664943,0.0733414633110101,0.0413547478302405,0.0147735207139323,32.303848,-90.182106,1777.13444347123,0.366234127367012,2663573,57887,122.285864509988,0.00892366825059421,8473,335,0.0150848282020934,0.0420967687845462,0.0154078523712826,0.0428648729682237,0.0157432540149731,0.0436605960200183,0.0156698214224029,0.0429640456197546
"15",15,"Mississippi",0.0185971791272106,0.0716030971626438,0.0733414633110101,0.0190717037664943,32.303848,-90.182106,1802.56247646934,0.367313911013009,2672046,58192,25.4280329981102,0.00107978364599737,8473,305,0.0147735207139323,0.0413547478302405,0.0150848282020934,0.0420967687845462,0.0154078523712826,0.0428648729682237,0.0157432540149731,0.0436605960200183
"16",16,"Mississippi",0.0181432467827953,0.0699403795180302,0.0716030971626438,0.0185971791272106,32.303848,-90.182106,1996.15869352167,0.377859536405699,2680519,59266,193.596217052323,0.0105456253926895,8473,1074,0.0190717037664943,0.0733414633110101,0.0147735207139323,0.0413547478302405,0.0150848282020934,0.0420967687845462,0.0154078523712826,0.0428648729682237
"17",17,"Mississippi",0.0177086142333671,0.0683483952049713,0.0699403795180302,0.0181432467827953,32.303848,-90.182106,1825.55340811724,0.373024910449715,2688992,59367,-170.605285404423,-0.00483462595598355,8473,101,0.0185971791272106,0.0716030971626438,0.0190717037664943,0.0733414633110101,0.0147735207139323,0.0413547478302405,0.0150848282020934,0.0420967687845462
"18",18,"Mississippi",0.0131270500764984,0.0496619916548084,0.0683483952049713,0.0177086142333671,32.303848,-90.182106,1919.33572062447,0.383047125010871,2697408.75,59040,93.7823125072273,0.0100222145611558,8416.75,-327,0.0181432467827953,0.0699403795180302,0.0185971791272106,0.0716030971626438,0.0190717037664943,0.0733414633110101,0.0147735207139323,0.0413547478302405
"19",19,"Mississippi",0.0128768698176795,0.0487513479837247,0.0496619916548084,0.0131270500764984,32.303848,-90.182106,1973.69171810969,0.386046205369366,2705825.5,59449,54.3559974852162,0.00299908035849494,8416.75,409,0.0177086142333671,0.0683483952049713,0.0181432467827953,0.0699403795180302,0.0185971791272106,0.0716030971626438,0.0190717037664943,0.0733414633110101
"20",20,"Mississippi",0.0126348119079225,0.0478712726250237,0.0487513479837247,0.0128768698176795,32.303848,-90.182106,2084.29973337863,0.38798268651223,2714242.25,60100,110.608015268939,0.00193648114286432,8416.75,651,0.0131270500764984,0.0496619916548084,0.0177086142333671,0.0683483952049713,0.0181432467827953,0.0699403795180302,0.0185971791272106,0.0716030971626438
"21",21,"Mississippi",0.0124004964660358,0.0470202183858035,0.0478712726250237,0.0126348119079225,32.303848,-90.182106,1968.33191964179,0.381468630482187,2722659,59553,-115.967813736834,-0.00651405603004335,8416.75,-547,0.0128768698176795,0.0487513479837247,0.0131270500764984,0.0496619916548084,0.0177086142333671,0.0683483952049713,0.0181432467827953,0.0699403795180302
"22",22,"Mississippi",0.00886297769340061,0.0545676286433618,0.0470202183858035,0.0124004964660358,32.303848,-90.182106,2016.08779283225,0.386871627026914,2729015.5,59406,47.7558731904589,0.00540299654472709,6356.5,-147,0.0126348119079225,0.0478712726250237,0.0128768698176795,0.0487513479837247,0.0131270500764984,0.0496619916548084,0.0177086142333671,0.0683483952049713
"23",23,"Mississippi",0.00874446293503084,0.0535546313242321,0.0545676286433618,0.00886297769340061,32.303848,-90.182106,2003.53215504143,0.386011482167691,2735372,59964,-12.5556377908154,-0.000860144859223255,6356.5,558,0.0124004964660358,0.0470202183858035,0.0126348119079225,0.0478712726250237,0.0128768698176795,0.0487513479837247,0.0131270500764984,0.0496619916548084
"24",24,"Mississippi",0.00862863727359731,0.0525774730810227,0.0535546313242321,0.00874446293503084,32.303848,-90.182106,2164.1931081068,0.389245203041317,2741728.5,60325,160.660953065367,0.00323372087362689,6356.5,361,0.00886297769340061,0.0545676286433618,0.0124004964660358,0.0470202183858035,0.0126348119079225,0.0478712726250237,0.0128768698176795,0.0487513479837247
"25",25,"Mississippi",0.00851541268496447,0.0516341647731835,0.0525774730810227,0.00862863727359731,32.303848,-90.182106,2038.19383388796,0.381673783743953,2748085,60393,-125.99927421884,-0.00757141929736482,6356.5,68,0.00874446293503084,0.0535546313242321,0.00886297769340061,0.0545676286433618,0.0124004964660358,0.0470202183858035,0.0126348119079225,0.0478712726250237
"26",26,"Mississippi",0.00159706676507021,0.063841583886564,0.0516341647731835,0.00851541268496447,32.303848,-90.182106,2102.91142128136,0.389552953977399,2755314.75,60410,64.7175873934,0.00787917023344686,7229.75,17,0.00862863727359731,0.0525774730810227,0.00874446293503084,0.0535546313242321,0.00886297769340061,0.0545676286433618,0.0124004964660358,0.0470202183858035
"27",27,"Mississippi",0.00158618090863172,0.0619799993115464,0.063841583886564,0.00159706676507021,32.303848,-90.182106,2076.3170012284,0.388275495049341,2762544.5,60917,-26.5944200529657,-0.00127745892805881,7229.75,507,0.00851541268496447,0.0516341647731835,0.00862863727359731,0.0525774730810227,0.00874446293503084,0.0535546313242321,0.00886297769340061,0.0545676286433618
"28",28,"Mississippi",0.00157540794886302,0.06021323828584,0.0619799993115464,0.00158618090863172,32.303848,-90.182106,2260.18135304709,0.390144070405738,2769774.25,61170,183.864351818698,0.00186857535639728,7229.75,253,0.00159706676507021,0.063841583886564,0.00851541268496447,0.0516341647731835,0.00862863727359731,0.0525774730810227,0.00874446293503084,0.0535546313242321
