"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Missouri",0.0115095746071727,0.0620733077853544,0.0634815545807399,0.0116960251186509,38.579201,-92.172935,2371.56590710674,0.450147724742467,5193950.5,140561,-45.5520964573602,0.0160178985268402,11575.25,3509,0.0108698236904328,0.0366537334836323,0.0110342507246362,0.0372882371372611,0.0112031243987918,0.037942294032618,0.0113766242876157,0.038617224628716
"8",8,"Missouri",0.0113282917441389,0.060717590101639,0.0620733077853544,0.0115095746071727,38.579201,-92.172935,2590.24488102859,0.434450577190338,5205525.75,138335,218.678973921849,-0.0156971475521293,11575.25,-2226,0.0116960251186509,0.0634815545807399,0.0108698236904328,0.0366537334836323,0.0110342507246362,0.0372882371372611,0.0112031243987918,0.037942294032618
"9",9,"Missouri",0.01115196845371,0.0594113135440892,0.060717590101639,0.0113282917441389,38.579201,-92.172935,2428.11111956621,0.430618396436386,5217101,139490,-162.133761462377,-0.00383218075395175,11575.25,1155,0.0115095746071727,0.0620733077853544,0.0116960251186509,0.0634815545807399,0.0108698236904328,0.0366537334836323,0.0110342507246362,0.0372882371372611
"10",10,"Missouri",0.0052271142421656,0.0472106690673399,0.0594113135440892,0.01115196845371,38.579201,-92.172935,2500.16775412549,0.436473856809249,5230619.5,140214,72.0566345592802,0.00585546037286305,13518.5,724,0.0113282917441389,0.060717590101639,0.0115095746071727,0.0620733077853544,0.0116960251186509,0.0634815545807399,0.0108698236904328,0.0366537334836323
"11",11,"Missouri",0.00517319366182178,0.0463426628415036,0.0472106690673399,0.0052271142421656,38.579201,-92.172935,2454.33783988903,0.431708636703814,5244138,140958,-45.8299142364572,-0.00476522010543506,13518.5,744,0.01115196845371,0.0594113135440892,0.0113282917441389,0.060717590101639,0.0115095746071727,0.0620733077853544,0.0116960251186509,0.0634815545807399
"12",12,"Missouri",0.00512017129618947,0.0455052922836714,0.0463426628415036,0.00517319366182178,38.579201,-92.172935,2801.46315549523,0.437273653512105,5257656.5,141530,347.125315606195,0.00556501680829086,13518.5,572,0.0052271142421656,0.0472106690673399,0.01115196845371,0.0594113135440892,0.0113282917441389,0.060717590101639,0.0115095746071727,0.0620733077853544
"13",13,"Missouri",0.00506802604591883,0.0446968215536856,0.0455052922836714,0.00512017129618947,38.579201,-92.172935,2439.44980085085,0.425882717483926,5271175,141229,-362.013354644375,-0.0113909360281791,13518.5,-301,0.00517319366182178,0.0463426628415036,0.0052271142421656,0.0472106690673399,0.01115196845371,0.0594113135440892,0.0113282917441389,0.060717590101639
"14",14,"Missouri",0.0216957910062305,0.081875757059926,0.0446968215536856,0.00506802604591883,38.579201,-92.172935,2590.3195960341,0.442112070214832,5284505.5,142165,150.86979518325,0.0162293527309062,13330.5,936,0.00512017129618947,0.0455052922836714,0.00517319366182178,0.0463426628415036,0.0052271142421656,0.0472106690673399,0.01115196845371,0.0594113135440892
"15",15,"Missouri",0.0211293188993569,0.079928971634871,0.081875757059926,0.0216957910062305,38.579201,-92.172935,2568.81467848382,0.437403561252808,5297836,142778,-21.5049175502854,-0.00470850896202374,13330.5,613,0.00506802604591883,0.0446968215536856,0.00512017129618947,0.0455052922836714,0.00517319366182178,0.0463426628415036,0.0052271142421656,0.0472106690673399
"16",16,"Missouri",0.0205892849283842,0.0780673568607924,0.079928971634871,0.0211293188993569,38.579201,-92.172935,2903.19049271003,0.446384926299461,5311166.5,143997,334.37581422621,0.0089813650466527,13330.5,1219,0.0216957910062305,0.081875757059926,0.00506802604591883,0.0446968215536856,0.00512017129618947,0.0455052922836714,0.00517319366182178,0.0463426628415036
"17",17,"Missouri",0.0200738959567222,0.076285343956215,0.0780673568607924,0.0205892849283842,38.579201,-92.172935,2608.64544932601,0.432215850624012,5324497,145050,-294.545043384017,-0.0141690756754491,13330.5,1053,0.0211293188993569,0.079928971634871,0.0216957910062305,0.081875757059926,0.00506802604591883,0.0446968215536856,0.00512017129618947,0.0455052922836714
"18",18,"Missouri",0.0154927408308598,0.0486972634002498,0.076285343956215,0.0200738959567222,38.579201,-92.172935,2718.98886788513,0.451352047625662,5337934.5,146488,110.343418559123,0.0191361970016504,13437.5,1438,0.0205892849283842,0.0780673568607924,0.0211293188993569,0.079928971634871,0.0216957910062305,0.081875757059926,0.00506802604591883,0.0446968215536856
"19",19,"Missouri",0.0151803330754721,0.0478642301589147,0.0486972634002498,0.0154927408308598,38.579201,-92.172935,2760.67098119884,0.448546092478714,5351372,147383,41.6821133137059,-0.00280595514694859,13437.5,895,0.0200738959567222,0.076285343956215,0.0205892849283842,0.0780673568607924,0.0211293188993569,0.079928971634871,0.0216957910062305,0.081875757059926
"20",20,"Missouri",0.0148789780586256,0.0470576641600005,0.0478642301589147,0.0151803330754721,38.579201,-92.172935,2971.27709325,0.456378056542983,5364809.5,148417,210.606112051162,0.00783196406426934,13437.5,1034,0.0154927408308598,0.0486972634002498,0.0200738959567222,0.076285343956215,0.0205892849283842,0.0780673568607924,0.0211293188993569,0.079928971634871
"21",21,"Missouri",0.0145881076814973,0.0462762712369127,0.0470576641600005,0.0148789780586256,38.579201,-92.172935,2830.26020578824,0.44497150589526,5378247,149670,-141.01688746176,-0.0114065506477228,13437.5,1253,0.0151803330754721,0.0478642301589147,0.0154927408308598,0.0486972634002498,0.0200738959567222,0.076285343956215,0.0205892849283842,0.0780673568607924
"22",22,"Missouri",0.012050438590002,0.0632839330729524,0.0462762712369127,0.0145881076814973,38.579201,-92.172935,2895.11937526216,0.457818111911115,5391573.5,150209,64.8591694739139,0.0128466060158542,13326.5,539,0.0148789780586256,0.0470576641600005,0.0151803330754721,0.0478642301589147,0.0154927408308598,0.0486972634002498,0.0200738959567222,0.076285343956215
"23",23,"Missouri",0.0118485829969099,0.0620918594133002,0.0632839330729524,0.012050438590002,38.579201,-92.172935,2832.27389054377,0.452719445934862,5404900,151235,-62.8454847183907,-0.00509866597625308,13326.5,1026,0.0145881076814973,0.0462762712369127,0.0148789780586256,0.0470576641600005,0.0151803330754721,0.0478642301589147,0.0154927408308598,0.0486972634002498
"24",24,"Missouri",0.0116525684353768,0.0609426255258612,0.0620918594133002,0.0118485829969099,38.579201,-92.172935,3103.40825415844,0.457331133474517,5418226.5,151519,271.134363614675,0.00461168753965574,13326.5,284,0.012050438590002,0.0632839330729524,0.0145881076814973,0.0462762712369127,0.0148789780586256,0.0470576641600005,0.0151803330754721,0.0478642301589147
"25",25,"Missouri",0.0114621499598169,0.0598338348494707,0.0609426255258612,0.0116525684353768,38.579201,-92.172935,2940.73423733507,0.447414517849069,5431553,152500,-162.674016823373,-0.00991661562544788,13326.5,981,0.0118485829969099,0.0620918594133002,0.012050438590002,0.0632839330729524,0.0145881076814973,0.0462762712369127,0.0148789780586256,0.0470576641600005
"26",26,"Missouri",0.0231394425613463,0.0756804308502552,0.0598338348494707,0.0114621499598169,38.579201,-92.172935,3019.71384687956,0.46063348826336,5443963,153262,78.979609544494,0.0132189704142907,12410,762,0.0116525684353768,0.0609426255258612,0.0118485829969099,0.0620918594133002,0.012050438590002,0.0632839330729524,0.0145881076814973,0.0462762712369127
"27",27,"Missouri",0.0225143690161804,0.0735659060661504,0.0756804308502552,0.0231394425613463,38.579201,-92.172935,2931.72880648006,0.457125884416871,5456373,153690,-87.9850403995065,-0.00350760384648952,12410,428,0.0114621499598169,0.0598338348494707,0.0116525684353768,0.0609426255258612,0.0118485829969099,0.0620918594133002,0.012050438590002,0.0632839330729524
"28",28,"Missouri",0.0219197694196627,0.071556979889742,0.0735659060661504,0.0225143690161804,38.579201,-92.172935,3276.40459294143,0.46363630323846,5468783,154380,344.675786461372,0.00651041882158915,12410,690,0.0231394425613463,0.0756804308502552,0.0114621499598169,0.0598338348494707,0.0116525684353768,0.0609426255258612,0.0118485829969099,0.0620918594133002
"29",29,"Missouri",0.021353482544562,0.0696451252029391,0.071556979889742,0.0219197694196627,38.579201,-92.172935,3128.58896557738,0.455277953783662,5481193,154518,-147.815627364043,-0.00835834945479741,12410,138,0.0225143690161804,0.0735659060661504,0.0231394425613463,0.0756804308502552,0.0114621499598169,0.0598338348494707,0.0116525684353768,0.0609426255258612
