"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Montana",0.0136704917677299,0.0299463206442461,0.0306957737792786,0.0139986486870338,46.585709,-112.018417,1659.63020819958,0.362885240555607,817725,28594,-26.396917193302,0.00155006789319817,4022.5,177,0.00854080995513584,0.016417897309676,0.00866531000569637,0.0167976780205699,0.00879288489089802,0.0171889582918467,0.00892364555842029,0.0175928454765106
"8",8,"Montana",0.0133549739580037,0.0292280488150993,0.0299463206442461,0.0136704917677299,46.585709,-112.018417,1801.86325726577,0.366569617390581,821747.5,28201,142.233049066188,0.00368437683497475,4022.5,-393,0.0139986486870338,0.0306957737792786,0.00854080995513584,0.016417897309676,0.00866531000569637,0.0167976780205699,0.00879288489089802,0.0171889582918467
"9",9,"Montana",0.0130514057802547,0.0285389779134277,0.0292280488150993,0.0133549739580037,46.585709,-112.018417,1657.79485692142,0.354778772135905,825770,28458,-144.068400344347,-0.0117908452546758,4022.5,257,0.0136704917677299,0.0299463206442461,0.0139986486870338,0.0306957737792786,0.00854080995513584,0.016417897309676,0.00866531000569637,0.0167976780205699
"10",10,"Montana",0.0127895623047696,0.0288707897568194,0.0285389779134277,0.0130514057802547,46.585709,-112.018417,1804.85153869378,0.372842121676508,830517.75,28686,147.056681772366,0.018063349540603,4747.75,228,0.0133549739580037,0.0292280488150993,0.0136704917677299,0.0299463206442461,0.0139986486870338,0.0306957737792786,0.00854080995513584,0.016417897309676
"11",11,"Montana",0.0124853865603036,0.0281612003766476,0.0288707897568194,0.0127895623047696,46.585709,-112.018417,1731.56903643213,0.367288006029221,835265.5,29053,-73.2825022616562,-0.00555411564728781,4747.75,367,0.0130514057802547,0.0285389779134277,0.0133549739580037,0.0292280488150993,0.0136704917677299,0.0299463206442461,0.0139986486870338,0.0306957737792786
"12",12,"Montana",0.0121928741087345,0.0274841774624583,0.0281612003766476,0.0124853865603036,46.585709,-112.018417,1904.23104516506,0.370226302977959,840013.25,28981,172.662008732933,0.00293829694873837,4747.75,-72,0.0127895623047696,0.0288707897568194,0.0130514057802547,0.0285389779134277,0.0133549739580037,0.0292280488150993,0.0136704917677299,0.0299463206442461
"13",13,"Montana",0.0119113976770588,0.0268374434647853,0.0274841774624583,0.0121928741087345,46.585709,-112.018417,1691.22472628353,0.356101508789666,844761,29155,-213.006318881533,-0.0141247941882934,4747.75,174,0.0124853865603036,0.0281612003766476,0.0127895623047696,0.0288707897568194,0.0130514057802547,0.0285389779134277,0.0133549739580037,0.0292280488150993
"14",14,"Montana",0.0106906913926981,0.039474973803447,0.0268374434647853,0.0119113976770588,46.585709,-112.018417,1877.88702696351,0.375723917117178,848897.25,29632,186.662300679982,0.0196224083275121,4136.25,477,0.0121928741087345,0.0274841774624583,0.0124853865603036,0.0281612003766476,0.0127895623047696,0.0288707897568194,0.0130514057802547,0.0285389779134277
"15",15,"Montana",0.0104755648540902,0.0384299929093288,0.039474973803447,0.0106906913926981,46.585709,-112.018417,1811.56403822359,0.371006922158782,853033.5,29888,-66.3229887399239,-0.00471699495839567,4136.25,256,0.0119113976770588,0.0268374434647853,0.0121928741087345,0.0274841774624583,0.0124853865603036,0.0281612003766476,0.0127895623047696,0.0288707897568194
"16",16,"Montana",0.0102674249153019,0.0374350860827413,0.0384299929093288,0.0104755648540902,46.585709,-112.018417,1985.46708747013,0.37508750940717,857169.75,30126,173.903049246544,0.00408058724838817,4136.25,238,0.0106906913926981,0.039474973803447,0.0119113976770588,0.0268374434647853,0.0121928741087345,0.0274841774624583,0.0124853865603036,0.0281612003766476
"17",17,"Montana",0.0100659527439451,0.0364866969633439,0.0374350860827413,0.0102674249153019,46.585709,-112.018417,1767.42984258788,0.362014971063323,861306,30801,-218.037244882247,-0.0130725383438469,4136.25,675,0.0104755648540902,0.0384299929093288,0.0106906913926981,0.039474973803447,0.0119113976770588,0.0268374434647853,0.0121928741087345,0.0274841774624583
"18",18,"Montana",0.00225806432702313,0.0278948122269895,0.0364866969633439,0.0100659527439451,46.585709,-112.018417,1944.15132968894,0.381331905396693,865117.75,31684,176.721487101051,0.0193169343333699,3811.75,883,0.0102674249153019,0.0374350860827413,0.0104755648540902,0.0384299929093288,0.0106906913926981,0.039474973803447,0.0119113976770588,0.0268374434647853
"19",19,"Montana",0.00223323265690745,0.027298019610722,0.0278948122269895,0.00225806432702313,46.585709,-112.018417,1936.99015052429,0.384168872925441,868929.5,32252,-7.161179164641,0.00283696752874751,3811.75,568,0.0100659527439451,0.0364866969633439,0.0102674249153019,0.0374350860827413,0.0104755648540902,0.0384299929093288,0.0106906913926981,0.039474973803447
"20",20,"Montana",0.00220881383163274,0.0267245010051838,0.027298019610722,0.00223323265690745,46.585709,-112.018417,2015.46443920234,0.385642365363159,872741.25,32689,78.4742886780464,0.00147349243771827,3811.75,437,0.00225806432702313,0.0278948122269895,0.0100659527439451,0.0364866969633439,0.0102674249153019,0.0374350860827413,0.0104755648540902,0.0384299929093288
"21",21,"Montana",0.0021847986336212,0.0261729005292288,0.0267245010051838,0.00220881383163274,46.585709,-112.018417,1871.7467215331,0.370187541426474,876553,33154,-143.717717669245,-0.015454823936685,3811.75,465,0.00223323265690745,0.027298019610722,0.00225806432702313,0.0278948122269895,0.0100659527439451,0.0364866969633439,0.0102674249153019,0.0374350860827413
"22",22,"Montana",0.0057627023318183,0.0343552171800923,0.0261729005292288,0.0021847986336212,46.585709,-112.018417,1983.0459479515,0.388097581860909,878978.25,32619,111.299226418403,0.0179100404344348,2425.25,-535,0.00220881383163274,0.0267245010051838,0.00223323265690745,0.027298019610722,0.00225806432702313,0.0278948122269895,0.0100659527439451,0.0364866969633439
"23",23,"Montana",0.00569824210719894,0.0335684975319523,0.0343552171800923,0.0057627023318183,46.585709,-112.018417,1954.6256771161,0.387398809587966,881403.5,33198,-28.4202708353998,-0.000698772272942905,2425.25,579,0.0021847986336212,0.0261729005292288,0.00220881383163274,0.0267245010051838,0.00223323265690745,0.027298019610722,0.00225806432702313,0.0278948122269895
"24",24,"Montana",0.00563494840262813,0.0328161968671168,0.0335684975319523,0.00569824210719894,46.585709,-112.018417,2097.28511999638,0.390441775815356,883828.75,32358,142.65944288028,0.00304296622739053,2425.25,-840,0.0057627023318183,0.0343552171800923,0.0021847986336212,0.0261729005292288,0.00220881383163274,0.0267245010051838,0.00223323265690745,0.027298019610722
"25",25,"Montana",0.00557279142605971,0.0320959597216479,0.0328161968671168,0.00563494840262813,46.585709,-112.018417,1948.13688965015,0.378524666743394,886254,32992,-149.148230346234,-0.0119171090719623,2425.25,634,0.00569824210719894,0.0335684975319523,0.0057627023318183,0.0343552171800923,0.0021847986336212,0.0261729005292288,0.00220881383163274,0.0267245010051838
"26",26,"Montana",0.0134879160386863,0.0385430000378726,0.0320959597216479,0.00557279142605971,46.585709,-112.018417,2080.41847847069,0.397536662301598,887156.75,33941,132.281588820542,0.019011995558204,902.75,949,0.00563494840262813,0.0328161968671168,0.00569824210719894,0.0335684975319523,0.0057627023318183,0.0343552171800923,0.0021847986336212,0.0261729005292288
"27",27,"Montana",0.0132815323914937,0.0372072680915849,0.0385430000378726,0.0134879160386863,46.585709,-112.018417,2068.84230842641,0.396572902303656,888059.5,34776,-11.5761700442813,-0.000963759997942459,902.75,835,0.00557279142605971,0.0320959597216479,0.00563494840262813,0.0328161968671168,0.00569824210719894,0.0335684975319523,0.0057627023318183,0.0343552171800923
"28",28,"Montana",0.0130809948210633,0.0359456439443626,0.0372072680915849,0.0132815323914937,46.585709,-112.018417,2229.10305696333,0.398682471237296,888962.25,34581,160.260748536924,0.00210956893364,902.75,-195,0.0134879160386863,0.0385430000378726,0.00557279142605971,0.0320959597216479,0.00563494840262813,0.0328161968671168,0.00569824210719894,0.0335684975319523
"29",29,"Montana",0.012886059434047,0.0347513962519663,0.0359456439443626,0.0130809948210633,46.585709,-112.018417,2016.2733549471,0.381381820088815,889865,35059,-212.829702016231,-0.0173006511484807,902.75,478,0.0132815323914937,0.0372072680915849,0.0134879160386863,0.0385430000378726,0.00557279142605971,0.0320959597216479,0.00563494840262813,0.0328161968671168
"30",30,"Montana",0.0148397029005825,0.0249497168769572,0.0347513962519663,0.012886059434047,46.585709,-112.018417,2165.16935698953,0.399699122540562,890506.5,34912,148.896002042434,0.0183173024517467,641.5,-147,0.0130809948210633,0.0359456439443626,0.0132815323914937,0.0372072680915849,0.0134879160386863,0.0385430000378726,0.00557279142605971,0.0320959597216479
"31",31,"Montana",0.0146018028356298,0.0244117321946824,0.0249497168769572,0.0148397029005825,46.585709,-112.018417,2165.81729409705,0.400556361008497,891148,35424,0.647937107518828,0.000857238467935229,641.5,512,0.012886059434047,0.0347513962519663,0.0130809948210633,0.0359456439443626,0.0132815323914937,0.0372072680915849,0.0134879160386863,0.0385430000378726
"32",32,"Montana",0.0143710981213427,0.0238926012153371,0.0244117321946824,0.0146018028356298,46.585709,-112.018417,2379.45842264346,0.404293090839636,891789.5,35422,213.641128546408,0.00373672983113882,641.5,-2,0.0148397029005825,0.0249497168769572,0.012886059434047,0.0347513962519663,0.0130809948210633,0.0359456439443626,0.0132815323914937,0.0372072680915849
"33",33,"Montana",0.0141472678019507,0.0233912324974455,0.0238926012153371,0.0143710981213427,46.585709,-112.018417,2122.73125653412,0.39182525035549,892431,35748,-256.727166109341,-0.0124678404841461,641.5,326,0.0146018028356298,0.0244117321946824,0.0148397029005825,0.0249497168769572,0.012886059434047,0.0347513962519663,0.0130809948210633,0.0359456439443626
"34",34,"Montana",0.00460813877951161,0.0323970278631336,0.0233912324974455,0.0141472678019507,46.585709,-112.018417,2346.11709186528,0.410969378240275,893700,35913,223.385835331161,0.0191441278847849,1269,165,0.0143710981213427,0.0238926012153371,0.0146018028356298,0.0244117321946824,0.0148397029005825,0.0249497168769572,0.012886059434047,0.0347513962519663
