"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"New_Hampshire",0.0137082674366447,0.0764090084586257,0.0777661773464615,0.0139483246120236,43.206898,-71.537994,2419.74887608951,0.426898497846596,1113856.5,35153,-66.9592789910903,0.00268552107043335,1963.75,-105,0.0106488329918832,0.0238061794022002,0.0107514977045149,0.0241635280672199,0.0108562848176348,0.0245315664403449,0.0109632606131704,0.0249110466098585
"8",8,"New_Hampshire",0.0134756101609614,0.0750987808710732,0.0764090084586257,0.0137082674366447,43.206898,-71.537994,2705.39653855538,0.429289872928308,1115820.25,35138,285.647662465867,0.00239137508171272,1963.75,-15,0.0139483246120236,0.0777661773464615,0.0106488329918832,0.0238061794022002,0.0107514977045149,0.0241635280672199,0.0108562848176348,0.0245315664403449
"9",9,"New_Hampshire",0.0132500191470903,0.0738328535896642,0.0750987808710732,0.0134756101609614,43.206898,-71.537994,2451.84063647359,0.41173995452908,1117784,35738,-253.555902081787,-0.0175499183992283,1963.75,600,0.0137082674366447,0.0764090084586257,0.0139483246120236,0.0777661773464615,0.0106488329918832,0.0238061794022002,0.0107514977045149,0.0241635280672199
"10",10,"New_Hampshire",0.00712390450910405,0.0502516358502163,0.0738328535896642,0.0132500191470903,43.206898,-71.537994,2555.81972289702,0.424601533413194,1120702.5,36193,103.979086423428,0.0128615788841138,2918.5,455,0.0134756101609614,0.0750987808710732,0.0137082674366447,0.0764090084586257,0.0139483246120236,0.0777661773464615,0.0106488329918832,0.0238061794022002
"11",11,"New_Hampshire",0.00703689667583696,0.0495640968743345,0.0502516358502163,0.00712390450910405,43.206898,-71.537994,2532.68673600796,0.423914588044664,1123621,36114,-23.1329868890621,-0.000686945368530034,2918.5,-79,0.0132500191470903,0.0738328535896642,0.0134756101609614,0.0750987808710732,0.0137082674366447,0.0764090084586257,0.0139483246120236,0.0777661773464615
"12",12,"New_Hampshire",0.00695164425677319,0.0488959312693567,0.0495640968743345,0.00703689667583696,43.206898,-71.537994,2943.58117757966,0.430278743000134,1126539.5,36584,410.894441571699,0.00636415495547055,2918.5,470,0.00712390450910405,0.0502516358502163,0.0132500191470903,0.0738328535896642,0.0134756101609614,0.0750987808710732,0.0137082674366447,0.0764090084586257
"13",13,"New_Hampshire",0.0068680967312531,0.0482462011838578,0.0488959312693567,0.00695164425677319,43.206898,-71.537994,2420.14573715888,0.419107217798271,1129458,35762,-523.435440420774,-0.0111715252018631,2918.5,-822,0.00703689667583696,0.0495640968743345,0.00712390450910405,0.0502516358502163,0.0132500191470903,0.0738328535896642,0.0134756101609614,0.0750987808710732
"14",14,"New_Hampshire",0.0136681844897595,0.0897911930703401,0.0482462011838578,0.0068680967312531,43.206898,-71.537994,2636.29761104443,0.432175794218146,1132733.5,36412,216.151873885549,0.0130685764198744,3275.5,650,0.00695164425677319,0.0488959312693567,0.00703689667583696,0.0495640968743345,0.00712390450910405,0.0502516358502163,0.0132500191470903,0.0738328535896642
"15",15,"New_Hampshire",0.0134066431578415,0.0880631812780734,0.0897911930703401,0.0136681844897595,43.206898,-71.537994,2685.53737426376,0.434236583219558,1136009,36698,49.2397632193265,0.0020607890014121,3275.5,286,0.0068680967312531,0.0482462011838578,0.00695164425677319,0.0488959312693567,0.00703689667583696,0.0495640968743345,0.00712390450910405,0.0502516358502163
"16",16,"New_Hampshire",0.0131537087159455,0.0864006314661054,0.0880631812780734,0.0134066431578415,43.206898,-71.537994,3077.59489047731,0.442274368986266,1139284.5,37219,392.057516213552,0.00803778576670799,3275.5,521,0.0136681844897595,0.0897911930703401,0.0068680967312531,0.0482462011838578,0.00695164425677319,0.0488959312693567,0.00703689667583696,0.0495640968743345
