"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"New_Mexico",0.012400662075077,0.0364515312944071,0.0373721252678543,0.0127194242433752,35.68224,-105.939728,1787.05225205324,0.36315895881199,1575373.5,39585,-58.0063849163466,0.00187625284266069,10034.25,305,0.0255296987747613,0.0194104526566505,0.0264896234859417,0.0197675158342285,0.0275145711016371,0.0201331906696609,0.0286112307563346,0.0205080673659062
"8",8,"New_Mexico",0.0120946531071358,0.0355695801133002,0.0364515312944071,0.012400662075077,35.68224,-105.939728,1930.54277298695,0.362285979742435,1585407.75,39803,143.490520933706,-0.000872979069554303,10034.25,218,0.0127194242433752,0.0373721252678543,0.0255296987747613,0.0194104526566505,0.0264896234859417,0.0197675158342285,0.0275145711016371,0.0201331906696609
"9",9,"New_Mexico",0.0118006859285504,0.0347237416575048,0.0355695801133002,0.0120946531071358,35.68224,-105.939728,1798.04560993129,0.354033344155831,1595442,40165,-132.497163055658,-0.00825263558660477,10034.25,362,0.012400662075077,0.0364515312944071,0.0127194242433752,0.0373721252678543,0.0255296987747613,0.0194104526566505,0.0264896234859417,0.0197675158342285
"10",10,"New_Mexico",0.0255406817901562,0.0317726380258883,0.0347237416575048,0.0118006859285504,35.68224,-105.939728,1897.64407961102,0.362824046517351,1605694.75,40123,99.5984696797302,0.00879070236152063,10252.75,-42,0.0120946531071358,0.0355695801133002,0.012400662075077,0.0364515312944071,0.0127194242433752,0.0373721252678543,0.0255296987747613,0.0194104526566505
"11",11,"New_Mexico",0.0245923969620598,0.0310838915780707,0.0317726380258883,0.0255406817901562,35.68224,-105.939728,1862.80706334828,0.362973219530131,1615947.5,40573,-34.8370162627386,0.000149173012779946,10252.75,450,0.0118006859285504,0.0347237416575048,0.0120946531071358,0.0355695801133002,0.012400662075077,0.0364515312944071,0.0127194242433752,0.0373721252678543
"12",12,"New_Mexico",0.0237030039320043,0.0304227454963701,0.0310838915780707,0.0245923969620598,35.68224,-105.939728,2046.21112990236,0.366639553359639,1626200.25,41032,183.404066554077,0.00366633382950787,10252.75,459,0.0255406817901562,0.0317726380258883,0.0118006859285504,0.0347237416575048,0.0120946531071358,0.0355695801133002,0.012400662075077,0.0364515312944071
"13",13,"New_Mexico",0.0228673156603367,0.0297875154689855,0.0304227454963701,0.0237030039320043,35.68224,-105.939728,1826.95958759586,0.357765239820514,1636453,41413,-219.251542306504,-0.00887431353912482,10252.75,381,0.0245923969620598,0.0310838915780707,0.0255406817901562,0.0317726380258883,0.0118006859285504,0.0347237416575048,0.0120946531071358,0.0355695801133002
"14",14,"New_Mexico",0.0250878468224833,0.0463196256635747,0.0297875154689855,0.0228673156603367,35.68224,-105.939728,1998.25751283004,0.366768779047326,1647939.25,41811,171.297925234184,0.00900353922681213,11486.25,398,0.0237030039320043,0.0304227454963701,0.0245923969620598,0.0310838915780707,0.0255406817901562,0.0317726380258883,0.0118006859285504,0.0347237416575048
"15",15,"New_Mexico",0.0241390693583305,0.0451453133585993,0.0463196256635747,0.0250878468224833,35.68224,-105.939728,1978.64249585173,0.367982172143311,1659425.5,42443,-19.615016978312,0.00121339309598467,11486.25,632,0.0228673156603367,0.0297875154689855,0.0237030039320043,0.0304227454963701,0.0245923969620598,0.0310838915780707,0.0255406817901562,0.0317726380258883
"16",16,"New_Mexico",0.0232497675233638,0.044025100893041,0.0451453133585993,0.0241390693583305,35.68224,-105.939728,2172.82179983473,0.374173361738983,1670911.75,42957,194.179303983004,0.00619118959567172,11486.25,514,0.0250878468224833,0.0463196256635747,0.0228673156603367,0.0297875154689855,0.0237030039320043,0.0304227454963701,0.0245923969620598,0.0310838915780707
