"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"North_Dakota",0.02384018340266,0.0657777683698626,0.0669224628717942,0.0244704750217188,46.82085,-100.783318,1768.57713489108,0.394713872160857,636988,22098,15.1213178788219,-0.000169297313529382,617.5,-3,0.00465891629361082,0.0306766258201492,0.00467360543893314,0.0311562003471337,0.00468841544894794,0.0316501350452469,0.00470334774199443,0.0321593749084315
"8",8,"North_Dakota",0.023240456602478,0.0646697191260941,0.0657777683698626,0.02384018340266,46.82085,-100.783318,1929.67263299956,0.401446244320875,637605.5,22243,161.095498108477,0.00673237216001749,617.5,145,0.0244704750217188,0.0669224628717942,0.00465891629361082,0.0306766258201492,0.00467360543893314,0.0311562003471337,0.00468841544894794,0.0316501350452469
"9",9,"North_Dakota",0.0226691267857984,0.0635964376783136,0.0646697191260941,0.023240456602478,46.82085,-100.783318,1794.78859740248,0.390366167729252,638223,22130,-134.884035597083,-0.0110800765916221,617.5,-113,0.02384018340266,0.0657777683698626,0.0244704750217188,0.0669224628717942,0.00465891629361082,0.0306766258201492,0.00467360543893314,0.0311562003471337
"10",10,"North_Dakota",0.00178993683786821,0.0474222889325802,0.0635964376783136,0.0226691267857984,46.82085,-100.783318,1857.12846704762,0.404616013631286,638971.25,22208,62.3398696451422,0.0142498459020338,748.25,78,0.023240456602478,0.0646697191260941,0.02384018340266,0.0657777683698626,0.0244704750217188,0.0669224628717942,0.00465891629361082,0.0306766258201492
"11",11,"North_Dakota",0.00178256268125132,0.0467314910734089,0.0474222889325802,0.00178993683786821,46.82085,-100.783318,1865.73404593732,0.403589385660434,639719.5,22251,8.60557888970357,-0.00102662797085223,748.25,43,0.0226691267857984,0.0635964376783136,0.023240456602478,0.0646697191260941,0.02384018340266,0.0657777683698626,0.0244704750217188,0.0669224628717942
"12",12,"North_Dakota",0.0017752368155346,0.0460609417366342,0.0467314910734089,0.00178256268125132,46.82085,-100.783318,2109.33970836158,0.412167513508682,640467.75,22353,243.605662424263,0.00857812784824774,748.25,102,0.00178993683786821,0.0474222889325802,0.0226691267857984,0.0635964376783136,0.023240456602478,0.0646697191260941,0.02384018340266,0.0657777683698626
"13",13,"North_Dakota",0.00176795879843716,0.0454096396756754,0.0460609417366342,0.0017752368155346,46.82085,-100.783318,1833.61375885817,0.399268993079815,641216,22133,-275.725949503415,-0.0128985204288667,748.25,-220,0.00178256268125132,0.0467314910734089,0.00178993683786821,0.0474222889325802,0.0226691267857984,0.0635964376783136,0.023240456602478,0.0646697191260941
"14",14,"North_Dakota",0.0223615557440944,0.0790339987277378,0.0454096396756754,0.00176795879843716,46.82085,-100.783318,1960.34613533755,0.41442186447972,642113,21774,126.73237647938,0.0151528713999053,897,-359,0.0017752368155346,0.0460609417366342,0.00178256268125132,0.0467314910734089,0.00178993683786821,0.0474222889325802,0.0226691267857984,0.0635964376783136
"15",15,"North_Dakota",0.0218120707028895,0.0775067213630436,0.0790339987277378,0.0223615557440944,46.82085,-100.783318,1974.02190012597,0.413394815010653,643010,21787,13.6757647884203,-0.00102704946906734,897,13,0.00176795879843716,0.0454096396756754,0.0017752368155346,0.0460609417366342,0.00178256268125132,0.0467314910734089,0.00178993683786821,0.0474222889325802
"16",16,"North_Dakota",0.0212875973961584,0.0760367337034538,0.0775067213630436,0.0218120707028895,46.82085,-100.783318,2224.23539890077,0.421780888647998,643907,21909,250.213498774803,0.00838607363734534,897,122,0.0223615557440944,0.0790339987277378,0.00176795879843716,0.0454096396756754,0.0017752368155346,0.0460609417366342,0.00178256268125132,0.0467314910734089
