"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Pennsylvania",0.0126841491699619,0.0654030930011089,0.0666718142063871,0.0128834109001659,40.264378,-76.883598,2464.04017899089,0.410538939803766,12015807,270139,-38.2213797883905,-0.00494796392933183,16821.5,1206,0.00808240032939445,0.0380154671926789,0.00817527236002569,0.0386791656404526,0.0082700323599294,0.0393649759315267,0.00836673731801341,0.0400743551294767
"8",8,"Pennsylvania",0.0124904719876398,0.064178741714052,0.0654030930011089,0.0126841491699619,40.264378,-76.883598,2687.25445342221,0.415000042038473,12032628.5,269751,223.214274431318,0.00446110223470769,16821.5,-388,0.0128834109001659,0.0666718142063871,0.00808240032939445,0.0380154671926789,0.00817527236002569,0.0386791656404526,0.0082700323599294,0.0393649759315267
"9",9,"Pennsylvania",0.0123021496282565,0.0629962708343044,0.064178741714052,0.0124904719876398,40.264378,-76.883598,2523.14551676633,0.403543757875532,12049450,270177,-164.108936655884,-0.011456284162941,16821.5,426,0.0126841491699619,0.0654030930011089,0.0128834109001659,0.0666718142063871,0.00808240032939445,0.0380154671926789,0.00817527236002569,0.0386791656404526
"10",10,"Pennsylvania",0.00946614766282217,0.04924510463308,0.0629962708343044,0.0123021496282565,40.264378,-76.883598,2570.41521979932,0.41272826975998,12067018.5,270809,47.2697030329978,0.00918451188444741,17568.5,632,0.0124904719876398,0.064178741714052,0.0126841491699619,0.0654030930011089,0.0128834109001659,0.0666718142063871,0.00808240032939445,0.0380154671926789
"11",11,"Pennsylvania",0.00935024086584058,0.048464707748991,0.04924510463308,0.00946614766282217,40.264378,-76.883598,2562.76477309485,0.409840209406136,12084587,271720,-7.65044670447105,-0.00288806035384398,17568.5,911,0.0123021496282565,0.0629962708343044,0.0124904719876398,0.064178741714052,0.0126841491699619,0.0654030930011089,0.0128834109001659,0.0666718142063871
"12",12,"Pennsylvania",0.00923685126816309,0.0477081753234998,0.048464707748991,0.00935024086584058,40.264378,-76.883598,2929.69422992458,0.41451646086242,12102155.5,271826,366.929456829726,0.00467625145628386,17568.5,106,0.00946614766282217,0.04924510463308,0.0123021496282565,0.0629962708343044,0.0124904719876398,0.064178741714052,0.0126841491699619,0.0654030930011089
"13",13,"Pennsylvania",0.00912589882918802,0.046974315022112,0.0477081753234998,0.00923685126816309,40.264378,-76.883598,2489.05369420954,0.404776434402852,12119724,272230,-440.64053571504,-0.00974002645956801,17568.5,404,0.00935024086584058,0.048464707748991,0.00946614766282217,0.04924510463308,0.0123021496282565,0.0629962708343044,0.0124904719876398,0.064178741714052
"14",14,"Pennsylvania",0.012179550836942,0.0877231678262973,0.046974315022112,0.00912589882918802,40.264378,-76.883598,2654.36987552576,0.413326304136572,12131305.5,272454,165.316181316225,0.00854986973372018,11581.5,224,0.00923685126816309,0.0477081753234998,0.00935024086584058,0.048464707748991,0.00946614766282217,0.04924510463308,0.0123021496282565,0.0629962708343044
"15",15,"Pennsylvania",0.0120101765158367,0.0858489366795325,0.0877231678262973,0.012179550836942,40.264378,-76.883598,2673.94487612377,0.41085114273072,12142887,272510,19.5750005980121,-0.00247516140585219,11581.5,56,0.00912589882918802,0.046974315022112,0.00923685126816309,0.0477081753234998,0.00935024086584058,0.048464707748991,0.00946614766282217,0.04924510463308
"16",16,"Pennsylvania",0.011845159373074,0.0840500552972543,0.0858489366795325,0.0120101765158367,40.264378,-76.883598,2989.01102561581,0.416257362467145,12154468.5,272435,315.06614949203,0.00540621973642563,11581.5,-75,0.012179550836942,0.0877231678262973,0.00912589882918802,0.046974315022112,0.00923685126816309,0.0477081753234998,0.00935024086584058,0.048464707748991
