"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"South_Dakota",0.0170652655006318,0.0450460765836951,0.0461107362384325,0.0174751988475261,44.367031,-100.346405,1719.30913467987,0.405873285938519,708235,25769,49.8585077250661,0.00347057300619452,2283,-50,0.0154017182570794,0.025349988059439,0.0157165721496835,0.0258335072046307,0.0160431827751832,0.0263322985511678,0.0163822122358113,0.0268475869772971
"8",8,"South_Dakota",0.0166719894176666,0.044023459340039,0.0450460765836951,0.0170652655006318,44.367031,-100.346405,1844.22989283875,0.401015409414915,710518,25554,124.920758158873,-0.00485787652360337,2283,-215,0.0174751988475261,0.0461107362384325,0.0154017182570794,0.025349988059439,0.0157165721496835,0.0258335072046307,0.0160431827751832,0.0263322985511678
"9",9,"South_Dakota",0.0162943926417451,0.043040330915538,0.044023459340039,0.0166719894176666,44.367031,-100.346405,1730.0038860776,0.39496998461001,712801,25252,-114.226006761145,-0.00604542480490478,2283,-302,0.0170652655006318,0.0450460765836951,0.0174751988475261,0.0461107362384325,0.0154017182570794,0.025349988059439,0.0157165721496835,0.0258335072046307
"10",10,"South_Dakota",0.0169887682270797,0.0351258138799224,0.043040330915538,0.0162943926417451,44.367031,-100.346405,1794.46939167898,0.41371031286859,715140.5,25306,64.4655056013767,0.0187403282585798,2339.5,54,0.0166719894176666,0.044023459340039,0.0170652655006318,0.0450460765836951,0.0174751988475261,0.0461107362384325,0.0154017182570794,0.025349988059439
"11",11,"South_Dakota",0.0165969234208703,0.0344023852812256,0.0351258138799224,0.0169887682270797,44.367031,-100.346405,1824.34176562413,0.415003437958782,717480,25388,29.8723739451511,0.00129312509019147,2339.5,82,0.0162943926417451,0.043040330915538,0.0166719894176666,0.044023459340039,0.0170652655006318,0.0450460765836951,0.0174751988475261,0.0461107362384325
"12",12,"South_Dakota",0.0162206900440172,0.0337076831121692,0.0344023852812256,0.0165969234208703,44.367031,-100.346405,2017.10162478232,0.411443887437522,719819.5,25285,192.759859158195,-0.00355955052125967,2339.5,-103,0.0169887682270797,0.0351258138799224,0.0162943926417451,0.043040330915538,0.0166719894176666,0.044023459340039,0.0170652655006318,0.0450460765836951
"13",13,"South_Dakota",0.0158591699729058,0.0330398905823444,0.0337076831121692,0.0162206900440172,44.367031,-100.346405,1791.21855297795,0.401843176733471,722159,24701,-225.883071804378,-0.009600710704051,2339.5,-584,0.0165969234208703,0.0344023852812256,0.0169887682270797,0.0351258138799224,0.0162943926417451,0.043040330915538,0.0166719894176666,0.044023459340039
"14",14,"South_Dakota",0.0158538320267816,0.0575407179556535,0.0330398905823444,0.0158591699729058,44.367031,-100.346405,1898.97136439272,0.42117991426633,724316.75,24882,107.752811414774,0.0193367375328589,2157.75,181,0.0162206900440172,0.0337076831121692,0.0165969234208703,0.0344023852812256,0.0169887682270797,0.0351258138799224,0.0162943926417451,0.043040330915538
"15",15,"South_Dakota",0.0155144137895142,0.0561059217476796,0.0575407179556535,0.0158538320267816,44.367031,-100.346405,1967.26009515819,0.424012588650164,726474.5,25019,68.288730765473,0.00283267438383383,2157.75,137,0.0158591699729058,0.0330398905823444,0.0162206900440172,0.0337076831121692,0.0165969234208703,0.0344023852812256,0.0169887682270797,0.0351258138799224
"16",16,"South_Dakota",0.0151875889908606,0.054736349917853,0.0561059217476796,0.0155144137895142,44.367031,-100.346405,2121.6808698764,0.424668274016145,728632.25,25023,154.42077471821,0.000655685365980985,2157.75,4,0.0158538320267816,0.0575407179556535,0.0158591699729058,0.0330398905823444,0.0162206900440172,0.0337076831121692,0.0165969234208703,0.0344023852812256
"17",17,"South_Dakota",0.0148726816155946,0.0534275819305279,0.054736349917853,0.0151875889908606,44.367031,-100.346405,1934.49575527853,0.41492448811104,730790,24684,-187.185114597868,-0.009743785905105,2157.75,-339,0.0155144137895142,0.0561059217476796,0.0158538320267816,0.0575407179556535,0.0158591699729058,0.0330398905823444,0.0162206900440172,0.0337076831121692
"18",18,"South_Dakota",0.00795227352117855,0.0367062268070981,0.0534275819305279,0.0148726816155946,44.367031,-100.346405,2007.51087928007,0.435544771658371,732573.75,24821,73.0151240015382,0.0206202835473315,1783.75,137,0.0151875889908606,0.054736349917853,0.0155144137895142,0.0561059217476796,0.0158538320267816,0.0575407179556535,0.0158591699729058,0.0330398905823444
"19",19,"South_Dakota",0.00785135627188893,0.0360094910676239,0.0367062268070981,0.00795227352117855,44.367031,-100.346405,2128.39590662586,0.43781854659799,734357.5,24896,120.885027345787,0.00227377493961872,1783.75,75,0.0148726816155946,0.0534275819305279,0.0151875889908606,0.054736349917853,0.0155144137895142,0.0561059217476796,0.0158538320267816,0.0575407179556535
"20",20,"South_Dakota",0.00775258538724444,0.0353369832329662,0.0360094910676239,0.00785135627188893,44.367031,-100.346405,2229.253463245,0.436267269811783,736141.25,25046,100.857556619136,-0.0015512767862067,1783.75,150,0.00795227352117855,0.0367062268070981,0.0148726816155946,0.0534275819305279,0.0151875889908606,0.054736349917853,0.0155144137895142,0.0561059217476796
"21",21,"South_Dakota",0.00765589532405464,0.0346874281539087,0.0353369832329662,0.00775258538724444,44.367031,-100.346405,2125.8902557848,0.42893699675893,737925,25122,-103.363207460194,-0.00733027305285328,1783.75,76,0.00785135627188893,0.0360094910676239,0.00795227352117855,0.0367062268070981,0.0148726816155946,0.0534275819305279,0.0151875889908606,0.054736349917853
"22",22,"South_Dakota",0.0172735442579519,0.0467015891529101,0.0346874281539087,0.00765589532405464,44.367031,-100.346405,2138.91738802729,0.445604425096899,738997,25281,13.0271322424837,0.0166674283379695,1072,159,0.00775258538724444,0.0353369832329662,0.00785135627188893,0.0360094910676239,0.00795227352117855,0.0367062268070981,0.0148726816155946,0.0534275819305279
"23",23,"South_Dakota",0.0169314502833835,0.045747737344584,0.0467015891529101,0.0172735442579519,44.367031,-100.346405,2210.53488796315,0.449220725815206,740069,25351,71.6174999358636,0.00361630071830615,1072,70,0.00765589532405464,0.0346874281539087,0.00775258538724444,0.0353369832329662,0.00785135627188893,0.0360094910676239,0.00795227352117855,0.0367062268070981
"24",24,"South_Dakota",0.0166017759455279,0.044830550353339,0.045747737344584,0.0169314502833835,44.367031,-100.346405,2342.21788836402,0.44589940825475,741141,25515,131.683000400873,-0.00332131756045595,1072,164,0.0172735442579519,0.0467015891529101,0.00765589532405464,0.0346874281539087,0.00775258538724444,0.0353369832329662,0.00785135627188893,0.0360094910676239
"25",25,"South_Dakota",0.0162838603210176,0.0439478361957839,0.044830550353339,0.0166017759455279,44.367031,-100.346405,2229.69796136689,0.435013938047434,742213,25530,-112.519926997137,-0.0108854702073157,1072,15,0.0169314502833835,0.045747737344584,0.0172735442579519,0.0467015891529101,0.00765589532405464,0.0346874281539087,0.00775258538724444,0.0353369832329662
"26",26,"South_Dakota",-0.00402965206201422,0.0605441201860302,0.0439478361957839,0.0162838603210176,44.367031,-100.346405,2273.87320717017,0.453064464118495,742715.5,25723,44.1752458032893,0.0180505260710611,502.5,193,0.0166017759455279,0.044830550353339,0.0169314502833835,0.045747737344584,0.0172735442579519,0.0467015891529101,0.00765589532405464,0.0346874281539087
"27",27,"South_Dakota",-0.00404047375708494,0.0585569617198942,0.0605441201860302,-0.00402965206201422,44.367031,-100.346405,2324.90421518316,0.454402790746905,743218,25702,51.0310080129884,0.00133832662841027,502.5,-21,0.0162838603210176,0.0439478361957839,0.0166017759455279,0.044830550353339,0.0169314502833835,0.045747737344584,0.0172735442579519,0.0467015891529101
"28",28,"South_Dakota",-0.00405137221829932,0.0566776707204966,0.0585569617198942,-0.00404047375708494,44.367031,-100.346405,2461.82002513041,0.450572941492581,743720.5,25803,136.915809947245,-0.00382984925432384,502.5,101,-0.00402965206201422,0.0605441201860302,0.0162838603210176,0.0439478361957839,0.0166017759455279,0.044830550353339,0.0169314502833835,0.045747737344584
"29",29,"South_Dakota",-0.00406234821812212,0.0548966065113561,0.0566776707204966,-0.00405137221829932,44.367031,-100.346405,2321.77490617732,0.438349795692958,744223,25543,-140.045118953093,-0.0122231457996237,502.5,-260,-0.00404047375708494,0.0585569617198942,-0.00402965206201422,0.0605441201860302,0.0162838603210176,0.0439478361957839,0.0166017759455279,0.044830550353339
"30",30,"South_Dakota",0.014522531439578,0.0351996266075219,0.0548966065113561,-0.00406234821812212,44.367031,-100.346405,2385.27216089289,0.460676434373923,744681.75,25581,63.4972547155762,0.0223266386809656,458.75,38,-0.00405137221829932,0.0566776707204966,-0.00404047375708494,0.0585569617198942,-0.00402965206201422,0.0605441201860302,0.0162838603210176,0.0439478361957839
"31",31,"South_Dakota",0.014297142602631,0.0345055593044137,0.0351996266075219,0.014522531439578,44.367031,-100.346405,2491.07052294165,0.463642315330688,745140.5,25914,105.798362048755,0.00296588095676492,458.75,333,-0.00406234821812212,0.0548966065113561,-0.00405137221829932,0.0566776707204966,-0.00404047375708494,0.0585569617198942,-0.00402965206201422,0.0605441201860302
"32",32,"South_Dakota",0.014078388356916,0.0338352115298974,0.0345055593044137,0.014297142602631,44.367031,-100.346405,2667.37332286748,0.459613302096714,745599.25,26022,176.302799925832,-0.00402901323397425,458.75,108,0.014522531439578,0.0351996266075219,-0.00406234821812212,0.0548966065113561,-0.00405137221829932,0.0566776707204966,-0.00404047375708494,0.0585569617198942
"33",33,"South_Dakota",0.0138659804395349,0.0331872482661737,0.0338352115298974,0.014078388356916,44.367031,-100.346405,2469.48495291251,0.447014843349981,746058,25888,-197.888369954971,-0.0125984587467331,458.75,-134,0.014297142602631,0.0345055593044137,0.014522531439578,0.0351996266075219,-0.00406234821812212,0.0548966065113561,-0.00405137221829932,0.0566776707204966
"34",34,"South_Dakota",0.00913608066178639,0.0428561315924298,0.0331872482661737,0.0138659804395349,44.367031,-100.346405,2568.75495501886,0.468045200416964,747146.5,26247,99.2700021063538,0.0210303570669834,1088.5,359,0.014078388356916,0.0338352115298974,0.014297142602631,0.0345055593044137,0.014522531439578,0.0351996266075219,-0.00406234821812212,0.0548966065113561
"35",35,"South_Dakota",0.00902714542952232,0.0420600613007096,0.0428561315924298,0.00913608066178639,44.367031,-100.346405,2613.90191584195,0.469524503219799,748235,26221,45.1469608230864,0.00147930280283531,1088.5,-26,0.0138659804395349,0.0331872482661737,0.014078388356916,0.0338352115298974,0.014297142602631,0.0345055593044137,0.014522531439578,0.0351996266075219
"36",36,"South_Dakota",0.008920508340168,0.041292177229117,0.0420600613007096,0.00902714542952232,44.367031,-100.346405,2882.4346934268,0.465837518775269,749323.5,26370,268.532777584856,-0.00368698444453086,1088.5,149,0.00913608066178639,0.0428561315924298,0.0138659804395349,0.0331872482661737,0.014078388356916,0.0338352115298974,0.014297142602631,0.0345055593044137
"37",37,"South_Dakota",0.0088160984387553,0.0405509369998427,0.041292177229117,0.008920508340168,44.367031,-100.346405,2580.66228418522,0.455145528944988,750412,26426,-301.772409241583,-0.0106919898302802,1088.5,56,0.00902714542952232,0.0420600613007096,0.00913608066178639,0.0428561315924298,0.0138659804395349,0.0331872482661737,0.014078388356916,0.0338352115298974
"38",38,"South_Dakota",0.0208870792148215,0.014048090905348,0.0405509369998427,0.0088160984387553,44.367031,-100.346405,2743.15840882185,0.478650385091185,751770,26492,162.496124636626,0.0235048561461964,1358,66,0.008920508340168,0.041292177229117,0.00902714542952232,0.0420600613007096,0.00913608066178639,0.0428561315924298,0.0138659804395349,0.0331872482661737
"39",39,"South_Dakota",0.0203866834689457,0.0136794957002664,0.014048090905348,0.0208870792148215,44.367031,-100.346405,2815.5101536525,0.478784040251679,753128,26654,72.3517448306529,0.000133655160494406,1358,162,0.0088160984387553,0.0405509369998427,0.008920508340168,0.041292177229117,0.00902714542952232,0.0420600613007096,0.00913608066178639,0.0428561315924298
"40",40,"South_Dakota",0.0199081462754034,0.0133253334702985,0.0136794957002664,0.0203866834689457,44.367031,-100.346405,3107.3064894511,0.47782287102301,754486,26760,291.796335798597,-0.00096116922866929,1358,106,0.0208870792148215,0.014048090905348,0.0088160984387553,0.0405509369998427,0.008920508340168,0.041292177229117,0.00902714542952232,0.0420600613007096
"41",41,"South_Dakota",0.0194500734088265,0.0129844655217539,0.0133253334702985,0.0199081462754034,44.367031,-100.346405,2895.27987918142,0.468609042783079,755844,26779,-212.026610269678,-0.00921382823993122,1358,19,0.0203866834689457,0.0136794957002664,0.0208870792148215,0.014048090905348,0.0088160984387553,0.0405509369998427,0.008920508340168,0.041292177229117
"42",42,"South_Dakota",0.00748447867006341,0.0227045178564467,0.0129844655217539,0.0194500734088265,44.367031,-100.346405,2908.84277793055,0.489144728723986,756376,26909,13.5628987491345,0.0205356859409069,532,130,0.0199081462754034,0.0133253334702985,0.0203866834689457,0.0136794957002664,0.0208870792148215,0.014048090905348,0.0088160984387553,0.0405509369998427
"43",43,"South_Dakota",0.0074184728653357,0.0224046129050279,0.0227045178564467,0.00748447867006341,44.367031,-100.346405,2977.00783846914,0.486973317761207,756908,27125,68.1650605385871,-0.00217141096277818,532,216,0.0194500734088265,0.0129844655217539,0.0199081462754034,0.0133253334702985,0.0203866834689457,0.0136794957002664,0.0208870792148215,0.014048090905348
"44",44,"South_Dakota",0.00735353785342419,0.0221125352350597,0.0224046129050279,0.0074184728653357,44.367031,-100.346405,3144.00969449725,0.480819162793973,757440,27271,167.001856028114,-0.00615415496723476,532,146,0.00748447867006341,0.0227045178564467,0.0194500734088265,0.0129844655217539,0.0199081462754034,0.0133253334702985,0.0203866834689457,0.0136794957002664
"45",45,"South_Dakota",0.00728964794612708,0.0218279464871216,0.0221125352350597,0.00735353785342419,44.367031,-100.346405,2959.4514348815,0.469541530997627,757972,27166,-184.558259615754,-0.0112776317963457,532,-105,0.0074184728653357,0.0224046129050279,0.00748447867006341,0.0227045178564467,0.0194500734088265,0.0129844655217539,0.0199081462754034,0.0133253334702985
"46",46,"South_Dakota",0.0107855292629644,0.031470758792338,0.0218279464871216,0.00728964794612708,44.367031,-100.346405,3032.56403431055,0.487579171083372,758484,27382,73.112599429046,0.0180376400857445,512,216,0.00735353785342419,0.0221125352350597,0.0074184728653357,0.0224046129050279,0.00748447867006341,0.0227045178564467,0.0194500734088265,0.0129844655217539
"47",47,"South_Dakota",0.0106561221937742,0.0310258711053706,0.031470758792338,0.0107855292629644,44.367031,-100.346405,3062.91227753506,0.486873448608425,758996,27414,30.3482432245137,-0.000705722474946768,512,32,0.00728964794612708,0.0218279464871216,0.00735353785342419,0.0221125352350597,0.0074184728653357,0.0224046129050279,0.00748447867006341,0.0227045178564467
"48",48,"South_Dakota",0.0105296245289868,0.0305924431464675,0.0310258711053706,0.0106561221937742,44.367031,-100.346405,3250.7138147327,0.478738428912752,759508,27497,187.801537197636,-0.00813501969567249,512,83,0.0107855292629644,0.031470758792338,0.00728964794612708,0.0218279464871216,0.00735353785342419,0.0221125352350597,0.0074184728653357,0.0224046129050279
"49",49,"South_Dakota",0.0104059395392309,0.0301700241525964,0.0305924431464675,0.0105296245289868,44.367031,-100.346405,2998.69143969896,0.462927291387069,760020,27430,-252.02237503374,-0.0158111375256835,512,-67,0.0106561221937742,0.0310258711053706,0.0107855292629644,0.031470758792338,0.00728964794612708,0.0218279464871216,0.00735353785342419,0.0221125352350597
