"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Texas",0.00903369212069727,0.0360609020398144,0.0369475411122977,0.0092112507683062,30.27467,-97.740349,2353.69570640527,0.401830591533326,17578871.5,384701,12.9773864031981,-0.00339535824523651,90433.25,3322,0.00442149215708376,0.0235274738820799,0.00448521362927323,0.0239884491096412,0.0045503687144226,0.0244652293302288,0.00461700206794369,0.0249590768268391
"8",8,"Texas",0.00886157666974441,0.0352076051388686,0.0360609020398144,0.00903369212069727,30.27467,-97.740349,2564.77053490178,0.402574470282992,17669304.75,383751,211.074828496505,0.000743878749665305,90433.25,-950,0.0092112507683062,0.0369475411122977,0.00442149215708376,0.0235274738820799,0.00448521362927323,0.0239884491096412,0.0045503687144226,0.0244652293302288
"9",9,"Texas",0.0086946719021963,0.0343855702354574,0.0352076051388686,0.00886157666974441,30.27467,-97.740349,2385.89738790065,0.395541439481446,17759738,385690,-178.873147001122,-0.00703303080154594,90433.25,1939,0.00903369212069727,0.0360609020398144,0.0092112507683062,0.0369475411122977,0.00442149215708376,0.0235274738820799,0.00448521362927323,0.0239884491096412
"10",10,"Texas",0.0106601356412952,0.0325292294498603,0.0343855702354574,0.0086946719021963,30.27467,-97.740349,2403.44017814128,0.400197071256334,17860206.5,386252,17.5427902406227,0.00465563177488781,100468.5,562,0.00886157666974441,0.0352076051388686,0.00903369212069727,0.0360609020398144,0.0092112507683062,0.0369475411122977,0.00442149215708376,0.0235274738820799
"11",11,"Texas",0.0104303045122123,0.0318684483149099,0.0325292294498603,0.0106601356412952,30.27467,-97.740349,2429.20375559382,0.397421366401875,17960675,381799,25.7635774525406,-0.00277570485445844,100468.5,-4453,0.0086946719021963,0.0343855702354574,0.00886157666974441,0.0352076051388686,0.00903369212069727,0.0360609020398144,0.0092112507683062,0.0369475411122977
"12",12,"Texas",0.0102083763049308,0.0312337307896549,0.0318684483149099,0.0104303045122123,30.27467,-97.740349,2787.83064831969,0.402924912626195,18061143.5,392021,358.626892725874,0.00550354622431964,100468.5,10222,0.0106601356412952,0.0325292294498603,0.0086946719021963,0.0343855702354574,0.00886157666974441,0.0352076051388686,0.00903369212069727,0.0360609020398144
"13",13,"Texas",0.00999397194701501,0.0306234334112716,0.0312337307896549,0.0102083763049308,30.27467,-97.740349,2382.57728862394,0.396393301064538,18161612,399598,-405.253359695753,-0.00653161156165644,100468.5,7577,0.0104303045122123,0.0318684483149099,0.0106601356412952,0.0325292294498603,0.0086946719021963,0.0343855702354574,0.00886157666974441,0.0352076051388686
"14",14,"Texas",0.0124610034782044,0.0506560583448561,0.0306234334112716,0.00999397194701501,30.27467,-97.740349,2495.66782502318,0.402429360855428,18262224.5,403272,113.090536399239,0.00603605979088934,100612.5,3674,0.0102083763049308,0.0312337307896549,0.0104303045122123,0.0318684483149099,0.0106601356412952,0.0325292294498603,0.0086946719021963,0.0343855702354574
"15",15,"Texas",0.0121735831634773,0.0494141625714448,0.0506560583448561,0.0124610034782044,30.27467,-97.740349,2529.53456157129,0.402426542260327,18362837,405716,33.8667365481083,-2.81859510053994e-06,100612.5,2444,0.00999397194701501,0.0306234334112716,0.0102083763049308,0.0312337307896549,0.0104303045122123,0.0318684483149099,0.0106601356412952,0.0325292294498603
"16",16,"Texas",0.0118968654648057,0.0482285759117502,0.0494141625714448,0.0121735831634773,30.27467,-97.740349,2850.68002341599,0.406078705209807,18463449.5,404566,321.145461844706,0.00365216294948023,100612.5,-1150,0.0124610034782044,0.0506560583448561,0.00999397194701501,0.0306234334112716,0.0102083763049308,0.0312337307896549,0.0104303045122123,0.0318684483149099
