"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"West_Virginia",0.0100663471898415,0.0664479031244767,0.067862399769723,0.0101906315973146,38.336246,-81.612328,1743.77278897677,0.335998383070018,1802593,42726,-64.6176953112497,0.00142236000297186,1929,139,0.0107043396885658,0.0350103026547259,0.0108389056905818,0.0355905658753741,0.0109766741295658,0.0361881037309715,0.0111177601502703,0.0368040138023389
"8",8,"West_Virginia",0.00994482349548953,0.0650851862720074,0.0664479031244767,0.0100663471898415,38.336246,-81.612328,1886.3066479655,0.336185427498252,1804522,42836,142.533858988731,0.000187044428233363,1929,110,0.0101906315973146,0.067862399769723,0.0107043396885658,0.0350103026547259,0.0108389056905818,0.0355905658753741,0.0109766741295658,0.0361881037309715
"9",9,"West_Virginia",0.0098259702103789,0.0637712800959633,0.0650851862720074,0.00994482349548953,38.336246,-81.612328,1785.284626043,0.328813236561634,1806451,43199,-101.022021922502,-0.00737219093661773,1929,363,0.0100663471898415,0.0664479031244767,0.0101906315973146,0.067862399769723,0.0107043396885658,0.0350103026547259,0.0108389056905818,0.0355905658753741
"10",10,"West_Virginia",0.0104872002566125,0.0483182644455482,0.0637712800959633,0.0098259702103789,38.336246,-81.612328,1880.97096101476,0.340117829587619,1809223,43110,95.686334971758,0.0113045930259847,2772,-89,0.00994482349548953,0.0650851862720074,0.0100663471898415,0.0664479031244767,0.0101906315973146,0.067862399769723,0.0107043396885658,0.0350103026547259
"11",11,"West_Virginia",0.0103467693017514,0.0475002673886706,0.0483182644455482,0.0104872002566125,38.336246,-81.612328,1792.25807466356,0.340331513056051,1811995,43519,-88.7128863511946,0.000213683468432924,2772,409,0.0098259702103789,0.0637712800959633,0.00994482349548953,0.0650851862720074,0.0100663471898415,0.0664479031244767,0.0101906315973146,0.067862399769723
"12",12,"West_Virginia",0.0102096832063143,0.0467087786481812,0.0475002673886706,0.0103467693017514,38.336246,-81.612328,2032.88832009839,0.341897150800443,1814767,43500,240.630245434831,0.00156563774439106,2772,-19,0.0104872002566125,0.0483182644455482,0.0098259702103789,0.0637712800959633,0.00994482349548953,0.0650851862720074,0.0100663471898415,0.0664479031244767
"13",13,"West_Virginia",0.0100758253268634,0.0459424159182191,0.0467087786481812,0.0102096832063143,38.336246,-81.612328,1798.49850814756,0.333300505060231,1817539,43261,-234.389811950837,-0.00859664574021179,2772,-239,0.0103467693017514,0.0475002673886706,0.0104872002566125,0.0483182644455482,0.0098259702103789,0.0637712800959633,0.00994482349548953,0.0650851862720074
"14",14,"West_Virginia",0.0206395920744917,0.0818250142133081,0.0459424159182191,0.0100758253268634,38.336246,-81.612328,1963.3134417832,0.343650067550864,1818259.5,43858,164.814933635644,0.0103495624906332,720.5,597,0.0102096832063143,0.0467087786481812,0.0103467693017514,0.0475002673886706,0.0104872002566125,0.0483182644455482,0.0098259702103789,0.0637712800959633
"15",15,"West_Virginia",0.02020634030346,0.0800020883655606,0.0818250142133081,0.0206395920744917,38.336246,-81.612328,1854.01659611431,0.347020857843407,1818980,44124,-109.296845668894,0.00337079029254284,720.5,266,0.0100758253268634,0.0459424159182191,0.0102096832063143,0.0467087786481812,0.0103467693017514,0.0475002673886706,0.0104872002566125,0.0483182644455482
"16",16,"West_Virginia",0.0197905877425963,0.0782550873775349,0.0800020883655606,0.02020634030346,38.336246,-81.612328,2072.93701848189,0.349585916290437,1819700.5,44002,218.920422367582,0.00256505844703042,720.5,-122,0.0206395920744917,0.0818250142133081,0.0100758253268634,0.0459424159182191,0.0102096832063143,0.0467087786481812,0.0103467693017514,0.0475002673886706
