"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"7",7,"Wyoming",8.49386227290694e-05,0.0490827347477634,0.0503362263402209,8.5592401696033e-05,41.140259,-104.820236,2189.4701305549,0.43720207899564,462755.5,17803,-0.0435945397389332,0.00785065630625231,1747.75,-126,0.00221715968824121,0.02978939945109,0.00223565874978782,0.030433430537407,0.0022543959617245,0.0311013103198121,0.00227337552324691,0.0317950095901125
"8",8,"Wyoming",8.42923061874501e-05,0.0478819996324802,0.0490827347477634,8.49386227290694e-05,41.140259,-104.820236,2299.72265640768,0.421632500239055,464503.25,17885,110.252525852774,-0.0155695787565848,1747.75,82,8.5592401696033e-05,0.0503362263402209,0.00221715968824121,0.02978939945109,0.00223565874978782,0.030433430537407,0.0022543959617245,0.0311013103198121
"9",9,"Wyoming",8.36533389279026e-05,0.0467306744443476,0.0478819996324802,8.42923061874501e-05,41.140259,-104.820236,2092.48376947181,0.403267052867804,466251,18085,-207.238886935871,-0.0183654473712503,1747.75,200,8.49386227290694e-05,0.0490827347477634,8.5592401696033e-05,0.0503362263402209,0.00221715968824121,0.02978939945109,0.00223565874978782,0.030433430537407
"10",10,"Wyoming",0.00788700573949086,0.044554195480444,0.0467306744443476,8.36533389279026e-05,41.140259,-104.820236,2247.52777650155,0.427594184811972,467958.5,18213,155.044007029741,0.0243271319441679,1707.5,128,8.42923061874501e-05,0.0478819996324802,8.49386227290694e-05,0.0490827347477634,8.5592401696033e-05,0.0503362263402209,0.00221715968824121,0.02978939945109
"11",11,"Wyoming",0.00776860913514454,0.0434461336927043,0.044554195480444,0.00788700573949086,41.140259,-104.820236,2218.41742642644,0.434686209632661,469666,18144,-29.1103500751096,0.0070920248206886,1707.5,-69,8.36533389279026e-05,0.0467306744443476,8.42923061874501e-05,0.0478819996324802,8.49386227290694e-05,0.0490827347477634,8.5592401696033e-05,0.0503362263402209
"12",12,"Wyoming",0.00765308789625152,0.0423884491562205,0.0434461336927043,0.00776860913514454,41.140259,-104.820236,2398.0017586903,0.422360753556716,471373.5,18298,179.584332263856,-0.0123254560759449,1707.5,154,0.00788700573949086,0.044554195480444,8.36533389279026e-05,0.0467306744443476,8.42923061874501e-05,0.0478819996324802,8.49386227290694e-05,0.0490827347477634
"13",13,"Wyoming",0.00754034359933264,0.041377694634555,0.0423884491562205,0.00765308789625152,41.140259,-104.820236,2109.63589321913,0.403825137767105,473081,18116,-288.365865471164,-0.0185356157896105,1707.5,-182,0.00776860913514454,0.0434461336927043,0.00788700573949086,0.044554195480444,8.36533389279026e-05,0.0467306744443476,8.42923061874501e-05,0.0478819996324802
"14",14,"Wyoming",0.00124622132101493,0.0615145980586789,0.041377694634555,0.00754034359933264,41.140259,-104.820236,2314.28514060876,0.431224772215103,474881.5,17417,204.649247389631,0.027399634447998,1800.5,-699,0.00765308789625152,0.0423884491562205,0.00776860913514454,0.0434461336927043,0.00788700573949086,0.044554195480444,8.36533389279026e-05,0.0467306744443476
"15",15,"Wyoming",0.0012352733762544,0.0598878748253568,0.0615145980586789,0.00124622132101493,41.140259,-104.820236,2343.92452620405,0.442303953858827,476682,17661,29.6393855952897,0.0110791816437235,1800.5,244,0.00754034359933264,0.041377694634555,0.00765308789625152,0.0423884491562205,0.00776860913514454,0.0434461336927043,0.00788700573949086,0.044554195480444
"16",16,"Wyoming",0.00122446999584547,0.0583380474147717,0.0598878748253568,0.0012352733762544,41.140259,-104.820236,2488.39049495018,0.42810970098175,478482.5,17745,144.465968746129,-0.0141942528770773,1800.5,84,0.00124622132101493,0.0615145980586789,0.00754034359933264,0.041377694634555,0.00765308789625152,0.0423884491562205,0.00776860913514454,0.0434461336927043
