"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"8",8,"Colorado",1.44292803004031,3.76683414273415,3.85572748368617,1.4875589020944,39.739227,-104.984856,2834.4194495744,0.44670735778529,3468734,103401,172.345194045665,0.0331445353631776,27205,1037,1.53446552623766,3.9483152297926,0.734985413601486,2.71312554470455,0.749253180501341,2.77339747734331,0.76396213282468,2.83611677317879
"9",9,"Colorado",1.40041974326888,3.68140581107568,3.76683414273415,1.44292803004031,39.739227,-104.984856,2720.3041654903,0.438955122882102,3495939,102672,-307.501641099926,-0.882443072025574,27205,-729,1.4875589020944,3.85572748368617,1.53446552623766,3.9483152297926,0.734985413601486,2.71312554470455,0.749253180501341,2.77339747734331
"10",10,"Colorado",1.52610094922849,4.0372003618387,3.68140581107568,1.40041974326888,39.739227,-104.984856,2696.02457772198,0.445624456487091,3525387.75,104171,89.8356963157771,1.44215685081771,29448.75,1499,1.44292803004031,3.76683414273415,1.4875589020944,3.85572748368617,1.53446552623766,3.9483152297926,0.734985413601486,2.71312554470455
"11",11,"Colorado",1.47843917244312,3.9471081054927,4.0372003618387,1.52610094922849,39.739227,-104.984856,2747.7984039491,0.448804701238252,3554836.5,105630,76.0534139954352,-0.348908885382859,29448.75,1459,1.40041974326888,3.68140581107568,1.44292803004031,3.76683414273415,1.4875589020944,3.85572748368617,1.53446552623766,3.9483152297926
"12",12,"Colorado",1.4331301519583,3.86090595078556,3.9471081054927,1.47843917244312,39.739227,-104.984856,3043.00414455016,0.449402755170411,3584285.25,107335,243.431914373944,-0.25821908190013,29448.75,1705,1.52610094922849,4.0372003618387,1.40041974326888,3.68140581107568,1.44292803004031,3.76683414273415,1.4875589020944,3.85572748368617
"13",13,"Colorado",1.39001320040606,3.77832700078358,3.86090595078556,1.4331301519583,39.739227,-104.984856,2741.78400208759,0.44344437083637,3613734,107619,-596.425883063627,-0.655643826620034,29448.75,284,1.47843917244312,3.9471081054927,1.52610094922849,4.0372003618387,1.40041974326888,3.68140581107568,1.44292803004031,3.76683414273415
"14",14,"Colorado",1.52496549856238,5.24858819996155,3.77832700078358,1.39001320040606,39.739227,-104.984856,2809.00769757308,0.45118460201606,3641342.5,107463,368.443837948054,1.36986155137311,27608.5,-156,1.4331301519583,3.86090595078556,1.47843917244312,3.9471081054927,1.52610094922849,4.0372003618387,1.40041974326888,3.68140581107568
"15",15,"Colorado",1.47961988941532,5.11260172545462,5.24858819996155,1.52496549856238,39.739227,-104.984856,2899.84056096688,0.455103379685365,3668951,109866,23.6091679083147,-0.382145351038549,27608.5,2403,1.39001320040606,3.77832700078358,1.4331301519583,3.86090595078556,1.47843917244312,3.9471081054927,1.52610094922849,4.0372003618387
"16",16,"Colorado",1.43642221327553,4.98313157927726,5.11260172545462,1.47961988941532,39.739227,-104.984856,3194.13769398274,0.456477435301664,3696559.5,110890,203.464269622059,-0.254472205300615,27608.5,1024,1.52496549856238,5.24858819996155,1.39001320040606,3.77832700078358,1.4331301519583,3.86090595078556,1.47843917244312,3.9471081054927
"17",17,"Colorado",1.39523099131367,4.85970861422729,4.98313157927726,1.43642221327553,39.739227,-104.984856,2888.52177399086,0.449513466273988,3724168,112594,-599.913053007743,-0.833802464397376,27608.5,1704,1.47961988941532,5.11260172545462,1.52496549856238,5.24858819996155,1.39001320040606,3.77832700078358,1.4331301519583,3.86090595078556
