"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"8",8,"Louisiana",-1.62002359344946,5.19763918348701,5.30895572898658,-1.60156476659541,30.457069,-91.187393,2136.66700839958,0.369957357709607,4283072,94815,230.004738149361,0.382628042062177,9931,-158,-1.58362159989416,5.42473989811683,0.0388969075501677,3.24577624214015,0.0390578377594153,3.30427660942973,0.0392197717740572,3.36461175390639
"9",9,"Louisiana",-1.63901973016358,5.09053146076113,5.19763918348701,-1.62002359344946,30.457069,-91.187393,1949.99187212308,0.361774263842816,4293003,95791,-395.564134074508,-1.07556636651161,9931,976,-1.60156476659541,5.30895572898658,-1.58362159989416,5.42473989811683,0.0388969075501677,3.24577624214015,0.0390578377594153,3.30427660942973
"10",10,"Louisiana",1.22308462067195,4.08706895125093,5.09053146076113,-1.63901973016358,30.457069,-91.187393,2014.69244939806,0.369277500769536,4298859.25,96322,251.375713551476,1.56863307935104,5856.25,531,-1.62002359344946,5.19763918348701,-1.60156476659541,5.30895572898658,-1.58362159989416,5.42473989811683,0.0388969075501677,3.24577624214015
"11",11,"Louisiana",1.20503794183797,4.00716165329982,4.08706895125093,1.22308462067195,30.457069,-91.187393,1977.06399249846,0.366763610742684,4304715.5,94795,-102.329034174578,-1.00171269535708,5856.25,-1527,-1.63901973016358,5.09053146076113,-1.62002359344946,5.19763918348701,-1.60156476659541,5.30895572898658,-1.58362159989416,5.42473989811683
"12",12,"Louisiana",1.1874733528261,3.9301832038781,4.00716165329982,1.20503794183797,30.457069,-91.187393,2272.32903871743,0.372828809387834,4310571.75,95126,332.893503118568,0.857908867200108,5856.25,331,1.22308462067195,4.08706895125093,-1.63901973016358,5.09053146076113,-1.62002359344946,5.19763918348701,-1.60156476659541,5.30895572898658
"13",13,"Louisiana",1.1703719448219,3.85596517954596,3.9301832038781,1.1874733528261,30.457069,-91.187393,1955.8515944202,0.365775899269797,4316428,95061,-611.742490516195,-1.31181087631868,5856.25,-65,1.20503794183797,4.00716165329982,1.22308462067195,4.08706895125093,-1.63901973016358,5.09053146076113,-1.62002359344946,5.19763918348701
"14",14,"Louisiana",2.2046586213726,6.35151396860394,3.85596517954596,1.1703719448219,30.457069,-91.187393,2084.96930726642,0.373680280676762,4324191.25,96911,445.595157143442,1.49572915250017,7763.25,1850,1.1874733528261,3.9301832038781,1.20503794183797,4.00716165329982,1.22308462067195,4.08706895125093,-1.63901973016358,5.09053146076113
"15",15,"Louisiana",2.14945111051286,6.20032459273077,6.35151396860394,2.2046586213726,30.457069,-91.187393,2080.03715920839,0.373477914722635,4331954.5,97828,-134.049860904243,-0.810674736109268,7763.25,917,1.1703719448219,3.85596517954596,1.1874733528261,3.9301832038781,1.20503794183797,4.00716165329982,1.22308462067195,4.08706895125093
"16",16,"Louisiana",2.09677018767884,6.05570499175343,6.20032459273077,2.14945111051286,30.457069,-91.187393,2327.11575977493,0.379620617800163,4339717.75,97955,252.010748624567,0.63450690316561,7763.25,127,2.2046586213726,6.35151396860394,1.1703719448219,3.85596517954596,1.1874733528261,3.9301832038781,1.20503794183797,4.00716165329982
"17",17,"Louisiana",2.04644709707775,5.91722893438202,6.05570499175343,2.09677018767884,30.457069,-91.187393,2124.05929801648,0.375857038439808,4347481,99980,-450.135062324987,-0.990628243788372,7763.25,2025,2.14945111051286,6.20032459273077,2.2046586213726,6.35151396860394,1.1703719448219,3.85596517954596,1.1874733528261,3.9301832038781
"18",18,"Louisiana",1.64818769150852,4.2617733077428,5.91722893438202,2.04644709707775,30.457069,-91.187393,2149.18229777452,0.382132397677576,4355305.5,102741,228.179461516482,1.00389385981236,7824.5,2761,2.09677018767884,6.05570499175343,2.14945111051286,6.20032459273077,2.2046586213726,6.35151396860394,1.1703719448219,3.85596517954596
"19",19,"Louisiana",1.61569347172339,4.18342799326084,4.2617733077428,1.64818769150852,30.457069,-91.187393,2236.58628484597,0.385616365621316,4363130,103174,62.2809873134165,-0.279139129402789,7824.5,433,2.04644709707775,5.91722893438202,2.09677018767884,6.05570499175343,2.14945111051286,6.20032459273077,2.2046586213726,6.35151396860394
"20",20,"Louisiana",1.58435562969785,4.10770014405628,4.18342799326084,1.61569347172339,30.457069,-91.187393,2382.8853347707,0.391477879717119,4370954.5,103284,58.895062853278,0.237754615206248,7824.5,110,1.64818769150852,4.2617733077428,2.04644709707775,5.91722893438202,2.09677018767884,6.05570499175343,2.14945111051286,6.20032459273077
"21",21,"Louisiana",1.55411398795344,4.03445796288224,4.10770014405628,1.58435562969785,30.457069,-91.187393,2267.79139047666,0.385823232153682,4378779,102961,-261.39299421877,-1.151616165924,7824.5,-323,1.61569347172339,4.18342799326084,1.64818769150852,4.2617733077428,2.04644709707775,5.91722893438202,2.09677018767884,6.05570499175343
"22",22,"Louisiana",1.19037577849355,4.76890290907406,4.03445796288224,1.55411398795344,30.457069,-91.187393,2288.76851802322,0.392351223467627,4383803.5,104184,136.071071840599,1.21826388773827,5024.5,1223,1.58435562969785,4.10770014405628,1.61569347172339,4.18342799326084,1.64818769150852,4.2617733077428,2.04644709707775,5.91722893438202
"23",23,"Louisiana",1.17369459534515,4.6785049152021,4.76890290907406,1.19037577849355,30.457069,-91.187393,2331.55342861466,0.394335496097516,4388828,105680,21.8077830448779,-0.454371868405729,5024.5,1496,1.55411398795344,4.03445796288224,1.58435562969785,4.10770014405628,1.61569347172339,4.18342799326084,1.64818769150852,4.2617733077428
"24",24,"Louisiana",1.1574407872402,4.59136679451291,4.6785049152021,1.17369459534515,30.457069,-91.187393,2500.74029749519,0.397277787545212,4393852.5,104097,126.401958289102,0.0958018817808604,5024.5,-1583,1.19037577849355,4.76890290907406,1.55411398795344,4.03445796288224,1.58435562969785,4.10770014405628,1.61569347172339,4.18342799326084
"25",25,"Louisiana",1.14159824120357,4.50730395251639,4.59136679451291,1.1574407872402,30.457069,-91.187393,2371.81204111868,0.391461881445348,4398877,105683,-298.115125257056,-0.875819754756146,5024.5,1586,1.17369459534515,4.6785049152021,1.19037577849355,4.76890290907406,1.55411398795344,4.03445796288224,1.58435562969785,4.10770014405628
"26",26,"Louisiana",-0.299806726052232,5.85805516687401,4.50730395251639,1.14159824120357,30.457069,-91.187393,2397.87462700868,0.400086080087706,4404425.5,106519,154.990842266517,1.44401047422227,5548.5,836,1.1574407872402,4.59136679451291,1.17369459534515,4.6785049152021,1.19037577849355,4.76890290907406,1.55411398795344,4.03445796288224
"27",27,"Louisiana",-0.299950449713648,5.68928229114292,5.85805516687401,-0.299806726052232,30.457069,-91.187393,2395.83277701864,0.39922011633931,4409974,106598,-28.104435880035,-0.949016239075356,5548.5,79,1.14159824120357,4.50730395251639,1.1574407872402,4.59136679451291,1.17369459534515,4.6785049152021,1.19037577849355,4.76890290907406
"28",28,"Louisiana",-0.300095627056862,5.5292080334624,5.68928229114292,-0.299950449713648,30.457069,-91.187393,2631.75080570872,0.404126502960106,4415522.5,107004,237.95987868012,0.577235036919166,5548.5,406,-0.299806726052232,5.85805516687401,1.14159824120357,4.50730395251639,1.1574407872402,4.59136679451291,1.17369459534515,4.6785049152021
"29",29,"Louisiana",-0.300242262104433,5.37711268509327,5.5292080334624,-0.300095627056862,30.457069,-91.187393,2505.38763955612,0.397813561465084,4421071,107528,-362.281194842692,-1.12193281158187,5548.5,524,-0.299950449713648,5.68928229114292,-0.299806726052232,5.85805516687401,1.14159824120357,4.50730395251639,1.1574407872402,4.59136679451291
"30",30,"Louisiana",0.421737754199292,3.91820213439331,5.37711268509327,-0.300242262104433,30.457069,-91.187393,2527.08848735878,0.406783262067994,4425889.25,107521,148.064013955275,1.52826420979325,4818.25,-7,-0.300095627056862,5.5292080334624,-0.299950449713648,5.68928229114292,-0.299806726052232,5.85805516687401,1.14159824120357,4.50730395251639
"31",31,"Louisiana",0.419055105088262,3.84719987730193,3.91820213439331,0.421737754199292,30.457069,-91.187393,2556.13145801207,0.404447446222377,4430707.5,108691,7.34212285061676,-1.13055164485265,4818.25,1170,-0.300242262104433,5.37711268509327,-0.300095627056862,5.5292080334624,-0.299950449713648,5.68928229114292,-0.299806726052232,5.85805516687401
"32",32,"Louisiana",0.416401615725626,3.77849841680629,3.84719987730193,0.419055105088262,30.457069,-91.187393,2881.9177985834,0.413207911899358,4435525.75,109484,296.743369918053,1.10962815225973,4818.25,793,0.421737754199292,3.91820213439331,-0.300242262104433,5.37711268509327,-0.300095627056862,5.5292080334624,-0.299950449713648,5.68928229114292
"33",33,"Louisiana",0.413776825965506,3.71197612587082,3.77849841680629,0.416401615725626,30.457069,-91.187393,2664.60411085267,0.407434499068841,4440344,110762,-543.100028302067,-1.45338785074977,4818.25,1278,0.419055105088262,3.84719987730193,0.421737754199292,3.91820213439331,-0.300242262104433,5.37711268509327,-0.300095627056862,5.5292080334624
"34",34,"Louisiana",1.09415942531417,4.63510029964027,3.71197612587082,0.413776825965506,30.457069,-91.187393,2737.92901017066,0.416510782000118,4445460.75,113225,290.638587048713,1.48496957617945,5116.75,2463,0.416401615725626,3.77849841680629,0.419055105088262,3.84719987730193,0.421737754199292,3.91820213439331,-0.300242262104433,5.37711268509327
"35",35,"Louisiana",1.07984178161686,4.55440470149213,4.63510029964027,1.09415942531417,30.457069,-91.187393,2713.37326582899,0.41299082347553,4450577.5,114323,-97.8806436596533,-1.25962414558658,5116.75,1098,0.413776825965506,3.71197612587082,0.416401615725626,3.77849841680629,0.419055105088262,3.84719987730193,0.421737754199292,3.91820213439331
"36",36,"Louisiana",1.06586508624247,4.4764020735002,4.55440470149213,1.07984178161686,30.457069,-91.187393,3017.07796242976,0.415977674709914,4455694.25,114062,328.260440942446,0.650680975897183,5116.75,-261,1.09415942531417,4.63510029964027,0.413776825965506,3.71197612587082,0.416401615725626,3.77849841680629,0.419055105088262,3.84719987730193
"37",37,"Louisiana",1.05221739268835,4.40095203366297,4.4764020735002,1.06586508624247,30.457069,-91.187393,2686.06515922777,0.409795662716936,4460811,114850,-634.717499802764,-0.916886322736093,5116.75,788,1.07984178161686,4.55440470149213,1.09415942531417,4.63510029964027,0.413776825965506,3.71197612587082,0.416401615725626,3.77849841680629
"38",38,"Louisiana",0.956439213156735,0.901617442639235,4.40095203366297,1.05221739268835,30.457069,-91.187393,2747.50642079972,0.414401117608263,4463579.5,115542,392.454064773935,1.07874668843043,2768.5,692,1.06586508624247,4.4764020735002,1.07984178161686,4.55440470149213,1.09415942531417,4.63510029964027,0.413776825965506,3.71197612587082
"39",39,"Louisiana",0.946209109519813,0.876548261842913,0.901617442639235,0.956439213156735,30.457069,-91.187393,2747.95838546392,0.412124924733436,4466348,117419,-60.9892969077478,-0.688164776615408,2768.5,1877,1.05221739268835,4.40095203366297,1.06586508624247,4.4764020735002,1.07984178161686,4.55440470149213,1.09415942531417,4.63510029964027
"40",40,"Louisiana",0.936183953303527,0.852299832134662,0.876548261842913,0.946209109519813,30.457069,-91.187393,3066.71346383564,0.417621394892406,4469116.5,116639,318.30311370752,0.777266303379681,2768.5,-780,0.956439213156735,0.901617442639235,1.05221739268835,4.40095203366297,1.06586508624247,4.4764020735002,1.07984178161686,4.55440470149213
"41",41,"Louisiana",0.926357666632605,0.828814350642659,0.852299832134662,0.936183953303527,30.457069,-91.187393,2878.48759885373,0.413996558498262,4471885,117751,-506.980943353629,-0.912130655311355,2768.5,1112,0.946209109519813,0.876548261842913,0.956439213156735,0.901617442639235,1.05221739268835,4.40095203366297,1.06586508624247,4.4764020735002
"42",42,"Louisiana",0.226195904400761,2.37124135659741,0.828814350642659,0.926357666632605,30.457069,-91.187393,2880.05015399421,0.422252437985499,4473382.5,117902,189.788420122392,1.1880715881381,1497.5,151,0.936183953303527,0.852299832134662,0.946209109519813,0.876548261842913,0.956439213156735,0.901617442639235,1.05221739268835,4.40095203366297
"43",43,"Louisiana",0.225534533857008,2.34443608784929,2.37124135659741,0.226195904400761,30.457069,-91.187393,2832.91898687786,0.416313286613272,4474880,117178,-48.6937222568308,-1.41950308594638,1497.5,-724,0.926357666632605,0.828814350642659,0.936183953303527,0.852299832134662,0.946209109519813,0.876548261842913,0.956439213156735,0.901617442639235
"44",44,"Louisiana",0.224876630829129,2.31823223098218,2.34443608784929,0.225534533857008,30.457069,-91.187393,3083.0352694785,0.419443549313405,4476377.5,115892,297.24744971699,0.906941407235939,1497.5,-1286,0.226195904400761,2.37124135659741,0.926357666632605,0.828814350642659,0.936183953303527,0.852299832134662,0.946209109519813,0.876548261842913
"45",45,"Louisiana",0.224222168462695,2.29260740120978,2.31823223098218,0.224876630829129,30.457069,-91.187393,2983.23176707702,0.415703356316705,4477875,117982,-349.919785002125,-0.687045569683237,1497.5,2090,0.225534533857008,2.34443608784929,0.226195904400761,2.37124135659741,0.926357666632605,0.828814350642659,0.936183953303527,0.852299832134662
"46",46,"Louisiana",-0.355881837542071,3.53807146335896,2.29260740120978,0.224222168462695,30.457069,-91.187393,2986.86292818004,0.420671765799493,4482723,115834,103.434663504504,0.870860247948724,4848,-2148,0.224876630829129,2.31823223098218,0.225534533857008,2.34443608784929,0.226195904400761,2.37124135659741,0.926357666632605,0.828814350642659
"47",47,"Louisiana",-0.356379827658593,3.49217031143425,3.53807146335896,-0.355881837542071,30.457069,-91.187393,2951.19760690137,0.41505690569204,4487571,114679,-39.2964823816842,-1.05832695902404,4848,-1155,0.224222168462695,2.29260740120978,0.224876630829129,2.31823223098218,0.225534533857008,2.34443608784929,0.226195904400761,2.37124135659741
"48",48,"Louisiana",-0.356881131674491,3.44738200665731,3.49217031143425,-0.356379827658593,30.457069,-91.187393,3223.56817273723,0.416266307008911,4492419,114731,308.035887114519,0.68242614243243,4848,52,-0.355881837542071,3.53807146335896,0.224222168462695,2.29260740120978,0.224876630829129,2.31823223098218,0.225534533857008,2.34443608784929
"49",49,"Louisiana",-0.3573857716896,3.40366511259518,3.44738200665731,-0.356881131674491,30.457069,-91.187393,3040.18528497419,0.407820201320787,4497267,114470,-455.753453598896,-0.965550700499546,4848,-261,-0.356379827658593,3.49217031143425,-0.355881837542071,3.53807146335896,0.224222168462695,2.29260740120978,0.224876630829129,2.31823223098218
"50",50,"Louisiana",1.48529086334683,4.32337898840345,3.40366511259518,-0.3573857716896,30.457069,-91.187393,3044.24315006798,0.413120127677791,4503210.75,114554,187.440752856839,1.37460320451275,5943.75,84,-0.356881131674491,3.44738200665731,-0.356379827658593,3.49217031143425,-0.355881837542071,3.53807146335896,0.224222168462695,2.29260740120978
"51",51,"Louisiana",1.45972211410115,4.25930910204855,4.32337898840345,1.48529086334683,30.457069,-91.187393,2989.71124653192,0.408225237495559,4509154.5,115854,-58.5897686298626,-1.01948165392357,5943.75,1300,-0.3573857716896,3.40366511259518,-0.356881131674491,3.44738200665731,-0.356379827658593,3.49217031143425,-0.355881837542071,3.53807146335896
