"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"8",90,"Vermont",1.78280827302366,6.19120313574157,3.93295690983422,-1.47623532586678,44.262436,-72.580536,4866.65509768312,0.475793864842695,626618,24353,403.63806494979,0.947333927532618,174,-108,2.56816681298204,11.0732834317332,0.717231782308581,3.42007523627501,1.93313463386566,8.5935322012233,-0.281321284764147,-1.50398989055134
"9",91,"Vermont",-0.773485116297756,2.56748829062019,6.19120313574157,1.78280827302366,44.262436,-72.580536,4734.19590709518,0.477944836564602,626792,24407,-240.58441808314,-0.018902759835826,174,54,-1.47623532586678,3.93295690983422,2.56816681298204,11.0732834317332,0.717231782308581,3.42007523627501,1.93313463386566,8.5935322012233
"10",92,"Vermont",-1.5360915056208,-0.771461789932459,2.56748829062019,-0.773485116297756,44.262436,-72.580536,5219.83124922245,0.484511121815218,626966,24344,618.094532715209,0.441531352870939,174,-63,1.78280827302366,6.19120313574157,-1.47623532586678,3.93295690983422,2.56816681298204,11.0732834317332,0.717231782308581,3.42007523627501
"11",93,"Vermont",2.2473315578651,4.21763704085691,-0.771461789932459,-1.5360915056208,44.262436,-72.580536,4907.08353637146,0.476689415441528,627140,24315,-798.383054978251,-1.43879916243059,174,-29,-0.773485116297756,2.56748829062019,1.78280827302366,6.19120313574157,-1.47623532586678,3.93295690983422,2.56816681298204,11.0732834317332
"12",94,"Vermont",0.254674927404963,-0.546549948491304,4.21763704085691,2.2473315578651,44.262436,-72.580536,5031.85574094125,0.479730803597294,627101,24472,437.519917420769,1.08630945294556,-39,157,-1.5360915056208,-0.771461789932459,-0.773485116297756,2.56748829062019,1.78280827302366,6.19120313574157,-1.47623532586678,3.93295690983422
"13",95,"Vermont",-0.0497169468655301,5.99095655233413,-0.546549948491304,0.254674927404963,44.262436,-72.580536,4897.83951347714,0.478557675849172,627062,24510,-258.788432033903,-0.421451590388799,-39,38,2.2473315578651,4.21763704085691,-1.5360915056208,-0.771461789932459,-0.773485116297756,2.56748829062019,1.78280827302366,6.19120313574157
"14",96,"Vermont",1.44704172477841,3.6569545257727,5.99095655233413,-0.0497169468655301,44.262436,-72.580536,5383.37967028323,0.488766759752035,627023,24433,619.556384270206,1.13822116509851,-39,-77,0.254674927404963,-0.546549948491304,2.2473315578651,4.21763704085691,-1.5360915056208,-0.771461789932459,-0.773485116297756,2.56748829062019
"15",97,"Vermont",-1.16918310090544,0.79631217613354,3.6569545257727,1.44704172477841,44.262436,-72.580536,5045.35846209792,0.480302527656208,626984,24242,-823.561364991401,-1.86733159986893,-39,-191,-0.0497169468655301,5.99095655233413,0.254674927404963,-0.546549948491304,2.2473315578651,4.21763704085691,-1.5360915056208,-0.771461789932459
"16",98,"Vermont",1.33170731229004,9.59351355658526,0.79631217613354,-1.16918310090544,44.262436,-72.580536,5113.07305029038,0.484072053098475,626760,24341,405.735796377777,1.2233757538093,-224,99,1.44704172477841,3.6569545257727,-0.0497169468655301,5.99095655233413,0.254674927404963,-0.546549948491304,2.2473315578651,4.21763704085691
"17",99,"Vermont",2.18153156016516,7.24257783653641,9.59351355658526,1.33170731229004,44.262436,-72.580536,5084.5544805087,0.485754476465306,626536,24495,-96.2331579741467,-0.208710207543572,-224,154,-1.16918310090544,0.79631217613354,1.44704172477841,3.6569545257727,-0.0497169468655301,5.99095655233413,0.254674927404963,-0.546549948491304
"18",100,"Vermont",1.97134588703367,4.65097753295538,7.24257783653641,2.18153156016516,44.262436,-72.580536,5662.12652479914,0.493371248408674,626312,24520,606.09061407212,0.593434857653752,-224,25,1.33170731229004,9.59351355658526,-1.16918310090544,0.79631217613354,1.44704172477841,3.6569545257727,-0.0497169468655301,5.99095655233413
"19",101,"Vermont",-0.93735115742728,-1.18539443908929,4.65097753295538,1.97134588703367,44.262436,-72.580536,5208.81073746821,0.486477939203435,626088,24469,-1030.88783162137,-1.45100811486075,-224,-51,2.18153156016516,7.24257783653641,1.33170731229004,9.59351355658526,-1.16918310090544,0.79631217613354,1.44704172477841,3.6569545257727
"20",102,"Vermont",0.797856462039626,5.79209052016409,-1.18539443908929,-0.93735115742728,44.262436,-72.580536,5291.25837262841,0.490432404342023,625714.5,24583,535.763422491123,1.08477743438273,-373.5,114,1.97134588703367,4.65097753295538,2.18153156016516,7.24257783653641,1.33170731229004,9.59351355658526,-1.16918310090544,0.79631217613354
"21",103,"Vermont",1.51666068325227,1.89893433065293,5.79209052016409,0.797856462039626,44.262436,-72.580536,5281.91726434058,0.490061689009143,625341,24733,-91.7887434480317,-0.432518047146774,-373.5,150,-0.93735115742728,-1.18539443908929,1.97134588703367,4.65097753295538,2.18153156016516,7.24257783653641,1.33170731229004,9.59351355658526
"22",104,"Vermont",0.118497747159019,2.47429068699034,1.89893433065293,1.51666068325227,44.262436,-72.580536,5932.00420021841,0.496547953826932,624967.5,24710,659.428044165671,0.685698015066866,-373.5,-23,0.797856462039626,5.79209052016409,-0.93735115742728,-1.18539443908929,1.97134588703367,4.65097753295538,2.18153156016516,7.24257783653641
"23",105,"Vermont",0.820438673004098,-2.70537573476943,2.47429068699034,0.118497747159019,44.262436,-72.580536,5290.70016202525,0.488529615504899,624594,24752,-1291.390974071,-1.45046031398228,-373.5,42,1.51666068325227,1.89893433065293,0.797856462039626,5.79209052016409,-0.93735115742728,-1.18539443908929,1.97134588703367,4.65097753295538
