"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"8",8,"West_Virginia",0.994482349548953,6.50851862720074,6.64479031244767,1.00663471898415,38.336246,-81.612328,1886.3066479655,0.336185427498252,1804522,42836,207.151554299981,-0.123531557473849,1929,110,1.01906315973146,6.7862399769723,1.07043396885658,3.50103026547259,1.08389056905818,3.55905658753741,1.09766741295658,3.61881037309715
"9",9,"West_Virginia",0.98259702103789,6.37712800959633,6.50851862720074,0.994482349548953,38.336246,-81.612328,1785.284626043,0.328813236561634,1806451,43199,-243.555880911233,-0.755923536485109,1929,363,1.00663471898415,6.64479031244767,1.01906315973146,6.7862399769723,1.07043396885658,3.50103026547259,1.08389056905818,3.55905658753741
"10",10,"West_Virginia",1.04872002566125,4.83182644455482,6.37712800959633,0.98259702103789,38.336246,-81.612328,1880.97096101476,0.340117829587619,1809223,43110,196.70835689426,1.86767839626024,2772,-89,0.994482349548953,6.50851862720074,1.00663471898415,6.64479031244767,1.01906315973146,6.7862399769723,1.07043396885658,3.50103026547259
"11",11,"West_Virginia",1.03467693017514,4.75002673886706,4.83182644455482,1.04872002566125,38.336246,-81.612328,1792.25807466356,0.340331513056051,1811995,43519,-184.399221322953,-1.10909095575518,2772,409,0.98259702103789,6.37712800959633,0.994482349548953,6.50851862720074,1.00663471898415,6.64479031244767,1.01906315973146,6.7862399769723
"12",12,"West_Virginia",1.02096832063143,4.67087786481812,4.75002673886706,1.03467693017514,38.336246,-81.612328,2032.88832009839,0.341897150800443,1814767,43500,329.343131786026,0.135195427595813,2772,-19,1.04872002566125,4.83182644455482,0.98259702103789,6.37712800959633,0.994482349548953,6.50851862720074,1.00663471898415,6.64479031244767
"13",13,"West_Virginia",1.00758253268634,4.59424159182191,4.67087786481812,1.02096832063143,38.336246,-81.612328,1798.49850814756,0.333300505060231,1817539,43261,-475.020057385668,-1.01622834846029,2772,-239,1.03467693017514,4.75002673886706,1.04872002566125,4.83182644455482,0.98259702103789,6.37712800959633,0.994482349548953,6.50851862720074
"14",14,"West_Virginia",2.06395920744917,8.18250142133081,4.59424159182191,1.00758253268634,38.336246,-81.612328,1963.3134417832,0.343650067550864,1818259.5,43858,399.204745586481,1.8946208230845,720.5,597,1.02096832063143,4.67087786481812,1.03467693017514,4.75002673886706,1.04872002566125,4.83182644455482,0.98259702103789,6.37712800959633
"15",15,"West_Virginia",2.020634030346,8.00020883655606,8.18250142133081,2.06395920744917,38.336246,-81.612328,1854.01659611431,0.347020857843407,1818980,44124,-274.111779304538,-0.697877219809034,720.5,266,1.00758253268634,4.59424159182191,1.02096832063143,4.67087786481812,1.03467693017514,4.75002673886706,1.04872002566125,4.83182644455482
"16",16,"West_Virginia",1.97905877425963,7.82550873775349,8.00020883655606,2.020634030346,38.336246,-81.612328,2072.93701848189,0.349585916290437,1819700.5,44002,328.217268036476,-0.0805731845512414,720.5,-122,2.06395920744917,8.18250142133081,1.00758253268634,4.59424159182191,1.02096832063143,4.67087786481812,1.03467693017514,4.75002673886706
"17",17,"West_Virginia",1.93912954996858,7.65792393531228,7.82550873775349,1.97905877425963,38.336246,-81.612328,1902.6860242768,0.339521462343051,1820421,43759,-389.171416572668,-1.26295123944162,720.5,-243,2.020634030346,8.00020883655606,2.06395920744917,8.18250142133081,1.00758253268634,4.59424159182191,1.02096832063143,4.67087786481812
