"","X","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"1",7,7,"Missouri",1.15095746071727,6.20733077853544,6.34815545807399,1.16960251186509,38.579201,-92.172935,2371.56590710674,0.450147724742467,5193950.5,140561,-108.628820915712,0.742357938942162,11575.25,3509,1.08698236904328,3.66537334836323,1.10342507246362,3.72882371372611,1.12031243987918,3.7942294032618,1.13766242876157,3.8617224628716
"2",8,8,"Missouri",1.13282917441389,6.0717590101639,6.20733077853544,1.15095746071727,38.579201,-92.172935,2590.24488102859,0.434450577190338,5205525.75,138335,264.231070379209,-3.17150460789695,11575.25,-2226,1.16960251186509,6.34815545807399,1.08698236904328,3.66537334836323,1.10342507246362,3.72882371372611,1.12031243987918,3.7942294032618
"3",9,9,"Missouri",1.115196845371,5.94113135440892,6.0717590101639,1.13282917441389,38.579201,-92.172935,2428.11111956621,0.430618396436386,5217101,139490,-380.812735384226,1.18649667981776,11575.25,1155,1.15095746071727,6.20733077853544,1.16960251186509,6.34815545807399,1.08698236904328,3.66537334836323,1.10342507246362,3.72882371372611
"4",10,10,"Missouri",0.52271142421656,4.72106690673399,5.94113135440892,1.115196845371,38.579201,-92.172935,2500.16775412549,0.436473856809249,5230619.5,140214,234.190396021657,0.968764112681481,13518.5,724,1.13282917441389,6.0717590101639,1.15095746071727,6.20733077853544,1.16960251186509,6.34815545807399,1.08698236904328,3.66537334836323
"5",11,11,"Missouri",0.517319366182178,4.63426628415036,4.72106690673399,0.52271142421656,38.579201,-92.172935,2454.33783988903,0.431708636703814,5244138,140958,-117.886548795737,-1.06206804782981,13518.5,744,1.115196845371,5.94113135440892,1.13282917441389,6.0717590101639,1.15095746071727,6.20733077853544,1.16960251186509,6.34815545807399
"6",12,12,"Missouri",0.512017129618947,4.55052922836714,4.63426628415036,0.517319366182178,38.579201,-92.172935,2801.46315549523,0.437273653512105,5257656.5,141530,392.955229842652,1.03302369137259,13518.5,572,0.52271142421656,4.72106690673399,1.115196845371,5.94113135440892,1.13282917441389,6.0717590101639,1.15095746071727,6.20733077853544
"7",13,13,"Missouri",0.506802604591883,4.46968215536856,4.55052922836714,0.512017129618947,38.579201,-92.172935,2439.44980085085,0.425882717483926,5271175,141229,-709.13867025057,-1.69559528364699,13518.5,-301,0.517319366182178,4.63426628415036,0.52271142421656,4.72106690673399,1.115196845371,5.94113135440892,1.13282917441389,6.0717590101639
"8",14,14,"Missouri",2.16957910062305,8.1875757059926,4.46968215536856,0.506802604591883,38.579201,-92.172935,2590.3195960341,0.442112070214832,5284505.5,142165,512.883149827625,2.76202887590853,13330.5,936,0.512017129618947,4.55052922836714,0.517319366182178,4.63426628415036,0.52271142421656,4.72106690673399,1.115196845371,5.94113135440892
"9",15,15,"Missouri",2.11293188993569,7.9928971634871,8.1875757059926,2.16957910062305,38.579201,-92.172935,2568.81467848382,0.437403561252808,5297836,142778,-172.374712733535,-2.09378616929299,13330.5,613,0.506802604591883,4.46968215536856,0.512017129618947,4.55052922836714,0.517319366182178,4.63426628415036,0.52271142421656,4.72106690673399
"10",16,16,"Missouri",2.05892849283842,7.80673568607924,7.9928971634871,2.11293188993569,38.579201,-92.172935,2903.19049271003,0.446384926299461,5311166.5,143997,355.880731776496,1.36898740086764,13330.5,1219,2.16957910062305,8.1875757059926,0.506802604591883,4.46968215536856,0.512017129618947,4.55052922836714,0.517319366182178,4.63426628415036
