"","X","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","totalwagescapita_dif","emplvlcapita_dif","popestimate_dif","qtrly_estabs_count_dif","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"1",7,7,"Oregon",1.08575704854896,2.63735895031978,2.70407333171221,1.109594698584,44.938461,-123.030403,2327.34182980415,0.421546996850252,2960131,85516,-118.994443068921,-0.964767809325018,15812,523,0.633226824824362,1.34470465258367,0.644786615037596,1.37939497495019,0.656679642288971,1.41489623192363,0.66891934059452,1.45130389543269
"2",8,8,"Oregon",1.0627413888793,2.57342571682706,2.63735895031978,1.08575704854896,44.938461,-123.030403,2470.27150150389,0.421540107903052,2975943,85954,146.832451599901,-0.110182200952647,15812,438,1.109594698584,2.70407333171221,0.633226824824362,1.34470465258367,0.644786615037596,1.37939497495019,0.656679642288971,1.41489623192363
"3",9,9,"Oregon",1.04050803145928,2.51209846530145,2.57342571682706,1.0627413888793,44.938461,-123.030403,2307.68674172852,0.404406220874815,2991755,86478,-305.514431475115,-1.71269980810373,15812,524,1.08575704854896,2.63735895031978,1.109594698584,2.70407333171221,0.633226824824362,1.34470465258367,0.644786615037596,1.37939497495019
"4",10,10,"Oregon",1.77351198167432,2.49918210542397,2.51209846530145,1.04050803145928,44.938461,-123.030403,2416.51278736339,0.4212128342464,3008908,87144,271.410805410248,3.39405003998215,17153,666,1.0627413888793,2.57342571682706,1.08575704854896,2.63735895031978,1.109594698584,2.70407333171221,0.633226824824362,1.34470465258367
"5",11,11,"Oregon",1.72301941861353,2.43904667742143,2.49918210542397,1.77351198167432,44.938461,-123.030403,2423.00019100739,0.420705663236795,3026061,88011,-102.338641990876,-1.73137843811892,17153,867,1.04050803145928,2.51209846530145,1.0627413888793,2.57342571682706,1.08575704854896,2.63735895031978,1.109594698584,2.70407333171221
"6",12,12,"Oregon",1.67489813699842,2.38159311569817,2.43904667742143,1.72301941861353,44.938461,-123.030403,2649.73048888445,0.41951469729043,3043214,88595,220.242894233067,-0.068379493676024,17153,584,1.77351198167432,2.49918210542397,1.04050803145928,2.51209846530145,1.0627413888793,2.57342571682706,1.08575704854896,2.63735895031978
"7",13,13,"Oregon",1.62899045322629,2.32663826370683,2.38159311569817,1.67489813699842,44.938461,-123.030403,2341.01545991053,0.406307587728313,3060367,89347,-535.445326850986,-1.20161436157528,17153,752,1.72301941861353,2.43904667742143,1.77351198167432,2.49918210542397,1.04050803145928,2.51209846530145,1.0627413888793,2.57342571682706
"8",14,14,"Oregon",1.63620950262704,3.31581761328046,2.32663826370683,1.62899045322629,44.938461,-123.030403,2515.93904456582,0.423076267584864,3075591.25,90629,483.638613629216,2.9975789418669,15224.25,1282,1.67489813699842,2.38159311569817,1.72301941861353,2.43904667742143,1.77351198167432,2.49918210542397,1.04050803145928,2.51209846530145
"9",15,15,"Oregon",1.5941345788578,3.23090803947679,3.31581761328046,1.63620950262704,44.938461,-123.030403,2531.09570694207,0.425859237904473,3090815.5,91692,-159.766922279048,-1.39857095369422,15224.25,1063,1.62899045322629,2.32663826370683,1.67489813699842,2.38159311569817,1.72301941861353,2.43904667742143,1.77351198167432,2.49918210542397
"10",16,16,"Oregon",1.5538569772275,3.15001389594443,3.23090803947679,1.5941345788578,44.938461,-123.030403,2758.3390363887,0.427972951730576,3106039.75,92898,212.086667070387,-0.0669256493506465,15224.25,1206,1.63620950262704,3.31581761328046,1.62899045322629,2.32663826370683,1.67489813699842,2.38159311569817,1.72301941861353,2.43904667742143
"11",17,17,"Oregon",1.51526752479878,3.07284841052535,3.15001389594443,1.5538569772275,44.938461,-123.030403,2497.32802191676,0.415736487952744,3121264,94112,-488.254343918572,-1.43501776039346,15224.25,1214,1.5941345788578,3.23090803947679,1.63620950262704,3.31581761328046,1.62899045322629,2.32663826370683,1.67489813699842,2.38159311569817
"12",18,18,"Oregon",1.51820183964695,2.16067299805971,3.07284841052535,1.51526752479878,44.938461,-123.030403,2634.21748350216,0.43389943753511,3137040.25,95071,397.900476057341,3.03994133601977,15776.25,959,1.5538569772275,3.15001389594443,1.5941345788578,3.23090803947679,1.63620950262704,3.31581761328046,1.62899045322629,2.32663826370683
"13",19,19,"Oregon",1.48064049293346,2.11586571271809,2.16067299805971,1.51820183964695,44.938461,-123.030403,2710.67361928612,0.437786658373553,3152816.5,96294,-60.4333258014458,-1.42757287439229,15776.25,1223,1.51526752479878,3.07284841052535,1.5538569772275,3.15001389594443,1.5941345788578,3.23090803947679,1.63620950262704,3.31581761328046
"14",20,20,"Oregon",1.444612517618,2.07277863169288,2.11586571271809,1.48064049293346,44.938461,-123.030403,2853.53676044358,0.438773753216892,3168592.75,97124,66.4070053734981,-0.290012599510359,15776.25,830,1.51820183964695,2.16067299805971,1.51526752479878,3.07284841052535,1.5538569772275,3.15001389594443,1.5941345788578,3.23090803947679
"15",21,21,"Oregon",1.41002912742998,2.03131223345423,2.07277863169288,1.444612517618,44.938461,-123.030403,2704.57548418541,0.426269066179202,3184369,97741,-291.824417415623,-1.34917818810292,15776.25,617,1.48064049293346,2.11586571271809,1.51820183964695,2.16067299805971,1.51526752479878,3.07284841052535,1.5538569772275,3.15001389594443
"16",22,22,"Oregon",3.0477790114416,2.97341162087541,2.03131223345423,1.41002912742998,44.938461,-123.030403,2789.93430486887,0.440641766153254,3200054.5,98128,234.320096941632,2.68773870117411,15685.5,387,1.444612517618,2.07277863169288,1.48064049293346,2.11586571271809,1.51820183964695,2.16067299805971,1.51526752479878,3.07284841052535
"17",23,23,"Oregon",2.92919565010727,2.90967289435855,2.97341162087541,3.0477790114416,44.938461,-123.030403,2825.8188805687,0.445243189229643,3215740,99146,-49.4742449836308,-0.977127689766144,15685.5,1018,1.41002912742998,2.03131223345423,1.444612517618,2.07277863169288,1.48064049293346,2.11586571271809,1.51820183964695,2.16067299805971
"18",24,24,"Oregon",2.81858803693886,2.84844309661914,2.90967289435855,2.92919565010727,44.938461,-123.030403,3045.56488831322,0.447444633954891,3231425.5,100045,183.861432044687,-0.239997835114236,15685.5,899,3.0477790114416,2.97341162087541,1.41002912742998,2.03131223345423,1.444612517618,2.07277863169288,1.48064049293346,2.11586571271809
"19",25,25,"Oregon",2.71518852441375,2.78957259109376,2.84844309661914,2.81858803693886,44.938461,-123.030403,2866.49871347176,0.434377718121329,3247111,100121,-398.812182585983,-1.52683605588093,15685.5,76,2.92919565010727,2.90967289435855,3.0477790114416,2.97341162087541,1.41002912742998,2.03131223345423,1.444612517618,2.07277863169288
"20",26,26,"Oregon",1.54597322704451,4.47363903461131,2.78957259109376,2.71518852441375,44.938461,-123.030403,2979.46902026983,0.44902542046669,3261410.75,100024,292.036481639535,2.77146181789231,14299.75,-97,2.81858803693886,2.84844309661914,2.92919565010727,2.90967289435855,3.0477790114416,2.97341162087541,1.41002912742998,2.03131223345423
"21",27,27,"Oregon",1.50924405466295,4.30854265566545,4.47363903461131,1.54597322704451,44.938461,-123.030403,3017.8376376667,0.454189505859365,3275710.5,100913,-74.6016894012068,-0.948361695268646,14299.75,889,2.71518852441375,2.78957259109376,2.81858803693886,2.84844309661914,2.92919565010727,2.90967289435855,3.0477790114416,2.97341162087541
"22",28,28,"Oregon",1.47397438030161,4.15388097997926,4.30854265566545,1.50924405466295,44.938461,-123.030403,3276.10616501879,0.457734541505861,3290010.25,102016,219.899909955222,-0.161904974617866,14299.75,1103,1.54597322704451,4.47363903461131,2.71518852441375,2.78957259109376,2.81858803693886,2.84844309661914,2.92919565010727,2.90967289435855
"23",29,29,"Oregon",1.44008142945111,4.00863198904773,4.15388097997926,1.47397438030161,44.938461,-123.030403,3093.06484591337,0.444798762827943,3304310,102742,-441.309846457507,-1.64808143244143,14299.75,726,1.50924405466295,4.30854265566545,1.54597322704451,4.47363903461131,2.71518852441375,2.78957259109376,2.81858803693886,2.84844309661914
"24",30,30,"Oregon",0.804321389668416,2.56349239804372,4.00863198904773,1.44008142945111,44.938461,-123.030403,3173.26216823507,0.46026859340644,3316344.75,106492,263.238641427124,2.84056092564157,12034.75,3750,1.47397438030161,4.15388097997926,1.50924405466295,4.30854265566545,1.54597322704451,4.47363903461131,2.71518852441375,2.78957259109376
"25",31,31,"Oregon",0.792156321585402,2.50546809796859,2.56349239804372,0.804321389668416,44.938461,-123.030403,3247.48958915292,0.462436950674245,3328379.5,110156,-5.96990140385833,-1.33014733106935,12034.75,3664,1.44008142945111,4.00863198904773,1.47397438030161,4.15388097997926,1.50924405466295,4.30854265566545,1.54597322704451,4.47363903461131
"26",32,32,"Oregon",0.780289471471818,2.44952472599174,2.50546809796859,0.792156321585402,44.938461,-123.030403,3501.5231934183,0.463929885342813,3340414.25,111559,179.806183347535,-0.0675422599235198,12034.75,1403,0.804321389668416,2.56349239804372,1.44008142945111,4.00863198904773,1.47397438030161,4.15388097997926,1.50924405466295,4.30854265566545
"27",33,33,"Oregon",0.768710525022342,2.39554179317238,2.44952472599174,0.780289471471818,44.938461,-123.030403,3235.51147474578,0.449269971494471,3352449,111138,-520.045322937907,-1.61528485169116,12034.75,-421,0.792156321585402,2.50546809796859,0.804321389668416,2.56349239804372,1.44008142945111,4.00863198904773,1.47397438030161,4.15388097997926
"28",34,34,"Oregon",0.214677949167985,3.41014419824646,2.39554179317238,0.768710525022342,44.938461,-123.030403,3360.49815363406,0.462853718295725,3362822,111247,390.998397560811,2.8243660649597,10373,109,0.780289471471818,2.44952472599174,0.792156321585402,2.50546809796859,0.804321389668416,2.56349239804372,1.44008142945111,4.00863198904773
"29",35,35,"Oregon",0.212901976362367,3.33178667992975,3.41014419824646,0.214677949167985,44.938461,-123.030403,3356.64264562233,0.464131286016176,3373195,110988,-128.842186900021,-1.23061790808038,10373,-259,0.768710525022342,2.39554179317238,0.780289471471818,2.44952472599174,0.792156321585402,2.50546809796859,0.804321389668416,2.56349239804372
"30",36,36,"Oregon",0.211148427574948,3.25677951786965,3.33178667992975,0.212901976362367,44.938461,-123.030403,3651.57075312215,0.464134113259534,3383568,111564,298.783615511558,-0.127474047709253,10373,576,0.214677949167985,3.41014419824646,0.768710525022342,2.39554179317238,0.780289471471818,2.44952472599174,0.792156321585402,2.50546809796859
"31",37,37,"Oregon",0.209416919294725,3.18490808349168,3.25677951786965,0.211148427574948,44.938461,-123.030403,3337.63479182461,0.450984268730659,3393941,111399,-608.864068797363,-1.31526717722329,10373,-165,0.212901976362367,3.33178667992975,0.214677949167985,3.41014419824646,0.768710525022342,2.39554179317238,0.780289471471818,2.44952472599174
"32",38,38,"Oregon",0.854825386558566,0.00853053132132686,3.18490808349168,0.209416919294725,44.938461,-123.030403,3500.47942292458,0.462860006955377,3402882.75,111801,476.780592397511,2.50255827535937,8941.75,402,0.211148427574948,3.25677951786965,0.212901976362367,3.33178667992975,0.214677949167985,3.41014419824646,0.768710525022342,2.39554179317238
"33",39,39,"Oregon",0.843155994996714,-0.0151640935108333,0.00853053132132686,0.854825386558566,44.938461,-123.030403,3580.59296660775,0.466187519317011,3411824.5,110122,-82.7310874167988,-0.85482258630854,8941.75,-1679,0.209416919294725,3.18490808349168,0.211148427574948,3.25677951786965,0.212901976362367,3.33178667992975,0.214677949167985,3.41014419824646
"34",40,40,"Oregon",0.831753302772498,-0.0382633946429678,-0.0151640935108333,0.843155994996714,44.938461,-123.030403,3869.58469319557,0.469684435955443,3420766.25,110178,208.878182904647,0.0169404276799345,8941.75,56,0.854825386558566,0.00853053132132686,0.209416919294725,3.18490808349168,0.211148427574948,3.25677951786965,0.212901976362367,3.33178667992975
"35",41,41,"Oregon",0.820608566270664,-0.0608284791699276,-0.0382633946429678,0.831753302772498,44.938461,-123.030403,3712.87543341882,0.454536362862378,3429708,111341,-445.700986364564,-1.86449897314981,8941.75,1163,0.843155994996714,-0.0151640935108333,0.854825386558566,0.00853053132132686,0.209416919294725,3.18490808349168,0.211148427574948,3.25677951786965
"36",42,42,"Oregon",-0.593860326374163,1.06337040465334,-0.0608284791699276,0.820608566270664,44.938461,-123.030403,3788.20297125963,0.469477698276786,3439265.25,111570,232.036797617556,3.00894085074732,9557.25,229,0.831753302772498,-0.0382633946429678,0.843155994996714,-0.0151640935108333,0.854825386558566,0.00853053132132686,0.209416919294725,3.18490808349168
"37",43,43,"Oregon",-0.594087221106854,1.04931278072478,1.06337040465334,-0.593860326374163,44.938461,-123.030403,3827.68028972207,0.469934400315857,3448822.5,111484,-35.8502193783702,-1.44846333753367,9557.25,-86,0.820608566270664,-0.0608284791699276,0.831753302772498,-0.0382633946429678,0.843155994996714,-0.0151640935108333,0.854825386558566,0.00853053132132686
"38",44,44,"Oregon",-0.59432473594061,1.03559979385643,1.04931278072478,-0.594087221106854,44.938461,-123.030403,3971.50708362782,0.471090159103166,3458379.75,111453,104.349475443305,0.0699056748238114,9557.25,-31,-0.593860326374163,1.06337040465334,0.820608566270664,-0.0608284791699276,0.831753302772498,-0.0382633946429678,0.843155994996714,-0.0151640935108333
"39",45,45,"Oregon",-0.594572896148016,1.02221747652962,1.03559979385643,-0.59432473594061,44.938461,-123.030403,3818.99915281045,0.456242140500246,3467937,109582,-296.334724723117,-1.60037773902294,9557.25,-1871,-0.594087221106854,1.04931278072478,-0.593860326374163,1.06337040465334,0.820608566270664,-0.0608284791699276,0.831753302772498,-0.0382633946429678
"40",46,46,"Oregon",0.561456423993434,1.93863997091732,1.02221747652962,-0.594572896148016,44.938461,-123.030403,3798.87660472788,0.462998960162226,3479308.75,110835,132.385382734804,2.16048382649004,11371.75,1253,-0.59432473594061,1.03559979385643,-0.594087221106854,1.04931278072478,-0.593860326374163,1.06337040465334,0.820608566270664,-0.0608284791699276
