"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Alaska",10.5705216676533,11.6347081397245,11.6206353340906,10.5733597138601,58.301598,-134.420212,5398.28233635029,0.417424609793207,574828.75,15574,10.6112613093827,11.6126720194872,10.6483180329805,11.604563828876,10.6845824537836,11.5963054070961,10.7201028278333,11.5878910481107
"7",7,"Alaska",10.5677211461485,11.6484516432595,11.6347081397245,10.5705216676533,58.301598,-134.420212,5398.28233635029,0.433115977481508,579464.5,15652,10.5733597138601,11.6206353340906,10.6112613093827,11.6126720194872,10.6483180329805,11.604563828876,10.6845824537836,11.5963054070961
"8",8,"Alaska",10.5649573992373,11.6618790341204,11.6484516432595,10.5677211461485,58.301598,-134.420212,5398.28233635029,0.399754437130727,584100.25,15560,10.5705216676533,11.6347081397245,10.5733597138601,11.6206353340906,10.6112613093827,11.6126720194872,10.6483180329805,11.604563828876
"9",9,"Alaska",10.5622296969446,11.6750026842134,11.6618790341204,10.5649573992373,58.301598,-134.420212,5398.28233635029,0.387991108634997,588736,15596,10.5677211461485,11.6484516432595,10.5705216676533,11.6347081397245,10.5733597138601,11.6206353340906,10.6112613093827,11.6126720194872
"10",10,"Alaska",10.5635154877865,11.6874516666951,11.6750026842134,10.5622296969446,58.301598,-134.420212,5398.28233635029,0.414752315088799,591410,15903,10.5649573992373,11.6618790341204,10.5677211461485,11.6484516432595,10.5705216676533,11.6347081397245,10.5733597138601,11.6206353340906
"11",11,"Alaska",10.5647880748991,11.6996186590859,11.6874516666951,10.5635154877865,58.301598,-134.420212,5398.28233635029,0.429424682929238,594084,16193,10.5622296969446,11.6750026842134,10.5649573992373,11.6618790341204,10.5677211461485,11.6484516432595,10.5705216676533,11.6347081397245
"12",12,"Alaska",10.5660476616412,11.7115157205275,11.6996186590859,10.5647880748991,58.301598,-134.420212,5398.28233635029,0.395841083543636,596758,16215,10.5635154877865,11.6874516666951,10.5622296969446,11.6750026842134,10.5649573992373,11.6618790341204,10.5677211461485,11.6484516432595
"13",13,"Alaska",10.5672944471962,11.7231541130228,11.7115157205275,10.5660476616412,58.301598,-134.420212,5398.28233635029,0.386840097514536,599432,16255,10.5647880748991,11.6996186590859,10.5635154877865,11.6874516666951,10.5622296969446,11.6750026842134,10.5649573992373,11.6618790341204
"14",14,"Alaska",10.5691198689934,11.7408232616319,11.7231541130228,10.5672944471962,58.301598,-134.420212,5398.28233635029,0.414509080875393,600401,16648,10.5660476616412,11.7115157205275,10.5647880748991,11.6996186590859,10.5635154877865,11.6874516666951,10.5622296969446,11.6750026842134
"15",15,"Alaska",10.5709360980643,11.7580496388998,11.7408232616319,10.5691198689934,58.301598,-134.420212,5398.28233635029,0.430903880583778,601370,17010,10.5672944471962,11.7231541130228,10.5660476616412,11.7115157205275,10.5647880748991,11.6996186590859,10.5635154877865,11.6874516666951
"16",16,"Alaska",10.5727432066485,11.7748536396082,11.7580496388998,10.5709360980643,58.301598,-134.420212,5398.28233635029,0.408132297593216,602339,17136,10.5691198689934,11.7408232616319,10.5672944471962,11.7231541130228,10.5660476616412,11.7115157205275,10.5647880748991,11.6996186590859
"17",17,"Alaska",10.5745412662026,11.7912542483494,11.7748536396082,10.5727432066485,58.301598,-134.420212,5398.28233635029,0.396763068504534,603308,17001,10.5709360980643,11.7580496388998,10.5691198689934,11.7408232616319,10.5672944471962,11.7231541130228,10.5660476616412,11.7115157205275
"18",18,"Alaska",10.5934253950588,11.803061110433,11.7912542483494,10.5745412662026,58.301598,-134.420212,5398.28233635029,0.420974269253879,603584,17329,10.5727432066485,11.7748536396082,10.5709360980643,11.7580496388998,10.5691198689934,11.7408232616319,10.5672944471962,11.7231541130228
"19",19,"Alaska",10.6119427265417,11.8146310143922,11.803061110433,10.5934253950588,58.301598,-134.420212,5398.28233635029,0.441125978427671,603860,17547,10.5745412662026,11.7912542483494,10.5727432066485,11.7748536396082,10.5709360980643,11.7580496388998,10.5691198689934,11.7408232616319
"20",20,"Alaska",10.6301069294438,11.825972722092,11.8146310143922,10.6119427265417,58.301598,-134.420212,5398.28233635029,0.41226258105239,604136,17492,10.5934253950588,11.803061110433,10.5745412662026,11.7912542483494,10.5727432066485,11.7748536396082,10.5709360980643,11.7580496388998
"21",21,"Alaska",10.6479309228554,11.8370945064009,11.825972722092,10.6301069294438,58.301598,-134.420212,5398.28233635029,0.398981158547481,604412,17482,10.6119427265417,11.8146310143922,10.5934253950588,11.803061110433,10.5745412662026,11.7912542483494,10.5727432066485,11.7748536396082
"22",22,"Alaska",10.6587863389091,11.8524447989403,11.8370945064009,10.6479309228554,58.301598,-134.420212,5398.28233635029,0.428146224269364,605451.25,17723,10.6301069294438,11.825972722092,10.6119427265417,11.8146310143922,10.5934253950588,11.803061110433,10.5745412662026,11.7912542483494
"23",23,"Alaska",10.6694885724698,11.8674497294971,11.8524447989403,10.6587863389091,58.301598,-134.420212,5398.28233635029,0.445473314641092,606490.5,17895,10.6479309228554,11.8370945064009,10.6301069294438,11.825972722092,10.6119427265417,11.8146310143922,10.5934253950588,11.803061110433
"24",24,"Alaska",10.6800414433715,11.8821244567188,11.8674497294971,10.6694885724698,58.301598,-134.420212,5398.28233635029,0.412132355109633,607529.75,17943,10.6587863389091,11.8524447989403,10.6479309228554,11.8370945064009,10.6301069294438,11.825972722092,10.6119427265417,11.8146310143922
"25",25,"Alaska",10.6904486322809,11.8964830808818,11.8821244567188,10.6800414433715,58.301598,-134.420212,5398.28233635029,0.398786333184898,608569,17884,10.6694885724698,11.8674497294971,10.6587863389091,11.8524447989403,10.6479309228554,11.8370945064009,10.6301069294438,11.825972722092
"26",26,"Alaska",10.6764984183342,11.9160747532036,11.8964830808818,10.6904486322809,58.301598,-134.420212,5398.28233635029,0.427873332854931,609668.75,18134,10.6800414433715,11.8821244567188,10.6694885724698,11.8674497294971,10.6587863389091,11.8524447989403,10.6479309228554,11.8370945064009
"27",27,"Alaska",10.6624021484473,11.9350378819076,11.9160747532036,10.6764984183342,58.301598,-134.420212,5398.28233635029,0.443351286125594,610768.5,18383,10.6904486322809,11.8964830808818,10.6800414433715,11.8821244567188,10.6694885724698,11.8674497294971,10.6587863389091,11.8524447989403
