"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Arkansas",9.78383369087532,45.4805020753774,45.4272736250168,9.76676151838551,34.746613,-92.288986,3758.53487885017,0.381227678266511,2391354,59840,9.7520069095733,45.3942874836555,9.73694679074082,45.360727464524,9.72156981132896,45.3265760106513,9.70586398804989,45.2918143599357
"7",7,"Arkansas",9.80050537969806,45.5324964554623,45.4805020753774,9.78383369087532,34.746613,-92.288986,3758.53487885017,0.375605040471241,2399564,60072,9.76676151838551,45.4272736250168,9.7520069095733,45.3942874836555,9.73694679074082,45.360727464524,9.72156981132896,45.3265760106513
"8",8,"Arkansas",9.81679275134215,45.5833012384508,45.5324964554623,9.80050537969806,34.746613,-92.288986,3758.53487885017,0.384040888665907,2407774,60612,9.78383369087532,45.4805020753774,9.76676151838551,45.4272736250168,9.7520069095733,45.3942874836555,9.73694679074082,45.360727464524
"9",9,"Arkansas",9.8327110312397,45.632958211499,45.5833012384508,9.81679275134215,34.746613,-92.288986,3758.53487885017,0.378418620873869,2415984,60864,9.80050537969806,45.5324964554623,9.78383369087532,45.4805020753774,9.76676151838551,45.4272736250168,9.7520069095733,45.3942874836555
"10",10,"Arkansas",9.84259832105026,45.6776605039056,45.632958211499,9.8327110312397,34.746613,-92.288986,3758.53487885017,0.388326289172464,2426063.75,61446,9.81679275134215,45.5833012384508,9.80050537969806,45.5324964554623,9.78383369087532,45.4805020753774,9.76676151838551,45.4272736250168
"11",11,"Arkansas",9.85230818280935,45.7215213302805,45.6776605039056,9.84259832105026,34.746613,-92.288986,3758.53487885017,0.38035197844462,2436143.5,61639,9.8327110312397,45.632958211499,9.81679275134215,45.5833012384508,9.80050537969806,45.5324964554623,9.78383369087532,45.4805020753774
"12",12,"Arkansas",9.86184579566627,45.7645710583473,45.7215213302805,9.85230818280935,34.746613,-92.288986,3758.53487885017,0.390094267424965,2446223.25,61983,9.84259832105026,45.6776605039056,9.8327110312397,45.632958211499,9.81679275134215,45.5833012384508,9.80050537969806,45.5324964554623
"13",13,"Arkansas",9.87121612527086,45.8068383077462,45.7645710583473,9.86184579566627,34.746613,-92.288986,3758.53487885017,0.383723017885009,2456303,62370,9.85230818280935,45.7215213302805,9.84259832105026,45.6776605039056,9.8327110312397,45.632958211499,9.81679275134215,45.5833012384508
"14",14,"Arkansas",9.88741781239014,45.8812807770896,45.8068383077462,9.87121612527086,34.746613,-92.288986,3758.53487885017,0.393870325999203,2465732,62934,9.86184579566627,45.7645710583473,9.85230818280935,45.7215213302805,9.84259832105026,45.6776605039056,9.8327110312397,45.632958211499
"15",15,"Arkansas",9.90324066943402,45.9539401782068,45.8812807770896,9.88741781239014,34.746613,-92.288986,3758.53487885017,0.389187343099432,2475161,63639,9.87121612527086,45.8068383077462,9.86184579566627,45.7645710583473,9.85230818280935,45.7215213302805,9.84259832105026,45.6776605039056
