"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Delaware",10.3772616254687,65.138260516817,65.0666346378386,10.3683284075208,39.157307,-75.519722,6007.52597239019,0.494814269550118,686041.25,19765,10.3521643909862,65.0315796463964,10.3355692986822,64.9960439826964,10.3185232733383,64.9600158025655,10.3010051011175,64.9234825629988
"7",7,"Delaware",10.3860399722654,65.2085836208806,65.138260516817,10.3772616254687,39.157307,-75.519722,6007.52597239019,0.491117231069553,689002.5,19830,10.3683284075208,65.0666346378386,10.3521643909862,65.0315796463964,10.3355692986822,64.9960439826964,10.3185232733383,64.9600158025655
"8",8,"Delaware",10.3946677703161,65.2776483121706,65.2085836208806,10.3860399722654,39.157307,-75.519722,6007.52597239019,0.489988577195458,691963.75,19975,10.3772616254687,65.138260516817,10.3683284075208,65.0666346378386,10.3521643909862,65.0315796463964,10.3355692986822,64.9960439826964
"9",9,"Delaware",10.4031491725981,65.3454965051585,65.2776483121706,10.3946677703161,39.157307,-75.519722,6007.52597239019,0.469462172176854,694925,20149,10.3860399722654,65.2085836208806,10.3772616254687,65.138260516817,10.3683284075208,65.0666346378386,10.3521643909862,65.0315796463964
"10",10,"Delaware",10.4055859641168,65.4030146811507,65.3454965051585,10.4031491725981,39.157307,-75.519722,6007.52597239019,0.489074825588804,697788.25,20809,10.3946677703161,65.2776483121706,10.3860399722654,65.2085836208806,10.3772616254687,65.138260516817,10.3683284075208,65.0666346378386
"11",11,"Delaware",10.4079969883002,65.4596512155906,65.4030146811507,10.4055859641168,39.157307,-75.519722,6007.52597239019,0.48733690477125,700651.5,20792,10.4031491725981,65.3454965051585,10.3946677703161,65.2776483121706,10.3860399722654,65.2085836208806,10.3772616254687,65.138260516817
"12",12,"Delaware",10.4103826586036,65.5154320425875,65.4596512155906,10.4079969883002,39.157307,-75.519722,6007.52597239019,0.481817900761853,703514.75,20876,10.4055859641168,65.4030146811507,10.4031491725981,65.3454965051585,10.3946677703161,65.2776483121706,10.3860399722654,65.2085836208806
"13",13,"Delaware",10.4127433795432,65.5703818513339,65.5154320425875,10.4103826586036,39.157307,-75.519722,6007.52597239019,0.467056354152215,706378,21142,10.4079969883002,65.4596512155906,10.4055859641168,65.4030146811507,10.4031491725981,65.3454965051585,10.3946677703161,65.2776483121706
"14",14,"Delaware",10.4311867433557,65.6588559329053,65.5703818513339,10.4127433795432,39.157307,-75.519722,6007.52597239019,0.482384741687962,709169.75,21546,10.4103826586036,65.5154320425875,10.4079969883002,65.4596512155906,10.4055859641168,65.4030146811507,10.4031491725981,65.3454965051585
"15",15,"Delaware",10.4491553475785,65.745592080386,65.6588559329053,10.4311867433557,39.157307,-75.519722,6007.52597239019,0.486689706302003,711961.5,21057,10.4127433795432,65.5703818513339,10.4103826586036,65.5154320425875,10.4079969883002,65.4596512155906,10.4055859641168,65.4030146811507
"16",16,"Delaware",10.4666700832952,65.8306558843632,65.745592080386,10.4491553475785,39.157307,-75.519722,6007.52597239019,0.481374049948939,714753.25,19064,10.4311867433557,65.6588559329053,10.4127433795432,65.5703818513339,10.4103826586036,65.5154320425875,10.4079969883002,65.4596512155906
"17",17,"Delaware",10.4837505204171,65.9141090919231,65.8306558843632,10.4666700832952,39.157307,-75.519722,6007.52597239019,0.467000675915796,717545,18975,10.4491553475785,65.745592080386,10.4311867433557,65.6588559329053,10.4127433795432,65.5703818513339,10.4103826586036,65.5154320425875
"18",18,"Delaware",10.4996208572073,65.9831662394664,65.9141090919231,10.4837505204171,39.157307,-75.519722,6007.52597239019,0.483122043013924,720592.25,19085,10.4666700832952,65.8306558843632,10.4491553475785,65.745592080386,10.4311867433557,65.6588559329053,10.4127433795432,65.5703818513339
"19",19,"Delaware",10.5151126980049,66.0511054540326,65.9831662394664,10.4996208572073,39.157307,-75.519722,6007.52597239019,0.487218658830352,723639.5,19340,10.4837505204171,65.9141090919231,10.4666700832952,65.8306558843632,10.4491553475785,65.745592080386,10.4311867433557,65.6588559329053
"20",20,"Delaware",10.5302412180527,66.117961184446,66.0511054540326,10.5151126980049,39.157307,-75.519722,6007.52597239019,0.489000705370414,726686.75,19591,10.4996208572073,65.9831662394664,10.4837505204171,65.9141090919231,10.4666700832952,65.8306558843632,10.4491553475785,65.745592080386
"21",21,"Delaware",10.5450207224944,66.1837662217983,66.117961184446,10.5302412180527,39.157307,-75.519722,6007.52597239019,0.477273453980035,729734,19803,10.5151126980049,66.0511054540326,10.4996208572073,65.9831662394664,10.4837505204171,65.9141090919231,10.4666700832952,65.8306558843632
"22",22,"Delaware",10.554034802773,66.2593554222236,66.1837662217983,10.5450207224944,39.157307,-75.519722,6007.52597239019,0.490127508706237,732544.75,19914,10.5302412180527,66.117961184446,10.5151126980049,66.0511054540326,10.4996208572073,65.9831662394664,10.4837505204171,65.9141090919231
