"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Idaho",9.81995506105909,26.2387104791427,26.2085456469398,9.80388899019933,43.617775,-116.199722,3322.95901275196,0.380960552714374,1048908.25,32213,9.79955004458184,26.19223129702,9.79513066225184,26.1755372066198,9.79062854115757,26.1584523127967,9.7860412888789,26.14096445933
"7",7,"Idaho",9.8355415936432,26.2681406770171,26.2387104791427,9.81995506105909,43.617775,-116.199722,3322.95901275196,0.390464872788355,1056500.5,32503,9.80388899019933,26.2085456469398,9.79955004458184,26.19223129702,9.79513066225184,26.1755372066198,9.79062854115757,26.1584523127967
"8",8,"Idaho",9.85067155368352,26.296866723054,26.2681406770171,9.8355415936432,43.617775,-116.199722,3322.95901275196,0.382454129742606,1064092.75,32764,9.81995506105909,26.2387104791427,9.80388899019933,26.2085456469398,9.79955004458184,26.19223129702,9.79513066225184,26.1755372066198
"9",9,"Idaho",9.86536637137655,26.3249171655128,26.296866723054,9.85067155368352,43.617775,-116.199722,3322.95901275196,0.367049397288693,1071685,32813,9.8355415936432,26.2681406770171,9.81995506105909,26.2387104791427,9.80388899019933,26.2085456469398,9.79955004458184,26.19223129702
"10",10,"Idaho",9.88621951092257,26.3533106404838,26.3249171655128,9.86536637137655,43.617775,-116.199722,3322.95901275196,0.388018041749936,1080955.75,33334,9.85067155368352,26.296866723054,9.8355415936432,26.2681406770171,9.81995506105909,26.2387104791427,9.80388899019933,26.2085456469398
"11",11,"Idaho",9.90630272517529,26.3810292916315,26.3533106404838,9.88621951092257,43.617775,-116.199722,3322.95901275196,0.395272908886364,1090226.5,33729,9.86536637137655,26.3249171655128,9.85067155368352,26.296866723054,9.8355415936432,26.2681406770171,9.81995506105909,26.2387104791427
"12",12,"Idaho",9.92566171718833,26.4081024659492,26.3810292916315,9.90630272517529,43.617775,-116.199722,3322.95901275196,0.385810878562907,1099497.25,34137,9.88621951092257,26.3533106404838,9.86536637137655,26.3249171655128,9.85067155368352,26.296866723054,9.8355415936432,26.2681406770171
"13",13,"Idaho",9.9443384075017,26.4345575803253,26.4081024659492,9.92566171718833,43.617775,-116.199722,3322.95901275196,0.369800535368986,1108768,34328,9.90630272517529,26.3810292916315,9.88621951092257,26.3533106404838,9.86536637137655,26.3249171655128,9.85067155368352,26.296866723054
"14",14,"Idaho",9.96133849303684,26.4731955620006,26.4345575803253,9.9443384075017,43.617775,-116.199722,3322.95901275196,0.391444911308293,1117861,34894,9.92566171718833,26.4081024659492,9.90630272517529,26.3810292916315,9.88621951092257,26.3533106404838,9.86536637137655,26.3249171655128
"15",15,"Idaho",9.97778685657041,26.5108142092066,26.4731955620006,9.96133849303684,43.617775,-116.199722,3322.95901275196,0.403211370354661,1126954,35296,9.9443384075017,26.4345575803253,9.92566171718833,26.4081024659492,9.90630272517529,26.3810292916315,9.88621951092257,26.3533106404838
"16",16,"Idaho",9.99371204866864,26.5474627700816,26.5108142092066,9.97778685657041,43.617775,-116.199722,3322.95901275196,0.392279838187446,1136047,35845,9.96133849303684,26.4731955620006,9.9443384075017,26.4345575803253,9.92566171718833,26.4081024659492,9.90630272517529,26.3810292916315
"17",17,"Idaho",10.0091405660623,26.5831869307795,26.5474627700816,9.99371204866864,43.617775,-116.199722,3322.95901275196,0.380382602418336,1145140,36182,9.97778685657041,26.5108142092066,9.96133849303684,26.4731955620006,9.9443384075017,26.4345575803253,9.92566171718833,26.4081024659492
"18",18,"Idaho",10.0245441128527,26.6092871451584,26.5831869307795,10.0091405660623,43.617775,-116.199722,3322.95901275196,0.403915646413059,1153185.5,37016,9.99371204866864,26.5474627700816,9.97778685657041,26.5108142092066,9.96133849303684,26.4731955620006,9.9443384075017,26.4345575803253
"19",19,"Idaho",10.0395053432643,26.6348332765653,26.6092871451584,10.0245441128527,43.617775,-116.199722,3322.95901275196,0.410993735670738,1161231,37554,10.0091405660623,26.5831869307795,9.99371204866864,26.5474627700816,9.97778685657041,26.5108142092066,9.96133849303684,26.4731955620006
"20",20,"Idaho",10.0540446443177,26.6598469196415,26.6348332765653,10.0395053432643,43.617775,-116.199722,3322.95901275196,0.402339110267475,1169276.5,37951,10.0245441128527,26.6092871451584,10.0091405660623,26.5831869307795,9.99371204866864,26.5474627700816,9.97778685657041,26.5108142092066
"21",21,"Idaho",10.0681810903818,26.6843484073748,26.6598469196415,10.0540446443177,43.617775,-116.199722,3322.95901275196,0.387570831655797,1177322,38031,10.0395053432643,26.6348332765653,10.0245441128527,26.6092871451584,10.0091405660623,26.5831869307795,9.99371204866864,26.5474627700816
"22",22,"Idaho",10.0730551096336,26.7204749779156,26.6843484073748,10.0681810903818,43.617775,-116.199722,3322.95901275196,0.403971602687392,1183762.25,38527,10.0540446443177,26.6598469196415,10.0395053432643,26.6348332765653,10.0245441128527,26.6092871451584,10.0091405660623,26.5831869307795
"23",23,"Idaho",10.0778531224075,26.7557264092002,26.7204749779156,10.0730551096336,43.617775,-116.199722,3322.95901275196,0.412793341189139,1190202.5,39051,10.0681810903818,26.6843484073748,10.0540446443177,26.6598469196415,10.0395053432643,26.6348332765653,10.0245441128527,26.6092871451584
"24",24,"Idaho",10.0825769467991,26.7901434321345,26.7557264092002,10.0778531224075,43.617775,-116.199722,3322.95901275196,0.404389976317772,1196642.75,39521,10.0730551096336,26.7204749779156,10.0681810903818,26.6843484073748,10.0540446443177,26.6598469196415,10.0395053432643,26.6348332765653
"25",25,"Idaho",10.0872283417986,26.8237638241731,26.7901434321345,10.0825769467991,43.617775,-116.199722,3322.95901275196,0.388853747691002,1203083,39603,10.0778531224075,26.7557264092002,10.0730551096336,26.7204749779156,10.0681810903818,26.6843484073748,10.0540446443177,26.6598469196415
"26",26,"Idaho",10.0869070155235,26.8674480537895,26.8237638241731,10.0872283417986,43.617775,-116.199722,3322.95901275196,0.410182737814338,1209442.25,40195,10.0825769467991,26.7901434321345,10.0778531224075,26.7557264092002,10.0730551096336,26.7204749779156,10.0681810903818,26.6843484073748
"27",27,"Idaho",10.0865889489742,26.9096775963229,26.8674480537895,10.0869070155235,43.617775,-116.199722,3322.95901275196,0.41520483949614,1215801.5,40557,10.0872283417986,26.8237638241731,10.0825769467991,26.7901434321345,10.0778531224075,26.7557264092002,10.0730551096336,26.7204749779156
"28",28,"Idaho",10.0862740927823,26.9505336584459,26.9096775963229,10.0865889489742,43.617775,-116.199722,3322.95901275196,0.409537506965975,1222160.75,40881,10.0869070155235,26.8674480537895,10.0872283417986,26.8237638241731,10.0825769467991,26.7901434321345,10.0778531224075,26.7557264092002
"29",29,"Idaho",10.0859623985716,26.9900901392963,26.9505336584459,10.0862740927823,43.617775,-116.199722,3322.95901275196,0.394232626792129,1228520,40999,10.0865889489742,26.9096775963229,10.0869070155235,26.8674480537895,10.0872283417986,26.8237638241731,10.0825769467991,26.7901434321345
"30",30,"Idaho",10.0950452540539,27.0166289301802,26.9900901392963,10.0859623985716,43.617775,-116.199722,3322.95901275196,0.412855963444575,1234472.5,41548,10.0862740927823,26.9505336584459,10.0865889489742,26.9096775963229,10.0869070155235,26.8674480537895,10.0872283417986,26.8237638241731
"31",31,"Idaho",10.1039603490251,27.0425924861986,27.0166289301802,10.0950452540539,43.617775,-116.199722,3322.95901275196,0.421899483375993,1240425,42153,10.0859623985716,26.9900901392963,10.0862740927823,26.9505336584459,10.0865889489742,26.9096775963229,10.0869070155235,26.8674480537895
"32",32,"Idaho",10.1127126334525,27.0680011172239,27.0425924861986,10.1039603490251,43.617775,-116.199722,3322.95901275196,0.415511619339513,1246377.5,42679,10.0950452540539,27.0166289301802,10.0859623985716,26.9900901392963,10.0862740927823,26.9505336584459,10.0865889489742,26.9096775963229
"33",33,"Idaho",10.1213068531794,27.0928739632874,27.0680011172239,10.1127126334525,43.617775,-116.199722,3322.95901275196,0.400663829288872,1252330,42683,10.1039603490251,27.0425924861986,10.0950452540539,27.0166289301802,10.0859623985716,26.9900901392963,10.0862740927823,26.9505336584459
"34",34,"Idaho",10.1417088157079,27.1231886030745,27.0928739632874,10.1213068531794,43.617775,-116.199722,3322.95901275196,0.415351922295362,1258166,42776,10.1127126334525,27.0680011172239,10.1039603490251,27.0425924861986,10.0950452540539,27.0166289301802,10.0859623985716,26.9900901392963
"35",35,"Idaho",10.1615200355411,27.1528824231894,27.1231886030745,10.1417088157079,43.617775,-116.199722,3322.95901275196,0.426412827405864,1264002,43039,10.1213068531794,27.0928739632874,10.1127126334525,27.0680011172239,10.1039603490251,27.0425924861986,10.0950452540539,27.0166289301802
"36",36,"Idaho",10.1807695293478,27.1819796956895,27.1528824231894,10.1615200355411,43.617775,-116.199722,3322.95901275196,0.421363722511585,1269838,43304,10.1417088157079,27.1231886030745,10.1213068531794,27.0928739632874,10.1127126334525,27.0680011172239,10.1039603490251,27.0425924861986
"37",37,"Idaho",10.1994842741049,27.2105032405872,27.1819796956895,10.1807695293478,43.617775,-116.199722,3322.95901275196,0.404207239989736,1275674,43356,10.1615200355411,27.1528824231894,10.1417088157079,27.1231886030745,10.1213068531794,27.0928739632874,10.1127126334525,27.0680011172239
"38",38,"Idaho",10.201732196659,27.2185494392109,27.2105032405872,10.1994842741049,43.617775,-116.199722,3322.95901275196,0.423413568162412,1281613,43911,10.1807695293478,27.1819796956895,10.1615200355411,27.1528824231894,10.1417088157079,27.1231886030745,10.1213068531794,27.0928739632874
"39",39,"Idaho",10.2039544092074,27.226331727472,27.2185494392109,10.201732196659,43.617775,-116.199722,3322.95901275196,0.432243513271697,1287552,44406,10.1994842741049,27.2105032405872,10.1807695293478,27.1819796956895,10.1615200355411,27.1528824231894,10.1417088157079,27.1231886030745
"40",40,"Idaho",10.2061513557128,27.233859421412,27.226331727472,10.2039544092074,43.617775,-116.199722,3322.95901275196,0.427345583901756,1293491,44700,10.201732196659,27.2185494392109,10.1994842741049,27.2105032405872,10.1807695293478,27.1819796956895,10.1615200355411,27.1528824231894
"41",41,"Idaho",10.2083234698557,27.2411410892989,27.233859421412,10.2061513557128,43.617775,-116.199722,3322.95901275196,0.411064081943621,1299430,44618,10.2039544092074,27.226331727472,10.201732196659,27.2185494392109,10.1994842741049,27.2105032405872,10.1807695293478,27.1819796956895
