"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Louisiana",10.0090248559607,40.1897636715419,40.1355162725608,10.0248610719596,30.457069,-91.187393,4378.62531669327,0.368638498533578,4263210,94670,10.0244721028841,40.1030585101394,10.0240815245065,40.0700157440451,10.0236893267888,40.036369626506,10.023295499609,40.0021005832344
"7",7,"Louisiana",9.99300920829475,40.2428532288318,40.1897636715419,10.0090248559607,30.457069,-91.187393,4378.62531669327,0.367384787911281,4273141,94973,10.0248610719596,40.1355162725608,10.0244721028841,40.1030585101394,10.0240815245065,40.0700157440451,10.0236893267888,40.036369626506
"8",8,"Louisiana",9.97680897236025,40.2948296206667,40.2428532288318,9.99300920829475,30.457069,-91.187393,4378.62531669327,0.369957357709607,4283072,94815,10.0090248559607,40.1897636715419,10.0248610719596,40.1355162725608,10.0244721028841,40.1030585101394,10.0240815245065,40.0700157440451
"9",9,"Louisiana",9.96041877505862,40.3457349352743,40.2948296206667,9.97680897236025,30.457069,-91.187393,4378.62531669327,0.361774263842816,4293003,95791,9.99300920829475,40.2428532288318,10.0090248559607,40.1897636715419,10.0248610719596,40.1355162725608,10.0244721028841,40.1030585101394
"10",10,"Louisiana",9.97264962126534,40.3866056247868,40.3457349352743,9.96041877505862,30.457069,-91.187393,4378.62531669327,0.369277500769536,4298859.25,96322,9.97680897236025,40.2948296206667,9.99300920829475,40.2428532288318,10.0090248559607,40.1897636715419,10.0248610719596,40.1355162725608
"11",11,"Louisiana",9.98470000068372,40.4266772413198,40.3866056247868,9.97264962126534,30.457069,-91.187393,4378.62531669327,0.366763610742684,4304715.5,94795,9.96041877505862,40.3457349352743,9.97680897236025,40.2948296206667,9.99300920829475,40.2428532288318,10.0090248559607,40.1897636715419
"12",12,"Louisiana",9.99657473421198,40.4659790733586,40.4266772413198,9.98470000068372,30.457069,-91.187393,4378.62531669327,0.372828809387834,4310571.75,95126,9.97264962126534,40.3866056247868,9.96041877505862,40.3457349352743,9.97680897236025,40.2948296206667,9.99300920829475,40.2428532288318
"13",13,"Louisiana",10.0082784536602,40.504538725154,40.4659790733586,9.99657473421198,30.457069,-91.187393,4378.62531669327,0.365775899269797,4316428,95061,9.98470000068372,40.4266772413198,9.97264962126534,40.3866056247868,9.96041877505862,40.3457349352743,9.97680897236025,40.2948296206667
"14",14,"Louisiana",10.0303250398739,40.5680538648401,40.504538725154,10.0082784536602,30.457069,-91.187393,4378.62531669327,0.373680280676762,4324191.25,96911,9.99657473421198,40.4659790733586,9.98470000068372,40.4266772413198,9.97264962126534,40.3866056247868,9.96041877505862,40.3457349352743
"15",15,"Louisiana",10.0518195509791,40.6300571107674,40.5680538648401,10.0303250398739,30.457069,-91.187393,4378.62531669327,0.373477914722635,4331954.5,97828,10.0082784536602,40.504538725154,9.99657473421198,40.4659790733586,9.98470000068372,40.4266772413198,9.97264962126534,40.3866056247868
"16",16,"Louisiana",10.0727872528558,40.6906141606849,40.6300571107674,10.0518195509791,30.457069,-91.187393,4378.62531669327,0.379620617800163,4339717.75,97955,10.0303250398739,40.5680538648401,10.0082784536602,40.504538725154,9.99657473421198,40.4659790733586,9.98470000068372,40.4266772413198
"17",17,"Louisiana",10.0932517238266,40.7497864500287,40.6906141606849,10.0727872528558,30.457069,-91.187393,4378.62531669327,0.375857038439808,4347481,99980,10.0518195509791,40.6300571107674,10.0303250398739,40.5680538648401,10.0082784536602,40.504538725154,9.99657473421198,40.4659790733586
"18",18,"Louisiana",10.1097336007417,40.7924041831062,40.7497864500287,10.0932517238266,30.457069,-91.187393,4378.62531669327,0.382132397677576,4355305.5,102741,10.0727872528558,40.6906141606849,10.0518195509791,40.6300571107674,10.0303250398739,40.5680538648401,10.0082784536602,40.504538725154
"19",19,"Louisiana",10.1258905354589,40.8342384630388,40.7924041831062,10.1097336007417,30.457069,-91.187393,4378.62531669327,0.385616365621316,4363130,103174,10.0932517238266,40.7497864500287,10.0727872528558,40.6906141606849,10.0518195509791,40.6300571107674,10.0303250398739,40.5680538648401
"20",20,"Louisiana",10.1417340917559,40.8753154644793,40.8342384630388,10.1258905354589,30.457069,-91.187393,4378.62531669327,0.391477879717119,4370954.5,103284,10.1097336007417,40.7924041831062,10.0932517238266,40.7497864500287,10.0727872528558,40.6906141606849,10.0518195509791,40.6300571107674
"21",21,"Louisiana",10.1572752316354,40.9156600441082,40.8753154644793,10.1417340917559,30.457069,-91.187393,4378.62531669327,0.385823232153682,4378779,102961,10.1258905354589,40.8342384630388,10.1097336007417,40.7924041831062,10.0932517238266,40.7497864500287,10.0727872528558,40.6906141606849
"22",22,"Louisiana",10.1691789894204,40.9633490731989,40.9156600441082,10.1572752316354,30.457069,-91.187393,4378.62531669327,0.392351223467627,4383803.5,104184,10.1417340917559,40.8753154644793,10.1258905354589,40.8342384630388,10.1097336007417,40.7924041831062,10.0932517238266,40.7497864500287
"23",23,"Louisiana",10.1809159353738,41.0101341223509,40.9633490731989,10.1691789894204,30.457069,-91.187393,4378.62531669327,0.394335496097516,4388828,105680,10.1572752316354,40.9156600441082,10.1417340917559,40.8753154644793,10.1258905354589,40.8342384630388,10.1097336007417,40.7924041831062
"24",24,"Louisiana",10.1924903432462,41.056047790296,41.0101341223509,10.1809159353738,30.457069,-91.187393,4378.62531669327,0.397277787545212,4393852.5,104097,10.1691789894204,40.9633490731989,10.1572752316354,40.9156600441082,10.1417340917559,40.8753154644793,10.1258905354589,40.8342384630388
"25",25,"Louisiana",10.2039063256583,41.1011208298212,41.056047790296,10.1924903432462,30.457069,-91.187393,4378.62531669327,0.391461881445348,4398877,105683,10.1809159353738,41.0101341223509,10.1691789894204,40.9633490731989,10.1572752316354,40.9156600441082,10.1417340917559,40.8753154644793
"26",26,"Louisiana",10.2009082583978,41.15970138149,41.1011208298212,10.2039063256583,30.457069,-91.187393,4378.62531669327,0.400086080087706,4404425.5,106519,10.1924903432462,41.056047790296,10.1809159353738,41.0101341223509,10.1691789894204,40.9633490731989,10.1572752316354,40.9156600441082
"27",27,"Louisiana",10.1979087539006,41.2165942044014,41.15970138149,10.2009082583978,30.457069,-91.187393,4378.62531669327,0.39922011633931,4409974,106598,10.2039063256583,41.1011208298212,10.1924903432462,41.056047790296,10.1809159353738,41.0101341223509,10.1691789894204,40.9633490731989
"28",28,"Louisiana",10.19490779763,41.271886284736,41.2165942044014,10.1979087539006,30.457069,-91.187393,4378.62531669327,0.404126502960106,4415522.5,107004,10.2009082583978,41.15970138149,10.2039063256583,41.1011208298212,10.1924903432462,41.056047790296,10.1809159353738,41.0101341223509
"29",29,"Louisiana",10.191905375009,41.3256574115869,41.271886284736,10.19490779763,30.457069,-91.187393,4378.62531669327,0.397813561465084,4421071,107528,10.1979087539006,41.2165942044014,10.2009082583978,41.15970138149,10.2039063256583,41.1011208298212,10.1924903432462,41.056047790296
"30",30,"Louisiana",10.196122752551,41.3648394329309,41.3256574115869,10.191905375009,30.457069,-91.187393,4378.62531669327,0.406783262067994,4425889.25,107521,10.19490779763,41.271886284736,10.1979087539006,41.2165942044014,10.2009082583978,41.15970138149,10.2039063256583,41.1011208298212
"31",31,"Louisiana",10.2003133036019,41.4033114317039,41.3648394329309,10.196122752551,30.457069,-91.187393,4378.62531669327,0.404447446222377,4430707.5,108691,10.191905375009,41.3256574115869,10.19490779763,41.271886284736,10.1979087539006,41.2165942044014,10.2009082583978,41.15970138149
"32",32,"Louisiana",10.2044773197591,41.441096415872,41.4033114317039,10.2003133036019,30.457069,-91.187393,4378.62531669327,0.413207911899358,4435525.75,109484,10.196122752551,41.3648394329309,10.191905375009,41.3256574115869,10.19490779763,41.271886284736,10.1979087539006,41.2165942044014
"33",33,"Louisiana",10.2086150880188,41.4782161771307,41.441096415872,10.2044773197591,30.457069,-91.187393,4378.62531669327,0.407434499068841,4440344,110762,10.2003133036019,41.4033114317039,10.196122752551,41.3648394329309,10.191905375009,41.3256574115869,10.19490779763,41.271886284736
"34",34,"Louisiana",10.2195566822719,41.5245671801271,41.4782161771307,10.2086150880188,30.457069,-91.187393,4378.62531669327,0.416510782000118,4445460.75,113225,10.2044773197591,41.441096415872,10.2003133036019,41.4033114317039,10.196122752551,41.3648394329309,10.191905375009,41.3256574115869
"35",35,"Louisiana",10.2303551000881,41.570111227142,41.5245671801271,10.2195566822719,30.457069,-91.187393,4378.62531669327,0.41299082347553,4450577.5,114323,10.2086150880188,41.4782161771307,10.2044773197591,41.441096415872,10.2003133036019,41.4033114317039,10.196122752551,41.3648394329309
"36",36,"Louisiana",10.2410137509505,41.614875247877,41.570111227142,10.2303551000881,30.457069,-91.187393,4378.62531669327,0.415977674709914,4455694.25,114062,10.2195566822719,41.5245671801271,10.2086150880188,41.4782161771307,10.2044773197591,41.441096415872,10.2003133036019,41.4033114317039
"37",37,"Louisiana",10.2515359248774,41.6588847682136,41.614875247877,10.2410137509505,30.457069,-91.187393,4378.62531669327,0.409795662716936,4460811,114850,10.2303551000881,41.570111227142,10.2195566822719,41.5245671801271,10.2086150880188,41.4782161771307,10.2044773197591,41.441096415872
"38",38,"Louisiana",10.261100317009,41.66790094264,41.6588847682136,10.2515359248774,30.457069,-91.187393,4378.62531669327,0.414401117608263,4463579.5,115542,10.2410137509505,41.614875247877,10.2303551000881,41.570111227142,10.2195566822719,41.5245671801271,10.2086150880188,41.4782161771307
"39",39,"Louisiana",10.2705624081042,41.6766664252584,41.66790094264,10.261100317009,30.457069,-91.187393,4378.62531669327,0.412124924733436,4466348,117419,10.2515359248774,41.6588847682136,10.2410137509505,41.614875247877,10.2303551000881,41.570111227142,10.2195566822719,41.5245671801271
"40",40,"Louisiana",10.2799242476372,41.6851894235798,41.6766664252584,10.2705624081042,30.457069,-91.187393,4378.62531669327,0.417621394892406,4469116.5,116639,10.261100317009,41.66790094264,10.2515359248774,41.6588847682136,10.2410137509505,41.614875247877,10.2303551000881,41.570111227142
