"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Maryland",10.0797906117407,66.1610877524519,66.0850209261688,10.0737928124534,38.978764,-76.490936,5840.29598765699,0.425461787221478,4881572.75,124365,10.0716528438316,66.0342921326128,10.0694932135744,65.9826356631404,10.0673136443536,65.9300189562466,10.0651138535069,65.8764073407805
"7",7,"Maryland",10.0857188183387,66.2357246950828,66.1610877524519,10.0797906117407,38.978764,-76.490936,5840.29598765699,0.416640681942654,4895504.5,125482,10.0737928124534,66.0850209261688,10.0716528438316,66.0342921326128,10.0694932135744,65.9826356631404,10.0673136443536,65.9300189562466
"8",8,"Maryland",10.0915787388732,66.3089804698725,66.2357246950828,10.0857188183387,38.978764,-76.490936,5840.29598765699,0.421167433769339,4909436.25,125262,10.0797906117407,66.1610877524519,10.0737928124534,66.0850209261688,10.0716528438316,66.0342921326128,10.0694932135744,65.9826356631404
"9",9,"Maryland",10.0973716453496,66.3809011563607,66.3089804698725,10.0915787388732,38.978764,-76.490936,5840.29598765699,0.407068426870928,4923368,127339,10.0857188183387,66.2357246950828,10.0797906117407,66.1610877524519,10.0737928124534,66.0850209261688,10.0716528438316,66.0342921326128
"10",10,"Maryland",10.1073400974309,66.4326922855896,66.3809011563607,10.0973716453496,38.978764,-76.490936,5840.29598765699,0.416196210112458,4935498.25,126370,10.0915787388732,66.3089804698725,10.0857188183387,66.2357246950828,10.0797906117407,66.1610877524519,10.0737928124534,66.0850209261688
"11",11,"Maryland",10.117161998907,66.4836815413271,66.4326922855896,10.1073400974309,38.978764,-76.490936,5840.29598765699,0.410262209460553,4947628.5,127586,10.0973716453496,66.3809011563607,10.0915787388732,66.3089804698725,10.0857188183387,66.2357246950828,10.0797906117407,66.1610877524519
"12",12,"Maryland",10.1268410214629,66.5338930207295,66.4836815413271,10.117161998907,38.978764,-76.490936,5840.29598765699,0.41604584093934,4959758.75,128664,10.1073400974309,66.4326922855896,10.0973716453496,66.3809011563607,10.0915787388732,66.3089804698725,10.0857188183387,66.2357246950828
"13",13,"Maryland",10.136380703945,66.5833496298644,66.5338930207295,10.1268410214629,38.978764,-76.490936,5840.29598765699,0.404672013661876,4971889,130808,10.117161998907,66.4836815413271,10.1073400974309,66.4326922855896,10.0973716453496,66.3809011563607,10.0915787388732,66.3089804698725
"14",14,"Maryland",10.1492196909191,66.679397873939,66.5833496298644,10.136380703945,38.978764,-76.490936,5840.29598765699,0.416983692088266,4984681.75,130699,10.1268410214629,66.5338930207295,10.117161998907,66.4836815413271,10.1073400974309,66.4326922855896,10.0973716453496,66.3809011563607
"15",15,"Maryland",10.1618314348532,66.7734070559963,66.679397873939,10.1492196909191,38.978764,-76.490936,5840.29598765699,0.412581328162188,4997474.5,131968,10.136380703945,66.5833496298644,10.1268410214629,66.5338930207295,10.117161998907,66.4836815413271,10.1073400974309,66.4326922855896
"16",16,"Maryland",10.1742228929179,66.8654590725771,66.7734070559963,10.1618314348532,38.978764,-76.490936,5840.29598765699,0.419568570252748,5010267.25,133831,10.1492196909191,66.679397873939,10.136380703945,66.5833496298644,10.1268410214629,66.5338930207295,10.117161998907,66.4836815413271
"17",17,"Maryland",10.186400713643,66.955630815367,66.8654590725771,10.1742228929179,38.978764,-76.490936,5840.29598765699,0.405442764636165,5023060,135642,10.1618314348532,66.7734070559963,10.1492196909191,66.679397873939,10.136380703945,66.5833496298644,10.1268410214629,66.5338930207295
"18",18,"Maryland",10.1948076056762,67.0330302387689,66.955630815367,10.186400713643,38.978764,-76.490936,5840.29598765699,0.421012347073013,5034803.25,137082,10.1742228929179,66.8654590725771,10.1618314348532,66.7734070559963,10.1492196909191,66.679397873939,10.136380703945,66.5833496298644
"19",19,"Maryland",10.2031057719365,67.1090325698202,67.0330302387689,10.1948076056762,38.978764,-76.490936,5840.29598765699,0.415570859530704,5046546.5,133351,10.186400713643,66.955630815367,10.1742228929179,66.8654590725771,10.1618314348532,66.7734070559963,10.1492196909191,66.679397873939
"20",20,"Maryland",10.211297588341,67.1836850324485,67.1090325698202,10.2031057719365,38.978764,-76.490936,5840.29598765699,0.423897490912483,5058289.75,134434,10.1948076056762,67.0330302387689,10.186400713643,66.955630815367,10.1742228929179,66.8654590725771,10.1618314348532,66.7734070559963
"21",21,"Maryland",10.219385356015,67.2570324203384,67.1836850324485,10.211297588341,38.978764,-76.490936,5840.29598765699,0.414377710493535,5070033,135033,10.2031057719365,67.1090325698202,10.1948076056762,67.0330302387689,10.186400713643,66.955630815367,10.1742228929179,66.8654590725771
"22",22,"Maryland",10.22796340799,67.3328784219079,67.2570324203384,10.219385356015,38.978764,-76.490936,5840.29598765699,0.42533371944857,5080521.25,136177,10.211297588341,67.1836850324485,10.2031057719365,67.1090325698202,10.1948076056762,67.0330302387689,10.186400713643,66.955630815367
"23",23,"Maryland",10.2364336068107,67.4074015076932,67.3328784219079,10.22796340799,38.978764,-76.490936,5840.29598765699,0.41827932161588,5091009.5,138056,10.219385356015,67.2570324203384,10.211297588341,67.1836850324485,10.2031057719365,67.1090325698202,10.1948076056762,67.0330302387689
