"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Missouri",9.969256906075,49.4785088731337,49.415027318553,9.95756088095635,38.579201,-92.172935,4637.95260210293,0.434129826215627,5182375.25,137052,9.94669105726592,49.3783735850694,9.93565680654128,49.3410853479321,9.92445368214249,49.3031430538995,9.91307705785487,49.2645258292708
"7",7,"Missouri",9.98076648068217,49.5405821809191,49.4785088731337,9.969256906075,38.579201,-92.172935,4637.95260210293,0.450147724742467,5193950.5,140561,9.95756088095635,49.415027318553,9.94669105726592,49.3783735850694,9.93565680654128,49.3410853479321,9.92445368214249,49.3031430538995
"8",8,"Missouri",9.99209477242631,49.6012997710207,49.5405821809191,9.98076648068217,38.579201,-92.172935,4637.95260210293,0.434450577190338,5205525.75,138335,9.969256906075,49.4785088731337,9.95756088095635,49.415027318553,9.94669105726592,49.3783735850694,9.93565680654128,49.3410853479321
"9",9,"Missouri",10.00324674088,49.6607110845648,49.6012997710207,9.99209477242631,38.579201,-92.172935,4637.95260210293,0.430618396436386,5217101,139490,9.98076648068217,49.5405821809191,9.969256906075,49.4785088731337,9.95756088095635,49.415027318553,9.94669105726592,49.3783735850694
"10",10,"Missouri",10.0084738551222,49.7079217536322,49.6607110845648,10.00324674088,38.579201,-92.172935,4637.95260210293,0.436473856809249,5230619.5,140214,9.99209477242631,49.6012997710207,9.98076648068217,49.5405821809191,9.969256906075,49.4785088731337,9.95756088095635,49.415027318553
"11",11,"Missouri",10.013647048784,49.7542644164737,49.7079217536322,10.0084738551222,38.579201,-92.172935,4637.95260210293,0.431708636703814,5244138,140958,10.00324674088,49.6607110845648,9.99209477242631,49.6012997710207,9.98076648068217,49.5405821809191,9.969256906075,49.4785088731337
"12",12,"Missouri",10.0187672200802,49.7997697087573,49.7542644164737,10.013647048784,38.579201,-92.172935,4637.95260210293,0.437273653512105,5257656.5,141530,10.0084738551222,49.7079217536322,10.00324674088,49.6607110845648,9.99209477242631,49.6012997710207,9.98076648068217,49.5405821809191
"13",13,"Missouri",10.0238352461261,49.844466530311,49.7997697087573,10.0187672200802,38.579201,-92.172935,4637.95260210293,0.425882717483926,5271175,141229,10.013647048784,49.7542644164737,10.0084738551222,49.7079217536322,10.00324674088,49.6607110845648,9.99209477242631,49.6012997710207
"14",14,"Missouri",10.0455310371323,49.926342287371,49.844466530311,10.0238352461261,38.579201,-92.172935,4637.95260210293,0.442112070214832,5284505.5,142165,10.0187672200802,49.7997697087573,10.013647048784,49.7542644164737,10.0084738551222,49.7079217536322,10.00324674088,49.6607110845648
"15",15,"Missouri",10.0666603560317,50.0062712590058,49.926342287371,10.0455310371323,38.579201,-92.172935,4637.95260210293,0.437403561252808,5297836,142778,10.0238352461261,49.844466530311,10.0187672200802,49.7997697087573,10.013647048784,49.7542644164737,10.0084738551222,49.7079217536322
"16",16,"Missouri",10.0872496409601,50.0843386158666,50.0062712590058,10.0666603560317,38.579201,-92.172935,4637.95260210293,0.446384926299461,5311166.5,143997,10.0455310371323,49.926342287371,10.0238352461261,49.844466530311,10.0187672200802,49.7997697087573,10.013647048784,49.7542644164737
"17",17,"Missouri",10.1073235369168,50.1606239598228,50.0843386158666,10.0872496409601,38.579201,-92.172935,4637.95260210293,0.432215850624012,5324497,145050,10.0666603560317,50.0062712590058,10.0455310371323,49.926342287371,10.0238352461261,49.844466530311,10.0187672200802,49.7997697087573
"18",18,"Missouri",10.1228162777477,50.2093212232231,50.1606239598228,10.1073235369168,38.579201,-92.172935,4637.95260210293,0.451352047625662,5337934.5,146488,10.0872496409601,50.0843386158666,10.0666603560317,50.0062712590058,10.0455310371323,49.926342287371,10.0238352461261,49.844466530311
"19",19,"Missouri",10.1379966108231,50.257185453382,50.2093212232231,10.1228162777477,38.579201,-92.172935,4637.95260210293,0.448546092478714,5351372,147383,10.1073235369168,50.1606239598228,10.0872496409601,50.0843386158666,10.0666603560317,50.0062712590058,10.0455310371323,49.926342287371
"20",20,"Missouri",10.1528755888818,50.304243117542,50.257185453382,10.1379966108231,38.579201,-92.172935,4637.95260210293,0.456378056542983,5364809.5,148417,10.1228162777477,50.2093212232231,10.1073235369168,50.1606239598228,10.0872496409601,50.0843386158666,10.0666603560317,50.0062712590058
"21",21,"Missouri",10.1674636965633,50.3505193887789,50.304243117542,10.1528755888818,38.579201,-92.172935,4637.95260210293,0.44497150589526,5378247,149670,10.1379966108231,50.257185453382,10.1228162777477,50.2093212232231,10.1073235369168,50.1606239598228,10.0872496409601,50.0843386158666
"22",22,"Missouri",10.1795141351533,50.4138033218519,50.3505193887789,10.1674636965633,38.579201,-92.172935,4637.95260210293,0.457818111911115,5391573.5,150209,10.1528755888818,50.304243117542,10.1379966108231,50.257185453382,10.1228162777477,50.2093212232231,10.1073235369168,50.1606239598228
"23",23,"Missouri",10.1913627181502,50.4758951812652,50.4138033218519,10.1795141351533,38.579201,-92.172935,4637.95260210293,0.452719445934862,5404900,151235,10.1674636965633,50.3505193887789,10.1528755888818,50.304243117542,10.1379966108231,50.257185453382,10.1228162777477,50.2093212232231
"24",24,"Missouri",10.2030152865856,50.536837806791,50.4758951812652,10.1913627181502,38.579201,-92.172935,4637.95260210293,0.457331133474517,5418226.5,151519,10.1795141351533,50.4138033218519,10.1674636965633,50.3505193887789,10.1528755888818,50.304243117542,10.1379966108231,50.257185453382
"25",25,"Missouri",10.2144774365454,50.5966716416405,50.536837806791,10.2030152865856,38.579201,-92.172935,4637.95260210293,0.447414517849069,5431553,152500,10.1913627181502,50.4758951812652,10.1795141351533,50.4138033218519,10.1674636965633,50.3505193887789,10.1528755888818,50.304243117542
"26",26,"Missouri",10.2376168791067,50.6723520724908,50.5966716416405,10.2144774365454,38.579201,-92.172935,4637.95260210293,0.46063348826336,5443963,153262,10.2030152865856,50.536837806791,10.1913627181502,50.4758951812652,10.1795141351533,50.4138033218519,10.1674636965633,50.3505193887789
"27",27,"Missouri",10.2601312481229,50.7459179785569,50.6723520724908,10.2376168791067,38.579201,-92.172935,4637.95260210293,0.457125884416871,5456373,153690,10.2144774365454,50.5966716416405,10.2030152865856,50.536837806791,10.1913627181502,50.4758951812652,10.1795141351533,50.4138033218519
"28",28,"Missouri",10.2820510175426,50.8174749584466,50.7459179785569,10.2601312481229,38.579201,-92.172935,4637.95260210293,0.46363630323846,5468783,154380,10.2376168791067,50.6723520724908,10.2144774365454,50.5966716416405,10.2030152865856,50.536837806791,10.1913627181502,50.4758951812652
"29",29,"Missouri",10.3034045000871,50.8871200836496,50.8174749584466,10.2820510175426,38.579201,-92.172935,4637.95260210293,0.455277953783662,5481193,154518,10.2601312481229,50.7459179785569,10.2376168791067,50.6723520724908,10.2144774365454,50.5966716416405,10.2030152865856,50.536837806791
