"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"North_Carolina",9.99702270354133,32.9930984362446,32.951390721399,9.97926427404189,35.78043,-78.639099,4450.83371671451,0.44499415181587,6812513.5,159635,9.97218046750885,32.9257477893589,9.96498209199715,32.8995939030443,9.95766615428476,32.872912400991,9.95022954998282,32.8456853208383
"7",7,"North_Carolina",10.0143284757592,33.0338549114836,32.9930984362446,9.99702270354133,35.78043,-78.639099,4450.83371671451,0.444972408227737,6840747,161080,9.97926427404189,32.951390721399,9.97218046750885,32.9257477893589,9.96498209199715,32.8995939030443,9.95766615428476,32.872912400991
"8",8,"North_Carolina",10.0312011756718,33.0736973765705,33.0338549114836,10.0143284757592,35.78043,-78.639099,4450.83371671451,0.447663570064485,6868980.5,163000,9.99702270354133,32.9930984362446,9.97926427404189,32.951390721399,9.97218046750885,32.9257477893589,9.96498209199715,32.8995939030443
"9",9,"North_Carolina",10.047659173142,33.1126608176748,33.0736973765705,10.0312011756718,35.78043,-78.639099,4450.83371671451,0.437354802484984,6897214,162279,10.0143284757592,33.0338549114836,9.99702270354133,32.9930984362446,9.97926427404189,32.951390721399,9.97218046750885,32.9257477893589
"10",10,"North_Carolina",10.0559054148741,33.1479272614487,33.1126608176748,10.047659173142,35.78043,-78.639099,4450.83371671451,0.447791087333231,6933615,163238,10.0312011756718,33.0736973765705,10.0143284757592,33.0338549114836,9.99702270354133,32.9930984362446,9.97926427404189,32.951390721399
"11",11,"North_Carolina",10.0639991289186,33.1824408752046,33.1479272614487,10.0559054148741,35.78043,-78.639099,4450.83371671451,0.446269085561162,6970016,164451,10.047659173142,33.1126608176748,10.0312011756718,33.0736973765705,10.0143284757592,33.0338549114836,9.99702270354133,32.9930984362446
"12",12,"North_Carolina",10.0719447662807,33.2162322139365,33.1824408752046,10.0639991289186,35.78043,-78.639099,4450.83371671451,0.451647634827711,7006417,165618,10.0559054148741,33.1479272614487,10.047659173142,33.1126608176748,10.0312011756718,33.0736973765705,10.0143284757592,33.0338549114836
"13",13,"North_Carolina",10.0797465978648,33.2493298998301,33.2162322139365,10.0719447662807,35.78043,-78.639099,4450.83371671451,0.441883301068786,7042818,166673,10.0639991289186,33.1824408752046,10.0559054148741,33.1479272614487,10.047659173142,33.1126608176748,10.0312011756718,33.0736973765705
"14",14,"North_Carolina",10.0941989436539,33.3012840669817,33.2493298998301,10.0797465978648,35.78043,-78.639099,4450.83371671451,0.453142595414988,7078963,168474,10.0719447662807,33.2162322139365,10.0639991289186,33.1824408752046,10.0559054148741,33.1479272614487,10.047659173142,33.1126608176748
"15",15,"North_Carolina",10.1083016622504,33.3519659364658,33.3012840669817,10.0941989436539,35.78043,-78.639099,4450.83371671451,0.454141431631584,7115108,169945,10.0797465978648,33.2493298998301,10.0719447662807,33.2162322139365,10.0639991289186,33.1824408752046,10.0559054148741,33.1479272614487
