"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"North_Dakota",9.84399022488356,58.8653499574131,58.7984274945413,9.81951974986184,46.82085,-100.783318,6244.94433168539,0.394883169474386,636370.5,22101,9.81486083356823,58.7677508687211,9.8101872281293,58.736594668374,9.80549881268035,58.7049445333288,9.80079546493835,58.6727851584203
"7",7,"North_Dakota",9.86783040828622,58.931127725783,58.8653499574131,9.84399022488356,46.82085,-100.783318,6244.94433168539,0.394713872160857,636988,22098,9.81951974986184,58.7984274945413,9.81486083356823,58.7677508687211,9.8101872281293,58.736594668374,9.80549881268035,58.7049445333288
"8",8,"North_Dakota",9.8910708648887,58.995797444909,58.931127725783,9.86783040828622,46.82085,-100.783318,6244.94433168539,0.401446244320875,637605.5,22243,9.84399022488356,58.8653499574131,9.81951974986184,58.7984274945413,9.81486083356823,58.7677508687211,9.8101872281293,58.736594668374
"9",9,"North_Dakota",9.9137399916745,59.0593938825874,58.995797444909,9.8910708648887,46.82085,-100.783318,6244.94433168539,0.390366167729252,638223,22130,9.86783040828622,58.931127725783,9.84399022488356,58.8653499574131,9.81951974986184,58.7984274945413,9.81486083356823,58.7677508687211
"10",10,"North_Dakota",9.91552992851236,59.1068161715199,59.0593938825874,9.9137399916745,46.82085,-100.783318,6244.94433168539,0.404616013631286,638971.25,22208,9.8910708648887,58.995797444909,9.86783040828622,58.931127725783,9.84399022488356,58.8653499574131,9.81951974986184,58.7984274945413
"11",11,"North_Dakota",9.91731249119361,59.1535476625933,59.1068161715199,9.91552992851236,46.82085,-100.783318,6244.94433168539,0.403589385660434,639719.5,22251,9.9137399916745,59.0593938825874,9.8910708648887,58.995797444909,9.86783040828622,58.931127725783,9.84399022488356,58.8653499574131
"12",12,"North_Dakota",9.91908772800915,59.19960860433,59.1535476625933,9.91731249119361,46.82085,-100.783318,6244.94433168539,0.412167513508682,640467.75,22353,9.91552992851236,59.1068161715199,9.9137399916745,59.0593938825874,9.8910708648887,58.995797444909,9.86783040828622,58.931127725783
"13",13,"North_Dakota",9.92085568680759,59.2450182440057,59.19960860433,9.91908772800915,46.82085,-100.783318,6244.94433168539,0.399268993079815,641216,22133,9.91731249119361,59.1535476625933,9.91552992851236,59.1068161715199,9.9137399916745,59.0593938825874,9.8910708648887,58.995797444909
"14",14,"North_Dakota",9.94321724255168,59.3240522427334,59.2450182440057,9.92085568680759,46.82085,-100.783318,6244.94433168539,0.41442186447972,642113,21774,9.91908772800915,59.19960860433,9.91731249119361,59.1535476625933,9.91552992851236,59.1068161715199,9.9137399916745,59.0593938825874
"15",15,"North_Dakota",9.96502931325457,59.4015589640964,59.3240522427334,9.94321724255168,46.82085,-100.783318,6244.94433168539,0.413394815010653,643010,21787,9.92085568680759,59.2450182440057,9.91908772800915,59.19960860433,9.91731249119361,59.1535476625933,9.91552992851236,59.1068161715199
"16",16,"North_Dakota",9.98631691065073,59.4775956977999,59.4015589640964,9.96502931325457,46.82085,-100.783318,6244.94433168539,0.421780888647998,643907,21909,9.94321724255168,59.3240522427334,9.92085568680759,59.2450182440057,9.91908772800915,59.19960860433,9.91731249119361,59.1535476625933
"17",17,"North_Dakota",10.0071033817483,59.5522163889791,59.4775956977999,9.98631691065073,46.82085,-100.783318,6244.94433168539,0.40903954276545,644804,21868,9.96502931325457,59.4015589640964,9.94321724255168,59.3240522427334,9.92085568680759,59.2450182440057,9.91908772800915,59.19960860433
"18",18,"North_Dakota",10.0152891017078,59.6232766184068,59.5522163889791,10.0071033817483,46.82085,-100.783318,6244.94433168539,0.426482289564167,645561,22070,9.98631691065073,59.4775956977999,9.96502931325457,59.4015589640964,9.94321724255168,59.3240522427334,9.92085568680759,59.2450182440057
"19",19,"North_Dakota",10.0233894167916,59.6930124422517,59.6232766184068,10.0152891017078,46.82085,-100.783318,6244.94433168539,0.426482010403547,646318,22188,10.0071033817483,59.5522163889791,9.98631691065073,59.4775956977999,9.96502931325457,59.4015589640964,9.94321724255168,59.3240522427334
"20",20,"North_Dakota",10.031405918309,59.7614713280132,59.6930124422517,10.0233894167916,46.82085,-100.783318,6244.94433168539,0.43574753055416,647075,22359,10.0152891017078,59.6232766184068,10.0071033817483,59.5522163889791,9.98631691065073,59.4775956977999,9.96502931325457,59.4015589640964
"21",21,"North_Dakota",10.0393401540327,59.8286981359253,59.7614713280132,10.031405918309,46.82085,-100.783318,6244.94433168539,0.423690092493116,647832,22062,10.0233894167916,59.6930124422517,10.0152891017078,59.6232766184068,10.0071033817483,59.5522163889791,9.98631691065073,59.4775956977999
"22",22,"North_Dakota",10.0657537396768,59.8967685708532,59.8286981359253,10.0393401540327,46.82085,-100.783318,6244.94433168539,0.438002095703807,648469.5,22241,10.031405918309,59.7614713280132,10.0233894167916,59.6930124422517,10.0152891017078,59.6232766184068,10.0071033817483,59.5522163889791
"23",23,"North_Dakota",10.0914376605078,59.9636867651771,59.8967685708532,10.0657537396768,46.82085,-100.783318,6244.94433168539,0.435782801089291,649107,22281,10.0393401540327,59.8286981359253,10.031405918309,59.7614713280132,10.0233894167916,59.6930124422517,10.0152891017078,59.6232766184068
"24",24,"North_Dakota",10.1164298736834,60.029490148035,59.9636867651771,10.0914376605078,46.82085,-100.783318,6244.94433168539,0.443030042321764,649744.5,22414,10.0657537396768,59.8967685708532,10.0393401540327,59.8286981359253,10.031405918309,59.7614713280132,10.0233894167916,59.6930124422517
"25",25,"North_Dakota",10.140765452937,60.0942142376085,60.029490148035,10.1164298736834,46.82085,-100.783318,6244.94433168539,1.00689287218896,650382,45038,10.0914376605078,59.9636867651771,10.0657537396768,59.8967685708532,10.0393401540327,59.8286981359253,10.031405918309,59.7614713280132
"26",26,"North_Dakota",10.1300157837621,60.2130753993242,60.0942142376085,10.140765452937,46.82085,-100.783318,6244.94433168539,1.03494508102826,650215.5,45397,10.1164298736834,60.029490148035,10.0914376605078,59.9636867651771,10.0657537396768,59.8967685708532,10.0393401540327,59.8286981359253
"27",27,"North_Dakota",10.1191437054376,60.3286615810283,60.2130753993242,10.1300157837621,46.82085,-100.783318,6244.94433168539,1.03318775456414,650049,45921,10.140765452937,60.0942142376085,10.1164298736834,60.029490148035,10.0914376605078,59.9636867651771,10.0657537396768,59.8967685708532
"28",28,"North_Dakota",10.1081464614232,60.4411435576196,60.3286615810283,10.1191437054376,46.82085,-100.783318,6244.94433168539,1.05145366021294,649882.5,45952,10.1300157837621,60.2130753993242,10.140765452937,60.0942142376085,10.1164298736834,60.029490148035,10.0914376605078,59.9636867651771
