"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Rhode_Island",9.98635129084668,69.3384728121655,69.255442844372,9.97622446137498,41.830914,-71.414963,5048.75064227311,0.417889718322303,1011132,29784,9.97652495840379,69.2208818466913,9.97682605833396,69.1858637302806,9.97712776299547,69.1503754782218,9.97743007422573,69.1144032279498
"7",7,"Rhode_Island",9.99636706944636,69.4200679959977,69.3384728121655,9.98635129084668,41.830914,-71.414963,5048.75064227311,0.409225182834708,1011615,29330,9.97622446137498,69.255442844372,9.97652495840379,69.2208818466913,9.97682605833396,69.1858637302806,9.97712776299547,69.1503754782218
"8",8,"Rhode_Island",10.0062741081261,69.5002771527553,69.4200679959977,9.99636706944636,41.830914,-71.414963,5048.75064227311,0.418504927388454,1012098,28567,9.98635129084668,69.3384728121655,9.97622446137498,69.255442844372,9.97652495840379,69.2208818466913,9.97682605833396,69.1858637302806
"9",9,"Rhode_Island",10.0160746465762,69.579146351458,69.5002771527553,10.0062741081261,41.830914,-71.414963,5048.75064227311,0.403160833553069,1012581,29287,9.99636706944636,69.4200679959977,9.98635129084668,69.3384728121655,9.97622446137498,69.255442844372,9.97652495840379,69.2208818466913
"10",10,"Rhode_Island",10.025339124769,69.6306339668652,69.579146351458,10.0160746465762,41.830914,-71.414963,5048.75064227311,0.416456382805043,1013213.75,29637,10.0062741081261,69.5002771527553,9.99636706944636,69.4200679959977,9.98635129084668,69.3384728121655,9.97622446137498,69.255442844372
"11",11,"Rhode_Island",10.0345071541248,69.6814151559831,69.6306339668652,10.025339124769,41.830914,-71.414963,5048.75064227311,0.410789338754272,1013846.5,29684,10.0160746465762,69.579146351458,10.0062741081261,69.5002771527553,9.99636706944636,69.4200679959977,9.98635129084668,69.3384728121655
"12",12,"Rhode_Island",10.0435806123511,69.7315096913726,69.6814151559831,10.0345071541248,41.830914,-71.414963,5048.75064227311,0.423411650197215,1014479.25,30112,10.025339124769,69.6306339668652,10.0160746465762,69.579146351458,10.0062741081261,69.5002771527553,9.99636706944636,69.4200679959977
"13",13,"Rhode_Island",10.0525613230395,69.7809363948193,69.7315096913726,10.0435806123511,41.830914,-71.414963,5048.75064227311,0.405715494119532,1015112,30353,10.0345071541248,69.6814151559831,10.025339124769,69.6306339668652,10.0160746465762,69.579146351458,10.0062741081261,69.5002771527553
"14",14,"Rhode_Island",10.0606772547532,69.882600695234,69.7809363948193,10.0525613230395,41.830914,-71.414963,5048.75064227311,0.420554095704097,1015324,31009,10.0435806123511,69.7315096913726,10.0345071541248,69.6814151559831,10.025339124769,69.6306339668652,10.0160746465762,69.579146351458
"15",15,"Rhode_Island",10.0687245003025,69.9822509464186,69.882600695234,10.0606772547532,41.830914,-71.414963,5048.75064227311,0.418945922809892,1015536,31256,10.0525613230395,69.7809363948193,10.0435806123511,69.7315096913726,10.0345071541248,69.6814151559831,10.025339124769,69.6306339668652
"16",16,"Rhode_Island",10.076704185258,70.0799630667507,69.9822509464186,10.0687245003025,41.830914,-71.414963,5048.75064227311,0.426821416335548,1015748,30949,10.0606772547532,69.882600695234,10.0525613230395,69.7809363948193,10.0435806123511,69.7315096913726,10.0345071541248,69.6814151559831
"17",17,"Rhode_Island",10.0846174077644,70.1758085902212,70.0799630667507,10.076704185258,41.830914,-71.414963,5048.75064227311,0.409207055395882,1015960,30942,10.0687245003025,69.9822509464186,10.0606772547532,69.882600695234,10.0525613230395,69.7809363948193,10.0435806123511,69.7315096913726
"18",18,"Rhode_Island",10.0965635227512,70.2633634298429,70.1758085902212,10.0846174077644,41.830914,-71.414963,5048.75064227311,0.424013948416379,1016220.5,31653,10.076704185258,70.0799630667507,10.0687245003025,69.9822509464186,10.0606772547532,69.882600695234,10.0525613230395,69.7809363948193
"19",19,"Rhode_Island",10.1083625959649,70.3492696097917,70.2633634298429,10.0965635227512,41.830914,-71.414963,5048.75064227311,0.418666294139618,1016481,31986,10.0846174077644,70.1758085902212,10.076704185258,70.0799630667507,10.0687245003025,69.9822509464186,10.0606772547532,69.882600695234
"20",20,"Rhode_Island",10.1200181320799,70.4335863354638,70.3492696097917,10.1083625959649,41.830914,-71.414963,5048.75064227311,0.429166443322451,1016741.5,30613,10.0965635227512,70.2633634298429,10.0846174077644,70.1758085902212,10.076704185258,70.0799630667507,10.0687245003025,69.9822509464186
"21",21,"Rhode_Island",10.131533511999,70.5163695587711,70.4335863354638,10.1200181320799,41.830914,-71.414963,5048.75064227311,0.416706817357947,1017002,30980,10.1083625959649,70.3492696097917,10.0965635227512,70.2633634298429,10.0846174077644,70.1758085902212,10.076704185258,70.0799630667507
"22",22,"Rhode_Island",10.1393839911324,70.6113095631523,70.5163695587711,10.131533511999,41.830914,-71.414963,5048.75064227311,0.428170738026655,1017974.75,30726,10.1200181320799,70.4335863354638,10.1083625959649,70.3492696097917,10.0965635227512,70.2633634298429,10.0846174077644,70.1758085902212
"23",23,"Rhode_Island",10.1471585053079,70.7044257045049,70.6113095631523,10.1393839911324,41.830914,-71.414963,5048.75064227311,0.423735275860631,1018947.5,30942,10.131533511999,70.5163695587711,10.1200181320799,70.4335863354638,10.1083625959649,70.3492696097917,10.0965635227512,70.2633634298429
"24",24,"Rhode_Island",10.1548583834185,70.7957855472778,70.7044257045049,10.1471585053079,41.830914,-71.414963,5048.75064227311,0.431382420994844,1019920.25,31041,10.1393839911324,70.6113095631523,10.131533511999,70.5163695587711,10.1200181320799,70.4335863354638,10.1083625959649,70.3492696097917
"25",25,"Rhode_Island",10.1624849201117,70.8854527589482,70.7957855472778,10.1548583834185,41.830914,-71.414963,5048.75064227311,0.41406265560315,1020893,30724,10.1471585053079,70.7044257045049,10.1393839911324,70.6113095631523,10.131533511999,70.5163695587711,10.1200181320799,70.4335863354638
"26",26,"Rhode_Island",10.1864786369831,71.021991446766,70.8854527589482,10.1624849201117,41.830914,-71.414963,5048.75064227311,0.428304540342802,1022008,31182,10.1548583834185,70.7957855472778,10.1471585053079,70.7044257045049,10.1393839911324,70.6113095631523,10.131533511999,70.5163695587711
"27",27,"Rhode_Island",10.2098596402987,71.1544314675802,71.021991446766,10.1864786369831,41.830914,-71.414963,5048.75064227311,0.424646889963377,1023123,31296,10.1624849201117,70.8854527589482,10.1548583834185,70.7957855472778,10.1471585053079,70.7044257045049,10.1393839911324,70.6113095631523
"28",28,"Rhode_Island",10.2326572587855,71.2829904475836,71.1544314675802,10.2098596402987,41.830914,-71.414963,5048.75064227311,0.431990416289964,1024238,31343,10.1864786369831,71.021991446766,10.1624849201117,70.8854527589482,10.1548583834185,70.7957855472778,10.1471585053079,70.7044257045049
"29",29,"Rhode_Island",10.2548987680282,71.4078680863967,71.2829904475836,10.2326572587855,41.830914,-71.414963,5048.75064227311,0.416935110802491,1025353,31222,10.2098596402987,71.1544314675802,10.1864786369831,71.021991446766,10.1624849201117,70.8854527589482,10.1548583834185,70.7957855472778
"30",30,"Rhode_Island",10.2674645834103,71.4859515657001,71.4078680863967,10.2548987680282,41.830914,-71.414963,5048.75064227311,0.435317630556057,1026803.5,31404,10.2326572587855,71.2829904475836,10.2098596402987,71.1544314675802,10.1864786369831,71.021991446766,10.1624849201117,70.8854527589482
"31",31,"Rhode_Island",10.2798396605173,71.5627568206822,71.4859515657001,10.2674645834103,41.830914,-71.414963,5048.75064227311,0.429354031202407,1028254,31759,10.2548987680282,71.4078680863967,10.2326572587855,71.2829904475836,10.2098596402987,71.1544314675802,10.1864786369831,71.021991446766
"32",32,"Rhode_Island",10.2920292359492,71.6383231766321,71.5627568206822,10.2798396605173,41.830914,-71.414963,5048.75064227311,0.437135119832923,1029704.5,31884,10.2674645834103,71.4859515657001,10.2548987680282,71.4078680863967,10.2326572587855,71.2829904475836,10.2098596402987,71.1544314675802
"33",33,"Rhode_Island",10.3040383353191,71.7126880276976,71.6383231766321,10.2920292359492,41.830914,-71.414963,5048.75064227311,0.421585180372172,1031155,31827,10.2798396605173,71.5627568206822,10.2674645834103,71.4859515657001,10.2548987680282,71.4078680863967,10.2326572587855,71.2829904475836
"34",34,"Rhode_Island",10.3147094261143,71.7920940270226,71.7126880276976,10.3040383353191,41.830914,-71.414963,5048.75064227311,0.436470742769421,1033466.75,32178,10.2920292359492,71.6383231766321,10.2798396605173,71.5627568206822,10.2674645834103,71.4859515657001,10.2548987680282,71.4078680863967
"35",35,"Rhode_Island",10.3252209622418,71.8701556588799,71.7920940270226,10.3147094261143,41.830914,-71.414963,5048.75064227311,0.433024049060682,1035778.5,32353,10.3040383353191,71.7126880276976,10.2920292359492,71.6383231766321,10.2798396605173,71.5627568206822,10.2674645834103,71.4859515657001
"36",36,"Rhode_Island",10.3355770636044,71.9469168064353,71.8701556588799,10.3252209622418,41.830914,-71.414963,5048.75064227311,0.440223124466619,1038090.25,32493,10.3147094261143,71.7920940270226,10.3040383353191,71.7126880276976,10.2920292359492,71.6383231766321,10.2798396605173,71.5627568206822
"37",37,"Rhode_Island",10.3457816957956,72.0224191193902,71.9469168064353,10.3355770636044,41.830914,-71.414963,5048.75064227311,0.423332839934307,1040402,32230,10.3252209622418,71.8701556588799,10.3147094261143,71.7920940270226,10.3040383353191,71.7126880276976,10.2920292359492,71.6383231766321
"38",38,"Rhode_Island",10.3520307822271,72.0544369891807,72.0224191193902,10.3457816957956,41.830914,-71.414963,5048.75064227311,0.440410591875518,1042868.5,32461,10.3355770636044,71.9469168064353,10.3252209622418,71.8701556588799,10.3147094261143,71.7920940270226,10.3040383353191,71.7126880276976
"39",39,"Rhode_Island",10.3582118436753,72.0859792242421,72.0544369891807,10.3520307822271,41.830914,-71.414963,5048.75064227311,0.438254084416319,1045335,32794,10.3457816957956,72.0224191193902,10.3355770636044,71.9469168064353,10.3252209622418,71.8701556588799,10.3147094261143,71.7920940270226
"40",40,"Rhode_Island",10.3643261010395,72.1170576401311,72.0859792242421,10.3582118436753,41.830914,-71.414963,5048.75064227311,0.447391991708353,1047801.5,32888,10.3520307822271,72.0544369891807,10.3457816957956,72.0224191193902,10.3355770636044,71.9469168064353,10.3252209622418,71.8701556588799
"41",41,"Rhode_Island",10.3703747439733,72.1476834811222,72.1170576401311,10.3643261010395,41.830914,-71.414963,5048.75064227311,0.431720919485947,1050268,32865,10.3582118436753,72.0859792242421,10.3520307822271,72.0544369891807,10.3457816957956,72.0224191193902,10.3355770636044,71.9469168064353
"42",42,"Rhode_Island",10.3790139968069,72.1914608643838,72.1476834811222,10.3703747439733,41.830914,-71.414963,5048.75064227311,0.447322913998104,1051986.5,33281,10.3643261010395,72.1170576401311,10.3582118436753,72.0859792242421,10.3520307822271,72.0544369891807,10.3457816957956,72.0224191193902
"43",43,"Rhode_Island",10.3875514323504,72.2347405422599,72.1914608643838,10.3790139968069,41.830914,-71.414963,5048.75064227311,0.443272389647324,1053705,33365,10.3703747439733,72.1476834811222,10.3643261010395,72.1170576401311,10.3582118436753,72.0859792242421,10.3520307822271,72.0544369891807
"44",44,"Rhode_Island",10.3959891457231,72.2775337704651,72.2347405422599,10.3875514323504,41.830914,-71.414963,5048.75064227311,0.452015707438767,1055423.5,33463,10.3790139968069,72.1914608643838,10.3703747439733,72.1476834811222,10.3643261010395,72.1170576401311,10.3582118436753,72.0859792242421
"45",45,"Rhode_Island",10.4043291691789,72.3198513936941,72.2775337704651,10.3959891457231,41.830914,-71.414963,5048.75064227311,0.436412831325719,1057142,33626,10.3875514323504,72.2347405422599,10.3790139968069,72.1914608643838,10.3703747439733,72.1476834811222,10.3643261010395,72.1170576401311
"46",46,"Rhode_Island",10.4171737950022,72.3750303913578,72.3198513936941,10.4043291691789,41.830914,-71.414963,5048.75064227311,0.447092700961269,1059355.25,33602,10.3959891457231,72.2775337704651,10.3875514323504,72.2347405422599,10.3790139968069,72.1914608643838,10.3703747439733,72.1476834811222
"47",47,"Rhode_Island",10.4298029790837,72.4294694940545,72.3750303913578,10.4171737950022,41.830914,-71.414963,5048.75064227311,0.440385147072469,1061568.5,33703,10.4043291691789,72.3198513936941,10.3959891457231,72.2775337704651,10.3875514323504,72.2347405422599,10.3790139968069,72.1914608643838
"48",48,"Rhode_Island",10.4422230791019,72.4831880240256,72.4294694940545,10.4298029790837,41.830914,-71.414963,5048.75064227311,0.444947784950563,1063781.75,33612,10.4171737950022,72.3750303913578,10.4043291691789,72.3198513936941,10.3959891457231,72.2775337704651,10.3875514323504,72.2347405422599
"49",49,"Rhode_Island",10.4544401793964,72.5362045233502,72.4831880240256,10.4422230791019,41.830914,-71.414963,5048.75064227311,0.429608331496239,1065995,34013,10.4298029790837,72.4294694940545,10.4171737950022,72.3750303913578,10.4043291691789,72.3198513936941,10.3959891457231,72.2775337704651
"50",50,"Rhode_Island",10.4704814046607,72.6068088238283,72.5362045233502,10.4544401793964,41.830914,-71.414963,5048.75064227311,0.443225516964774,1067331.75,34184,10.4422230791019,72.4831880240256,10.4298029790837,72.4294694940545,10.4171737950022,72.3750303913578,10.4043291691789,72.3198513936941
"51",51,"Rhode_Island",10.486230178795,72.6764354693048,72.6068088238283,10.4704814046607,41.830914,-71.414963,5048.75064227311,0.437536679210313,1068668.5,34256,10.4544401793964,72.5362045233502,10.4422230791019,72.4831880240256,10.4298029790837,72.4294694940545,10.4171737950022,72.3750303913578
"52",52,"Rhode_Island",10.5016963281448,72.7451108414531,72.6764354693048,10.486230178795,41.830914,-71.414963,5048.75064227311,0.444499376677513,1070005.25,34248,10.4704814046607,72.6068088238283,10.4544401793964,72.5362045233502,10.4422230791019,72.4831880240256,10.4298029790837,72.4294694940545
"53",53,"Rhode_Island",10.5168891941672,72.8128602043832,72.7451108414531,10.5016963281448,41.830914,-71.414963,5048.75064227311,0.428935546881077,1071342,34199,10.486230178795,72.6764354693048,10.4704814046607,72.6068088238283,10.4544401793964,72.5362045233502,10.4422230791019,72.4831880240256
"54",54,"Rhode_Island",10.5304054228535,72.9059200623006,72.8128602043832,10.5168891941672,41.830914,-71.414963,5048.75064227311,0.443911248529534,1072151.25,34506,10.5016963281448,72.7451108414531,10.486230178795,72.6764354693048,10.4704814046607,72.6068088238283,10.4544401793964,72.5362045233502
"55",55,"Rhode_Island",10.5437214135427,72.9973687110811,72.9059200623006,10.5304054228535,41.830914,-71.414963,5048.75064227311,0.441609298136635,1072960.5,34633,10.5168891941672,72.8128602043832,10.5016963281448,72.7451108414531,10.486230178795,72.6764354693048,10.4704814046607,72.6068088238283
"56",56,"Rhode_Island",10.5568427380772,73.0872627191873,72.9973687110811,10.5437214135427,41.830914,-71.414963,5048.75064227311,0.44798896597711,1073769.75,34660,10.5304054228535,72.9059200623006,10.5168891941672,72.8128602043832,10.5016963281448,72.7451108414531,10.486230178795,72.6764354693048
"57",57,"Rhode_Island",10.5697747394972,73.1756554457559,73.0872627191873,10.5568427380772,41.830914,-71.414963,5048.75064227311,0.430965677411029,1074579,34805,10.5437214135427,72.9973687110811,10.5304054228535,72.9059200623006,10.5168891941672,72.8128602043832,10.5016963281448,72.7451108414531
"58",58,"Rhode_Island",10.5888797452845,73.3094806035111,73.1756554457559,10.5697747394972,41.830914,-71.414963,5048.75064227311,0.446795053871628,1072913.25,34953,10.5568427380772,73.0872627191873,10.5437214135427,72.9973687110811,10.5304054228535,72.9059200623006,10.5168891941672,72.8128602043832
"59",59,"Rhode_Island",10.6076843384744,73.4400857170137,73.3094806035111,10.5888797452845,41.830914,-71.414963,5048.75064227311,0.445282719446253,1071247.5,35142,10.5697747394972,73.1756554457559,10.5568427380772,73.0872627191873,10.5437214135427,72.9973687110811,10.5304054228535,72.9059200623006
"60",60,"Rhode_Island",10.6261987977927,73.567629236504,73.4400857170137,10.6076843384744,41.830914,-71.414963,5048.75064227311,0.451602070934114,1069581.75,35396,10.5888797452845,73.3094806035111,10.5697747394972,73.1756554457559,10.5568427380772,73.0872627191873,10.5437214135427,72.9973687110811
"61",61,"Rhode_Island",10.6444328881303,73.6922573012436,73.567629236504,10.6261987977927,41.830914,-71.414963,5048.75064227311,0.435398789168187,1067916,35442,10.6076843384744,73.4400857170137,10.5888797452845,73.3094806035111,10.5697747394972,73.1756554457559,10.5568427380772,73.0872627191873
"62",62,"Rhode_Island",10.6598980217821,73.7474973714554,73.6922573012436,10.6444328881303,41.830914,-71.414963,5048.75064227311,0.451969027537293,1066711,35520,10.6261987977927,73.567629236504,10.6076843384744,73.4400857170137,10.5888797452845,73.3094806035111,10.5697747394972,73.1756554457559
"63",63,"Rhode_Island",10.6668194417038,73.8292421848768,73.7474973714554,10.6598980217821,41.830914,-71.414963,5048.75064227311,0.449691195231812,1065506,35880,10.6444328881303,73.6922573012436,10.6261987977927,73.567629236504,10.6076843384744,73.4400857170137,10.5888797452845,73.3094806035111
