"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"South_Carolina",9.86513307592404,46.4799688954898,46.4241288070484,9.8545842295033,34.000343,-81.033211,3742.6559539142,0.417353467010185,3582919,82653,9.84893763037992,46.3922877318568,9.84320319735342,46.3599006213223,9.83737876842354,46.3269509254843,9.83146210708309,46.2934210394111
"7",7,"South_Carolina",9.87549950981782,46.5346403775091,46.4799688954898,9.86513307592404,34.000343,-81.033211,3742.6559539142,0.407457996262296,3595434,82647,9.8545842295033,46.4241288070484,9.84893763037992,46.3922877318568,9.84320319735342,46.3599006213223,9.83737876842354,46.3269509254843
"8",8,"South_Carolina",9.88568876496373,46.5881856887401,46.5346403775091,9.87549950981782,34.000343,-81.033211,3742.6559539142,0.411683849559219,3607949,83455,9.86513307592404,46.4799688954898,9.8545842295033,46.4241288070484,9.84893763037992,46.3922877318568,9.84320319735342,46.3599006213223
"9",9,"South_Carolina",9.89570586093147,46.6406448058059,46.5881856887401,9.88568876496373,34.000343,-81.033211,3742.6559539142,0.4036651103284,3620464,83574,9.87549950981782,46.5346403775091,9.86513307592404,46.4799688954898,9.8545842295033,46.4241288070484,9.84893763037992,46.3922877318568
"10",10,"South_Carolina",9.90763695062231,46.6815972695221,46.6406448058059,9.89570586093147,34.000343,-81.033211,3742.6559539142,0.413804451532444,3631176.5,83419,9.88568876496373,46.5881856887401,9.87549950981782,46.5346403775091,9.86513307592404,46.4799688954898,9.8545842295033,46.4241288070484
"11",11,"South_Carolina",9.91935840882361,46.7218428651492,46.6815972695221,9.90763695062231,34.000343,-81.033211,3742.6559539142,0.406863764015506,3641889,83689,9.89570586093147,46.6406448058059,9.88568876496373,46.5881856887401,9.87549950981782,46.5346403775091,9.86513307592404,46.4799688954898
"12",12,"South_Carolina",9.93087649679931,46.7614050812925,46.7218428651492,9.91935840882361,34.000343,-81.033211,3742.6559539142,0.412971229775089,3652601.5,84427,9.90763695062231,46.6815972695221,9.89570586093147,46.6406448058059,9.88568876496373,46.5881856887401,9.87549950981782,46.5346403775091
"13",13,"South_Carolina",9.94219720640776,46.8003061491536,46.7614050812925,9.93087649679931,34.000343,-81.033211,3742.6559539142,0.406937634429736,3663314,83819,9.91935840882361,46.7218428651492,9.90763695062231,46.6815972695221,9.89570586093147,46.6406448058059,9.88568876496373,46.5881856887401
"14",14,"South_Carolina",9.95852474698799,46.8679022686752,46.8003061491536,9.94219720640776,34.000343,-81.033211,3742.6559539142,0.419244405771562,3673834.75,84428,9.93087649679931,46.7614050812925,9.91935840882361,46.7218428651492,9.90763695062231,46.6815972695221,9.89570586093147,46.6406448058059
"15",15,"South_Carolina",9.97449895590671,46.9339917739683,46.8679022686752,9.95852474698799,34.000343,-81.033211,3742.6559539142,0.413566678532152,3684355.5,84892,9.94219720640776,46.8003061491536,9.93087649679931,46.7614050812925,9.91935840882361,46.7218428651492,9.90763695062231,46.6815972695221
