"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Utah",9.85042043096609,28.5015320367804,28.4662244542676,9.84284080695408,40.777477,-111.888237,4306.42465986549,0.397624219188991,1794034.75,42058,9.8327365375671,28.4478178234264,9.82238722791844,28.428997330934,9.81178327980778,28.4097489275005,9.80091455948851,28.3900572171678
"7",7,"Utah",9.85782487276019,28.5359520898369,28.5015320367804,9.85042043096609,40.777477,-111.888237,4306.42465986549,0.398194352545135,1808289.5,42813,9.84284080695408,28.4662244542676,9.8327365375671,28.4478178234264,9.82238722791844,28.428997330934,9.81178327980778,28.4097489275005
"8",8,"Utah",9.86506033237097,28.5695227464455,28.5359520898369,9.85782487276019,40.777477,-111.888237,4306.42465986549,0.399757097804347,1822544.25,43082,9.85042043096609,28.5015320367804,9.84284080695408,28.4662244542676,9.8327365375671,28.4478178234264,9.82238722791844,28.428997330934
"9",9,"Utah",9.8721327123195,28.6022796388744,28.5695227464455,9.86506033237097,40.777477,-111.888237,4306.42465986549,0.389836521760592,1836799,43315,9.85782487276019,28.5359520898369,9.85042043096609,28.5015320367804,9.84284080695408,28.4662244542676,9.8327365375671,28.4478178234264
"10",10,"Utah",9.88482966428732,28.6348491416917,28.6022796388744,9.8721327123195,40.777477,-111.888237,4306.42465986549,0.397422110991149,1852200.25,44143,9.86506033237097,28.5695227464455,9.85782487276019,28.5359520898369,9.85042043096609,28.5015320367804,9.84284080695408,28.4662244542676
"11",11,"Utah",9.8971619063774,28.6666094391515,28.6348491416917,9.88482966428732,40.777477,-111.888237,4306.42465986549,0.398590206029855,1867601.5,44833,9.8721327123195,28.6022796388744,9.86506033237097,28.5695227464455,9.85782487276019,28.5359520898369,9.85042043096609,28.5015320367804
"12",12,"Utah",9.90914582885729,28.6975980685185,28.6666094391515,9.8971619063774,40.777477,-111.888237,4306.42465986549,0.4022316660628,1883002.75,45511,9.88482966428732,28.6348491416917,9.8721327123195,28.6022796388744,9.86506033237097,28.5695227464455,9.85782487276019,28.5359520898369
"13",13,"Utah",9.92079680876719,28.7278499104906,28.6975980685185,9.90914582885729,40.777477,-111.888237,4306.42465986549,0.394416046321015,1898404,45618,9.8971619063774,28.6666094391515,9.88482966428732,28.6348491416917,9.8721327123195,28.6022796388744,9.86506033237097,28.5695227464455
"14",14,"Utah",9.93796393852532,28.7707535054613,28.7278499104906,9.92079680876719,40.777477,-111.888237,4306.42465986549,0.404975074208731,1913914.5,46518,9.90914582885729,28.6975980685185,9.8971619063774,28.6666094391515,9.88482966428732,28.6348491416917,9.8721327123195,28.6022796388744
"15",15,"Utah",9.95457221378744,28.8125159929403,28.7707535054613,9.93796393852532,40.777477,-111.888237,4306.42465986549,0.408137312066203,1929425,47226,9.92079680876719,28.7278499104906,9.90914582885729,28.6975980685185,9.8971619063774,28.6666094391515,9.88482966428732,28.6348491416917
"16",16,"Utah",9.97065066985516,28.8531927795323,28.8125159929403,9.95457221378744,40.777477,-111.888237,4306.42465986549,0.413237011373042,1944935.5,47939,9.93796393852532,28.7707535054613,9.92079680876719,28.7278499104906,9.90914582885729,28.6975980685185,9.8971619063774,28.6666094391515
"17",17,"Utah",9.98622624395466,28.8928352557462,28.8531927795323,9.97065066985516,40.777477,-111.888237,4306.42465986549,0.406169310452826,1960446,48219,9.95457221378744,28.8125159929403,9.93796393852532,28.7707535054613,9.92079680876719,28.7278499104906,9.90914582885729,28.6975980685185
"18",18,"Utah",10.0034940204797,28.9205143754086,28.8928352557462,9.98622624395466,40.777477,-111.888237,4306.42465986549,0.41745167984609,1973878.75,49086,9.97065066985516,28.8531927795323,9.95457221378744,28.8125159929403,9.93796393852532,28.7707535054613,9.92079680876719,28.7278499104906
"19",19,"Utah",10.0202411139175,28.9476211947247,28.9205143754086,10.0034940204797,40.777477,-111.888237,4306.42465986549,0.420846287392121,1987311.5,50041,9.98622624395466,28.8928352557462,9.97065066985516,28.8531927795323,9.95457221378744,28.8125159929403,9.93796393852532,28.7707535054613
"20",20,"Utah",10.0364929712872,28.9741773593903,28.9476211947247,10.0202411139175,40.777477,-111.888237,4306.42465986549,0.425856361534797,2000744.25,50835,10.0034940204797,28.9205143754086,9.98622624395466,28.8928352557462,9.97065066985516,28.8531927795323,9.95457221378744,28.8125159929403
"21",21,"Utah",10.0522732943178,29.0002032888639,28.9741773593903,10.0364929712872,40.777477,-111.888237,4306.42465986549,0.419951341581864,2014177,51111,10.0202411139175,28.9476211947247,10.0034940204797,28.9205143754086,9.98622624395466,28.8928352557462,9.97065066985516,28.8531927795323
"22",22,"Utah",10.0734123118069,29.0353528961002,29.0002032888639,10.0522732943178,40.777477,-111.888237,4306.42465986549,0.429266218088051,2027626.75,52217,10.0364929712872,28.9741773593903,10.0202411139175,28.9476211947247,10.0034940204797,28.9205143754086,9.98622624395466,28.8928352557462
"23",23,"Utah",10.093843649056,29.0697461357003,29.0353528961002,10.0734123118069,40.777477,-111.888237,4306.42465986549,0.433405933911182,2041076.5,53062,10.0522732943178,29.0002032888639,10.0364929712872,28.9741773593903,10.0202411139175,28.9476211947247,10.0034940204797,28.9205143754086
"24",24,"Utah",10.1136063172517,29.1034141254516,29.0697461357003,10.093843649056,40.777477,-111.888237,4306.42465986549,0.438553656834514,2054526.25,54113,10.0734123118069,29.0353528961002,10.0522732943178,29.0002032888639,10.0364929712872,28.9741773593903,10.0202411139175,28.9476211947247
"25",25,"Utah",10.1327362913807,29.1363859640532,29.1034141254516,10.1136063172517,40.777477,-111.888237,4306.42465986549,0.432438932237769,2067976,54395,10.093843649056,29.0697461357003,10.0734123118069,29.0353528961002,10.0522732943178,29.0002032888639,10.0364929712872,28.9741773593903
"26",26,"Utah",10.1506196550771,29.1789585399784,29.1363859640532,10.1327362913807,40.777477,-111.888237,4306.42465986549,0.441845497137175,2080928,55828,10.1136063172517,29.1034141254516,10.093843649056,29.0697461357003,10.0734123118069,29.0353528961002,10.0522732943178,29.0002032888639
"27",27,"Utah",10.1679733366836,29.2200550002492,29.1789585399784,10.1506196550771,40.777477,-111.888237,4306.42465986549,0.444511942741068,2093880,56708,10.1327362913807,29.1363859640532,10.1136063172517,29.1034141254516,10.093843649056,29.0697461357003,10.0734123118069,29.0353528961002
"28",28,"Utah",10.1848230267556,29.2597579722051,29.2200550002492,10.1679733366836,40.777477,-111.888237,4306.42465986549,0.449194651812136,2106832,57772,10.1506196550771,29.1789585399784,10.1327362913807,29.1363859640532,10.1136063172517,29.1034141254516,10.093843649056,29.0697461357003
"29",29,"Utah",10.2011926581586,29.2981424140776,29.2597579722051,10.1848230267556,40.777477,-111.888237,4306.42465986549,0.441766551057403,2119784,57547,10.1679733366836,29.2200550002492,10.1506196550771,29.1789585399784,10.1327362913807,29.1363859640532,10.1136063172517,29.1034141254516
"30",30,"Utah",10.215788445982,29.325074728122,29.2981424140776,10.2011926581586,40.777477,-111.888237,4306.42465986549,0.451551020459232,2131328,58538,10.1848230267556,29.2597579722051,10.1679733366836,29.2200550002492,10.1506196550771,29.1789585399784,10.1327362913807,29.1363859640532
"31",31,"Utah",10.2300203581692,29.3514252293276,29.325074728122,10.215788445982,40.777477,-111.888237,4306.42465986549,0.4529002821136,2142872,59539,10.2011926581586,29.2981424140776,10.1848230267556,29.2597579722051,10.1679733366836,29.2200550002492,10.1506196550771,29.1789585399784
"32",32,"Utah",10.2439032235157,29.377214231405,29.3514252293276,10.2300203581692,40.777477,-111.888237,4306.42465986549,0.455656815273064,2154416,60527,10.215788445982,29.325074728122,10.2011926581586,29.2981424140776,10.1848230267556,29.2597579722051,10.1679733366836,29.2200550002492
"33",33,"Utah",10.2574510174977,29.4024608589968,29.377214231405,10.2439032235157,40.777477,-111.888237,4306.42465986549,0.446424987842189,2165960,60195,10.2300203581692,29.3514252293276,10.215788445982,29.325074728122,10.2011926581586,29.2981424140776,10.1848230267556,29.2597579722051
"34",34,"Utah",10.2697366210779,29.4371206588169,29.4024608589968,10.2574510174977,40.777477,-111.888237,4306.42465986549,0.455398438390067,2175340.5,61311,10.2439032235157,29.377214231405,10.2300203581692,29.3514252293276,10.215788445982,29.325074728122,10.2011926581586,29.2981424140776
"35",35,"Utah",10.2817695225749,29.4710616783037,29.4371206588169,10.2697366210779,40.777477,-111.888237,4306.42465986549,0.457643638096886,2184721,62124,10.2574510174977,29.4024608589968,10.2439032235157,29.377214231405,10.2300203581692,29.3514252293276,10.215788445982,29.325074728122
"36",36,"Utah",10.2935582842915,29.5043124978462,29.4710616783037,10.2817695225749,40.777477,-111.888237,4306.42465986549,0.461237549858108,2194101.5,62913,10.2697366210779,29.4371206588169,10.2574510174977,29.4024608589968,10.2439032235157,29.377214231405,10.2300203581692,29.3514252293276
"37",37,"Utah",10.3051110566408,29.5368999580555,29.5043124978462,10.2935582842915,40.777477,-111.888237,4306.42465986549,0.450110325385004,2203482,62256,10.2817695225749,29.4710616783037,10.2697366210779,29.4371206588169,10.2574510174977,29.4024608589968,10.2439032235157,29.377214231405
"38",38,"Utah",10.308736411639,29.5467723711858,29.5368999580555,10.3051110566408,40.777477,-111.888237,4306.42465986549,0.4600597692198,2213737,63342,10.2935582842915,29.5043124978462,10.2817695225749,29.4710616783037,10.2697366210779,29.4371206588169,10.2574510174977,29.4024608589968
"39",39,"Utah",10.3123154176263,29.5563193819862,29.5467723711858,10.308736411639,40.777477,-111.888237,4306.42465986549,0.461178367548085,2223992,65379,10.3051110566408,29.5368999580555,10.2935582842915,29.5043124978462,10.2817695225749,29.4710616783037,10.2697366210779,29.4371206588169
"40",40,"Utah",10.3158489802823,29.5655537175988,29.5563193819862,10.3123154176263,40.777477,-111.888237,4306.42465986549,0.463988090842239,2234247,64951,10.308736411639,29.5467723711858,10.3051110566408,29.5368999580555,10.2935582842915,29.5043124978462,10.2817695225749,29.4710616783037
"41",41,"Utah",10.3193379812974,29.5744870678503,29.5655537175988,10.3158489802823,40.777477,-111.888237,4306.42465986549,0.454470820995778,2244502,64219,10.3123154176263,29.5563193819862,10.308736411639,29.5467723711858,10.3051110566408,29.5368999580555,10.2935582842915,29.5043124978462
"42",42,"Utah",10.3229071028772,29.5903950014149,29.5744870678503,10.3193379812974,40.777477,-111.888237,4306.42465986549,0.463828933548374,2254305.25,65317,10.3158489802823,29.5655537175988,10.3123154176263,29.5563193819862,10.308736411639,29.5467723711858,10.3051110566408,29.5368999580555
"43",43,"Utah",10.326432787745,29.6060808095279,29.5903950014149,10.3229071028772,40.777477,-111.888237,4306.42465986549,0.462722229669353,2264108.5,66484,10.3193379812974,29.5744870678503,10.3158489802823,29.5655537175988,10.3123154176263,29.5563193819862,10.308736411639,29.5467723711858
"44",44,"Utah",10.3299158455699,29.6215503954049,29.6060808095279,10.326432787745,40.777477,-111.888237,4306.42465986549,0.46694409607878,2273911.75,67553,10.3229071028772,29.5903950014149,10.3193379812974,29.5744870678503,10.3158489802823,29.5655537175988,10.3123154176263,29.5563193819862
"45",45,"Utah",10.3333570655254,29.6368094030179,29.6215503954049,10.3299158455699,40.777477,-111.888237,4306.42465986549,0.455720467162788,2283715,67129,10.326432787745,29.6060808095279,10.3229071028772,29.5903950014149,10.3193379812974,29.5744870678503,10.3158489802823,29.5655537175988
