"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Vermont",9.94991444318861,52.9834216650641,52.9167631598496,9.93472819101098,44.262436,-72.580536,4758.52987018792,0.424440661368312,569642.25,21909,9.93514593537672,52.8865175124816,9.93556490795859,52.8558440439783,9.93598511421815,52.8247306065086,9.9364065596496,52.7931642526096
"7",7,"Vermont",9.96481959562555,53.0488287365852,52.9834216650641,9.94991444318861,44.262436,-72.580536,4758.52987018792,0.424369704950627,570678.5,21813,9.93472819101098,52.9167631598496,9.93514593537672,52.8865175124816,9.93556490795859,52.8558440439783,9.93598511421815,52.8247306065086
"8",8,"Vermont",9.97945299242053,53.1130298249395,53.0488287365852,9.96481959562555,44.262436,-72.580536,4758.52987018792,0.430784174567241,571714.75,21792,9.94991444318861,52.9834216650641,9.93472819101098,52.9167631598496,9.93514593537672,52.8865175124816,9.93556490795859,52.8558440439783
"9",9,"Vermont",9.99382352352151,53.1760677298592,53.1130298249395,9.97945299242053,44.262436,-72.580536,4758.52987018792,0.422330122513972,572751,21793,9.96481959562555,53.0488287365852,9.94991444318861,52.9834216650641,9.93472819101098,52.9167631598496,9.93514593537672,52.8865175124816
"10",10,"Vermont",10.0013478898612,53.2169799929778,53.1760677298592,9.99382352352151,44.262436,-72.580536,4758.52987018792,0.424966133144832,574000.25,21977,9.97945299242053,53.1130298249395,9.96481959562555,53.0488287365852,9.94991444318861,52.9834216650641,9.93472819101098,52.9167631598496
"11",11,"Vermont",10.0087837462085,53.2572925150585,53.2169799929778,10.0013478898612,44.262436,-72.580536,4758.52987018792,0.427623723850839,575249.5,22227,9.99382352352151,53.1760677298592,9.97945299242053,53.1130298249395,9.96481959562555,53.0488287365852,9.94991444318861,52.9834216650641
"12",12,"Vermont",10.0161328471609,53.297023237766,53.2572925150585,10.0087837462085,44.262436,-72.580536,4758.52987018792,0.43750542968798,576498.75,22189,10.0013478898612,53.2169799929778,9.99382352352151,53.1760677298592,9.97945299242053,53.1130298249395,9.96481959562555,53.0488287365852
"13",13,"Vermont",10.0233968972361,53.3361891937911,53.297023237766,10.0161328471609,44.262436,-72.580536,4758.52987018792,0.429026726762072,577748,22070,10.0087837462085,53.2572925150585,10.0013478898612,53.2169799929778,9.99382352352151,53.1760677298592,9.97945299242053,53.1130298249395
"14",14,"Vermont",10.0333903541394,53.4145496239054,53.3361891937911,10.0233968972361,44.262436,-72.580536,4758.52987018792,0.432830976919226,579270,22205,10.0161328471609,53.297023237766,10.0087837462085,53.2572925150585,10.0013478898612,53.2169799929778,9.99382352352151,53.1760677298592
"15",15,"Vermont",10.0432333249567,53.4913034726156,53.4145496239054,10.0333903541394,44.262436,-72.580536,4758.52987018792,0.434321294600017,580792,22238,10.0233968972361,53.3361891937911,10.0161328471609,53.297023237766,10.0087837462085,53.2572925150585,10.0013478898612,53.2169799929778
