"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Virginia",10.0934130610932,55.6967630077815,55.6331354522456,10.0849080309071,37.538857,-77.43364,5757.39349122466,0.437638032788163,6329489.5,153156,10.0780783666267,55.5982478325727,10.0711552492996,55.5627629342136,10.064136578203,55.5266615802925,10.0570201848039,55.4899233387988
"7",7,"Virginia",10.1017716733675,55.7591786079759,55.6967630077815,10.0934130610932,37.538857,-77.43364,5757.39349122466,0.433539978376039,6357762,152335,10.0849080309071,55.6331354522456,10.0780783666267,55.5982478325727,10.0711552492996,55.5627629342136,10.064136578203,55.5266615802925
"8",8,"Virginia",10.1099879010494,55.8204242827137,55.7591786079759,10.1017716733675,37.538857,-77.43364,5757.39349122466,0.436013094928733,6386034.5,153636,10.0934130610932,55.6967630077815,10.0849080309071,55.6331354522456,10.0780783666267,55.5982478325727,10.0711552492996,55.5627629342136
"9",9,"Virginia",10.1180656219698,55.8805397208144,55.8204242827137,10.1099879010494,37.538857,-77.43364,5757.39349122466,0.424347582157615,6414307,154379,10.1017716733675,55.7591786079759,10.0934130610932,55.6967630077815,10.0849080309071,55.6331354522456,10.0780783666267,55.5982478325727
"10",10,"Virginia",10.1279415324328,55.9278377298767,55.8805397208144,10.1180656219698,37.538857,-77.43364,5757.39349122466,0.434018620783109,6438137.75,154446,10.1099879010494,55.8204242827137,10.1017716733675,55.7591786079759,10.0934130610932,55.6967630077815,10.0849080309071,55.6331354522456
"11",11,"Virginia",10.1376490819558,55.9743866275286,55.9278377298767,10.1279415324328,37.538857,-77.43364,5757.39349122466,0.432232531000422,6461968.5,154832,10.1180656219698,55.8805397208144,10.1099879010494,55.8204242827137,10.1017716733675,55.7591786079759,10.0934130610932,55.6967630077815
"12",12,"Virginia",10.1471929853431,56.0202095343037,55.9743866275286,10.1376490819558,37.538857,-77.43364,5757.39349122466,0.437443645309661,6485799.25,157228,10.1279415324328,55.9278377298767,10.1180656219698,55.8805397208144,10.1099879010494,55.8204242827137,10.1017716733675,55.7591786079759
"13",13,"Virginia",10.1565777699326,56.0653283986866,56.0202095343037,10.1471929853431,37.538857,-77.43364,5757.39349122466,0.428040149747374,6509630,158990,10.1376490819558,55.9743866275286,10.1279415324328,55.9278377298767,10.1180656219698,55.8805397208144,10.1099879010494,55.8204242827137
"14",14,"Virginia",10.1672470211691,56.1462906784703,56.0653283986866,10.1565777699326,37.538857,-77.43364,5757.39349122466,0.439282262491937,6530507.25,162188,10.1471929853431,56.0202095343037,10.1376490819558,55.9743866275286,10.1279415324328,55.9278377298767,10.1180656219698,55.8805397208144
"15",15,"Virginia",10.1777367103706,56.2255352842151,56.1462906784703,10.1672470211691,37.538857,-77.43364,5757.39349122466,0.438105614673255,6551384.5,163252,10.1565777699326,56.0653283986866,10.1471929853431,56.0202095343037,10.1376490819558,55.9743866275286,10.1279415324328,55.9278377298767
"16",16,"Virginia",10.18805189557,56.3031314985527,56.2255352842151,10.1777367103706,37.538857,-77.43364,5757.39349122466,0.443383791482945,6572261.75,164846,10.1672470211691,56.1462906784703,10.1565777699326,56.0653283986866,10.1471929853431,56.0202095343037,10.1376490819558,55.9743866275286
"17",17,"Virginia",10.1981974307368,56.3791443465968,56.3031314985527,10.18805189557,37.538857,-77.43364,5757.39349122466,0.433250332909206,6593139,165643,10.1777367103706,56.2255352842151,10.1672470211691,56.1462906784703,10.1565777699326,56.0653283986866,10.1471929853431,56.0202095343037
"18",18,"Virginia",10.2081382844044,56.4404059135075,56.3791443465968,10.1981974307368,37.538857,-77.43364,5757.39349122466,0.446232649568061,6612527.5,167267,10.18805189557,56.3031314985527,10.1777367103706,56.2255352842151,10.1672470211691,56.1462906784703,10.1565777699326,56.0653283986866
"19",19,"Virginia",10.2179240177507,56.5006164934321,56.4404059135075,10.2081382844044,37.538857,-77.43364,5757.39349122466,0.445699704278522,6631916,168308,10.1981974307368,56.3791443465968,10.18805189557,56.3031314985527,10.1777367103706,56.2255352842151,10.1672470211691,56.1462906784703
"20",20,"Virginia",10.2275586912845,56.5598102503562,56.5006164934321,10.2179240177507,37.538857,-77.43364,5757.39349122466,0.450548510195757,6651304.5,170636,10.2081382844044,56.4404059135075,10.1981974307368,56.3791443465968,10.18805189557,56.3031314985527,10.1777367103706,56.2255352842151
"21",21,"Virginia",10.2370462130499,56.6180196372323,56.5598102503562,10.2275586912845,37.538857,-77.43364,5757.39349122466,0.441366236861248,6670693,171525,10.2179240177507,56.5006164934321,10.2081382844044,56.4404059135075,10.1981974307368,56.3791443465968,10.18805189557,56.3031314985527
