"","timepoint","state","y","ysl","ysl_lag1","y_lag1","latitude","longitude","totalwagescapita","emplvlcapita","popestimate","qtrly_estabs_count","y_lag2","ysl_lag2","y_lag3","ysl_lag3","y_lag4","ysl_lag4","y_lag5","ysl_lag5"
"6",6,"Wyoming",10.2491582116303,37.9756445805215,37.9253083541812,10.2490726192286,41.140259,-104.820236,5186.24804209687,0.429351422689387,461007.75,17929,10.2468554595404,37.8955189547302,10.2446198007906,37.8650855241928,10.2423654048289,37.8339842138729,10.2400920293056,37.8021892042828
"7",7,"Wyoming",10.2492431502531,38.0247273152692,37.9756445805215,10.2491582116303,41.140259,-104.820236,5186.24804209687,0.43720207899564,462755.5,17803,10.2490726192286,37.9253083541812,10.2468554595404,37.8955189547302,10.2446198007906,37.8650855241928,10.2423654048289,37.8339842138729
"8",8,"Wyoming",10.2493274425593,38.0726093149017,38.0247273152692,10.2492431502531,41.140259,-104.820236,5186.24804209687,0.421632500239055,464503.25,17885,10.2491582116303,37.9756445805215,10.2490726192286,37.9253083541812,10.2468554595404,37.8955189547302,10.2446198007906,37.8650855241928
"9",9,"Wyoming",10.2494110958982,38.1193399893461,38.0726093149017,10.2493274425593,41.140259,-104.820236,5186.24804209687,0.403267052867804,466251,18085,10.2492431502531,38.0247273152692,10.2491582116303,37.9756445805215,10.2490726192286,37.9253083541812,10.2468554595404,37.8955189547302
"10",10,"Wyoming",10.2572981016377,38.1638941848265,38.1193399893461,10.2494110958982,41.140259,-104.820236,5186.24804209687,0.427594184811972,467958.5,18213,10.2493274425593,38.0726093149017,10.2492431502531,38.0247273152692,10.2491582116303,37.9756445805215,10.2490726192286,37.9253083541812
"11",11,"Wyoming",10.2650667107728,38.2073403185192,38.1638941848265,10.2572981016377,41.140259,-104.820236,5186.24804209687,0.434686209632661,469666,18144,10.2494110958982,38.1193399893461,10.2493274425593,38.0726093149017,10.2492431502531,38.0247273152692,10.2491582116303,37.9756445805215
"12",12,"Wyoming",10.2727197986691,38.2497287676754,38.2073403185192,10.2650667107728,41.140259,-104.820236,5186.24804209687,0.422360753556716,471373.5,18298,10.2572981016377,38.1638941848265,10.2494110958982,38.1193399893461,10.2493274425593,38.0726093149017,10.2492431502531,38.0247273152692
"13",13,"Wyoming",10.2802601422684,38.29110646231,38.2497287676754,10.2727197986691,41.140259,-104.820236,5186.24804209687,0.403825137767105,473081,18116,10.2650667107728,38.2073403185192,10.2572981016377,38.1638941848265,10.2494110958982,38.1193399893461,10.2493274425593,38.0726093149017
"14",14,"Wyoming",10.2815063635894,38.3526210603687,38.29110646231,10.2802601422684,41.140259,-104.820236,5186.24804209687,0.431224772215103,474881.5,17417,10.2727197986691,38.2497287676754,10.2650667107728,38.2073403185192,10.2572981016377,38.1638941848265,10.2494110958982,38.1193399893461
"15",15,"Wyoming",10.2827416369657,38.412508935194,38.3526210603687,10.2815063635894,41.140259,-104.820236,5186.24804209687,0.442303953858827,476682,17661,10.2802601422684,38.29110646231,10.2727197986691,38.2497287676754,10.2650667107728,38.2073403185192,10.2572981016377,38.1638941848265
"16",16,"Wyoming",10.2839661069615,38.4708469826088,38.412508935194,10.2827416369657,41.140259,-104.820236,5186.24804209687,0.42810970098175,478482.5,17745,10.2815063635894,38.3526210603687,10.2802601422684,38.29110646231,10.2727197986691,38.2497287676754,10.2650667107728,38.2073403185192
"17",17,"Wyoming",10.2851799155913,38.5277067296187,38.4708469826088,10.2839661069615,41.140259,-104.820236,5186.24804209687,0.412033460827609,480283,17728,10.2827416369657,38.412508935194,10.2815063635894,38.3526210603687,10.2802601422684,38.29110646231,10.2727197986691,38.2497287676754
"18",18,"Wyoming",10.2921584696528,38.5666353152086,38.5277067296187,10.2851799155913,41.140259,-104.820236,5186.24804209687,0.438962296299412,481502.25,17993,10.2839661069615,38.4708469826088,10.2827416369657,38.412508935194,10.2815063635894,38.3526210603687,10.2802601422684,38.29110646231
"19",19,"Wyoming",10.2990537728998,38.60474438827,38.5666353152086,10.2921584696528,41.140259,-104.820236,5186.24804209687,0.45113037917999,482721.5,18420,10.2851799155913,38.5277067296187,10.2839661069615,38.4708469826088,10.2827416369657,38.412508935194,10.2815063635894,38.3526210603687
"20",20,"Wyoming",10.305867467243,38.6420648400146,38.60474438827,10.2990537728998,41.140259,-104.820236,5186.24804209687,0.436454944811598,483940.75,18382,10.2921584696528,38.5666353152086,10.2851799155913,38.5277067296187,10.2839661069615,38.4708469826088,10.2827416369657,38.412508935194
