"","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New_Hampshire","New_Jersey","New_Mexico","New_York","North_Carolina","North_Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode_Island","South_Carolina","South_Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West_Virginia","Wisconsin","Wyoming"
"1",71610,25040,70632,38680,773460,75571,100169,19928,256589,140646,32534,18004,279019,110860,56121,51874,68412,95177,23256,112835,159505,193103,102757,38757,103566,13242,33734,30980,23768,214357,26600,493192,139658,11509,227413,57805,56566,245281,21664,65157,12770,94087,378943,31249,11674,144971,118640,27754,100236,12705
"2",72718.25,24350.75,71313.5,39403,777606.5,76619.75,100495.5,20382.5,259359,142424.5,32989.75,18216,281382.5,111804.25,56576.75,52400.75,69228.75,95393.5,23286.75,113483.25,159810.75,194256.5,103593.25,39283.25,104965,13400.25,34203.75,31431.5,24016.75,216246.5,27523.75,494228,141335.25,11554.5,229053.5,58261.75,57284.75,247751.5,21682.5,65867.75,13011.5,95867.25,382600.75,31812,11688.75,146501.5,120453.75,28088.5,101370.5,12773
"3",73826.5,23661.5,71995,40126,781753,77668.5,100822,20837,262129,144203,33445.5,18428,283746,112748.5,57032.5,52927.5,70045.5,95610,23317.5,114131.5,160116.5,195410,104429.5,39809.5,106364,13558.5,34673.5,31883,24265.5,218136,28447.5,495264,143012.5,11600,230694,58718.5,58003.5,250222,21701,66578.5,13253,97647.5,386258.5,32375,11703.5,148032,122267.5,28423,102505,12841
"4",74934.75,22972.25,72676.5,40849,785899.5,78717.25,101148.5,21291.5,264899,145981.5,33901.25,18640,286109.5,113692.75,57488.25,53454.25,70862.25,95826.5,23348.25,114779.75,160422.25,196563.5,105265.75,40335.75,107763,13716.75,35143.25,32334.5,24514.25,220025.5,29371.25,496300,144689.75,11645.5,232334.5,59175.25,58722.25,252692.5,21719.5,67289.25,13494.5,99427.75,389916.25,32938,11718.25,149562.5,124081.25,28757.5,103639.5,12909
"5",76043,22283,73358,41572,790046,79766,101475,21746,267669,147760,34357,18852,288473,114637,57944,53981,71679,96043,23379,115428,160728,197717,106102,40862,109162,13875,35613,32786,24763,221915,30295,497336,146367,11691,233975,59632,59441,255163,21738,68000,13736,101208,393574,33501,11733,151093,125895,29092,104774,12977
"6",77347.25,22400.5,75689,42433.5,794374,81650,102546,22036.25,271920,150835.5,34800,19297,292913.75,117156.25,58925.5,54711.25,73142,94754.75,23616.5,116454.75,162404.75,201302,108206,41649.5,110693.5,14140.5,36263.25,33602.5,25155.25,224129.75,30880.75,502928,149609.5,11992.25,238143.75,60276.25,60428.75,258834.5,21969.75,68962,14023.5,103821,399280.75,34026.25,11934.25,153067.25,128038.5,29421.5,106823.5,13027.5
"7",78651.5,22518,78020,43295,798702,83534,103617,22326.5,276171,153911,35243,19742,297354.5,119675.5,59907,55441.5,74605,93466.5,23854,117481.5,164081.5,204887,110310,42437,112225,14406,36913.5,34419,25547.5,226344.5,31466.5,508520,152852,12293.5,242312.5,60920.5,61416.5,262506,22201.5,69924,14311,106434,404987.5,34551.5,12135.5,155041.5,130182,29751,108873,13078
"8",79955.75,22635.5,80351,44156.5,803030,85418,104688,22616.75,280422,156986.5,35686,20187,301795.25,122194.75,60888.5,56171.75,76068,92178.25,24091.5,118508.25,165758.25,208472,112414,43224.5,113756.5,14671.5,37563.75,35235.5,25939.75,228559.25,32052.25,514112,156094.5,12594.75,246481.25,61564.75,62404.25,266177.5,22433.25,70886,14598.5,109047,410694.25,35076.75,12336.75,157015.75,132325.5,30080.5,110922.5,13128.5
"9",81260,22753,82682,45018,807358,87302,105759,22907,284673,160062,36129,20632,306236,124714,61870,56902,77531,90890,24329,119535,167435,212057,114518,44012,115288,14937,38214,36052,26332,230774,32638,519704,159337,12896,250650,62209,63392,269849,22665,71848,14886,111660,416401,35602,12538,158990,134469,30410,112972,13179
"10",82085.75,22885.75,84336.5,45655,812130.25,89391.25,106239.25,23057.5,289605.5,162961.25,36279.75,21249,309696.75,126562.5,62249,57414.75,78552.75,92134,24547.25,121030,168958,215634.75,115375.25,44844,116192.5,15216.25,38498.75,37048.75,26589.5,233177.75,33697.5,524154,161504.25,12934.25,252890.5,63044.75,64896.25,272812.75,22890.25,72925.5,15190.75,113637,423244.5,36359.25,12660.25,161164.5,136476.75,30777.75,114735,13332
"11",82911.5,23018.5,85991,46292,816902.5,91480.5,106719.5,23208,294538,165860.5,36430.5,21866,313157.5,128411,62628,57927.5,79574.5,93378,24765.5,122525,170481,219212.5,116232.5,45676,117097,15495.5,38783.5,38045.5,26847,235581.5,34757,528604,163671.5,12972.5,255131,63880.5,66400.5,275776.5,23115.5,74003,15495.5,115614,430088,37116.5,12782.5,163339,138484.5,31145.5,116498,13485
"12",83737.25,23151.25,87645.5,46929,821674.75,93569.75,107199.75,23358.5,299470.5,168759.75,36581.25,22483,316618.25,130259.5,63007,58440.25,80596.25,94622,24983.75,124020,172004,222790.25,117089.75,46508,118001.5,15774.75,39068.25,39042.25,27104.5,237985.25,35816.5,533054,165838.75,13010.75,257371.5,64716.25,67904.75,278740.25,23340.75,75080.5,15800.25,117591,436931.5,37873.75,12904.75,165513.5,140492.25,31513.25,118261,13638
