"order","chunk","file","start_line","end_line"
"0","setup, include=FALSE","scripts/chunks/00_setup.R","8","10"
"1","cars","scripts/chunks/01_cars.R","18","20"
"2","pressure, echo=FALSE","scripts/chunks/02_pressure.R","26","28"
"3","library","scripts/chunks/03_library.R","32","65"
"4","functions","scripts/chunks/04_functions.R","67","320"
"5","data preparasion","scripts/chunks/05_data_preparasion.R","322","413"
"6","vary-coefficient spatial temporal model","scripts/chunks/06_vary_coefficient_spatial_temporal_model.R","417","430"
"7","kernel non-parametric model","scripts/chunks/07_kernel_non_parametric_model.R","432","444"
"8","extract residuals for kernel","scripts/chunks/08_extract_residuals_for_kernel.R","446","479"
"9","synthetic error: kernel--linear","scripts/chunks/09_synthetic_error_kernel_linear.R","481","538"
"10","residual from LST","scripts/chunks/10_residual_from_lst.R","544","601"
"11","least square synthetic error","scripts/chunks/11_least_square_synthetic_error.R","603","619"
"12","lasso synthetic error","scripts/chunks/12_lasso_synthetic_error.R","621","659"
"13","adaptive lasso syntehtic error--validation part","scripts/chunks/13_adaptive_lasso_syntehtic_error_validation_part.R","661","765"
"14","empirical results by adaptive LASSO--prediction part","scripts/chunks/14_empirical_results_by_adaptive_lasso_prediction_part.R","771","976"
"15","synthetic control and ASCM","scripts/chunks/15_synthetic_control_and_ascm.R","978","1297"
"16","Robust synthetic control","scripts/chunks/16_robust_synthetic_control.R","1299","1491"
"17","plot","scripts/chunks/17_plot.R","1493","1550"
"18","ggplot","scripts/chunks/18_ggplot.R","1553","1659"
"19","interference test","scripts/chunks/19_interference_test.R","1661","1667"
"20","multi-step-forward empirical experiment","scripts/chunks/20_multi_step_forward_empirical_experiment.R","1671","1965"
"21","spatial smooth skip-step-model empirical experiment","scripts/chunks/21_spatial_smooth_skip_step_model_empirical_experiment.R","1966","2431"
"22","simulation study LSTSEM--data generating","scripts/chunks/22_simulation_study_lstsem_data_generating.R","2434","2674"
"23","simulation main","scripts/chunks/23_simulation_main.R","2676","2715"
"24","1step prediction result","scripts/chunks/24_1step_prediction_result.R","2717","2748"
"25","implement all","scripts/chunks/25_implement_all.R","2750","3133"
"26","Multithreading","scripts/chunks/26_multithreading.R","3135","3463"
"27","direct skip backup","scripts/chunks/27_direct_skip_backup.R","3473","3618"
"28","spatial correlation test","scripts/chunks/28_spatial_correlation_test.R","3623","3756"
